
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending November 21, 2009 (WEEK 46)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	25	102	239	4,426	4,834	26	32	122	1,504	1,600											
NEW ENGLAND	-	5	28	259	338	-	1	6	51	89											
Conn.	-	0	21	72	92	-	0	4	-	11											
Maine	-	0	2	17	26	-	0	1	5	2											
Mass.	-	2	10	107	158	-	0	4	30	55											
N.H.	-	0	4	34	24	-	0	2	11	11											
R.I.	-	0	2	11	25	-	0	1	1	10											
Vt.	-	0	3	18	13	-	0	1	4	-											
MID. ATLANTIC	5	20	43	886	960	4	4	33	216	197											
N.J.	-	3	7	124	171	-	1	4	38	65											
N.Y. (Upstate)	3	7	25	289	295	3	2	17	108	89											
N.Y. City	-	4	12	165	181	1	0	31	70	43											
Pa.	2	6	18	308	313	N	0	2	N	N											
E.N. CENTRAL	1	17	42	787	889	7	5	18	228	295											
Ill.	-	5	12	221	237	-	0	5	23	83											
Ind.	-	2	23	124	116	-	0	13	32	31											
Mich.	-	3	11	125	165	2	1	4	59	75											
Ohio	1	4	13	193	241	5	1	6	69	55											
Wis.	-	2	11	124	130	-	1	3	45	51											
W.N. CENTRAL	1	6	37	355	344	-	2	11	135	89											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	5	37	36	N	0	1	N	N											
Minn.	-	0	34	161	154	-	1	10	79	28											
Mo.	-	2	8	80	85	-	0	4	32	34											
Nebr.	1	1	3	41	37	-	0	1	12	8											
N. Dak.	-	0	4	15	10	-	0	3	5	9											
S. Dak.	-	0	3	21	22	-	0	2	7	10											
S. ATLANTIC	11	22	49	1,023	1,012	8	6	18	286	309											
Del.	-	0	1	10	8	-	0	0	-	-											
D.C.	-	0	3	12	14	N	0	0	N	N											
Fla.	4	5	12	251	238	2	1	6	63	60											
Ga.	2	5	13	244	228	1	2	6	76	87											
Md.	2	3	12	172	174	2	1	7	68	50											
N.C.	-	2	12	86	125	N	0	0	N	N											
S.C.	1	1	5	65	66	3	1	6	44	60											
Va.	2	3	9	146	123	-	0	4	23	42											
W. Va.	-	1	4	37	36	-	0	3	12	10											
E.S. CENTRAL	2	3	10	176	172	2	2	7	89	84											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	1	5	34	38	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	18	9											
Tenn.	1	3	9	142	134	2	1	6	71	75											
W.S. CENTRAL	3	8	79	395	446	5	5	46	262	255											
Ark.	-	0	3	17	11	2	0	4	26	12											
La.	-	0	3	11	17	-	0	3	13	13											
Okla.	-	3	20	123	101	-	1	7	52	61											
Tex.	3	5	59	244	317	3	3	34	171	169											
MOUNTAIN	2	9	22	396	519	-	4	16	206	238											
Ariz.	2	3	8	139	179	-	2	10	99	104											
Colo.	-	2	7	115	131	-	1	4	44	55											
Idaho	-	0	2	10	16	-	0	2	8	5											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	4	13	-	0	1	-	3											
N. Mex.	-	2	7	74	124	-	0	4	23	34											
Utah	-	1	6	53	50	-	0	5	32	35											
Wyo.	-	0	1	1	6	-	0	0	-	2											
PACIFIC	-	3	9	149	154	-	0	4	31	44											
Alaska	-	1	4	34	34	-	0	3	23	27											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	8	115	120	-	0	2	8	17											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	30	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


