
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending September 8, 2007 (WEEK 36)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	26	94	261	3,673	4,009	11	30	108	1,085	906											
NEW ENGLAND	-	6	27	297	260	-	3	11	76	75											
Conn.	-	0	23	91	68	-	0	6	-	23											
Maine	-	0	3	21	15	-	0	1	1	-											
Mass.	-	3	12	141	130	-	2	6	58	42											
N.H.	-	0	4	29	30	-	0	2	7	6											
R.I.	-	0	12	-	5	-	0	3	8	4											
Vt.	-	0	2	15	12	-	0	1	2	-											
MID. ATLANTIC	2	17	41	693	735	-	5	27	179	127											
N.J.	-	2	9	93	123	-	1	4	21	47											
N.Y. (Upstate)	2	5	27	232	237	-	2	15	76	66											
N.Y. City	-	4	13	167	134	-	1	25	82	14											
Pa.	-	5	11	201	241	N	0	0	N	N											
E.N. CENTRAL	1	16	32	636	785	2	5	14	164	243											
Ill.	-	4	13	165	240	-	1	6	38	63											
Ind.	1	2	17	101	92	-	0	10	15	44											
Mich.	-	4	10	159	163	-	1	4	56	54											
Ohio	-	3	14	183	199	2	1	7	46	48											
Wis.	-	1	6	28	91	-	0	2	9	34											
W.N. CENTRAL	-	5	32	244	262	1	2	8	75	73											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	28	45	-	0	1	1	11											
Minn.	-	0	29	124	121	-	1	6	51	43											
Mo.	-	2	6	54	55	-	0	2	13	11											
Nebr.	-	0	3	20	23	1	0	2	9	5											
N. Dak.	-	0	2	11	9	-	0	2	1	3											
S. Dak.	-	0	2	7	9	-	0	0	-	-											
S. ATLANTIC	15	21	52	928	888	2	3	14	200	60											
Del.	1	0	1	8	9	-	0	0	-	-											
D.C.	-	0	3	8	9	-	0	1	-	1											
Fla.	8	6	16	228	212	1	0	5	44	-											
Ga.	2	5	13	175	184	-	0	5	44	-											
Md.	-	4	10	164	169	-	1	6	47	49											
N.C.	2	1	22	131	126	-	0	0	-	-											
S.C.	1	1	7	78	54	1	0	3	29	-											
Va.	1	2	11	115	103	-	0	4	29	-											
W. Va.	-	0	3	21	22	-	0	4	7	10											
E.S. CENTRAL	2	4	13	164	162	2	1	6	67	16											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	32	38	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	3	16											
Tenn.	2	3	13	132	124	2	0	6	64	-											
W.S. CENTRAL	2	6	90	238	309	2	4	43	156	154											
Ark.	-	0	2	17	23	-	0	2	7	18											
La.	-	0	4	16	14	-	0	4	24	19											
Okla.	-	1	23	56	77	1	1	13	38	32											
Tex.	2	3	64	149	195	1	1	27	87	85											
MOUNTAIN	4	10	21	373	526	2	4	12	144	142											
Ariz.	2	3	11	120	273	-	2	7	85	80											
Colo.	2	3	9	121	94	2	1	4	34	36											
Idaho	-	0	2	12	7	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	-	1	5	41	98	-	0	4	18	23											
Utah	-	2	7	72	51	-	0	2	4	-											
Wyo.	-	0	1	5	3	-	0	0	-	-											
PACIFIC	-	3	9	100	82	-	1	4	24	16											
Alaska	-	0	3	26	N	-	0	2	22	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	74	82	-	0	2	2	16											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


