
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 21, 2004 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	-	5,273	87,304	111,683	409	488	286	337	3	57											
NEW ENGLAND	-	192	3,442	3,739	-	-	19	19	-	-											
Maine	-	-	181	254	N	N	3	1	-	-											
N.H.	-	3	241	212	-	-	5	2	-	-											
Vt.	-	5	96	161	-	-	2	2	-	-											
Mass.	-	111	1,934	1,414	-	-	7	11	-	-											
R.I.	-	16	574	349	-	-	-	1	-	-											
Conn.	-	57	416	1,349	N	N	2	2	-	-											
MID. ATLANTIC	-	1,540	13,334	16,579	-	-	45	26	1	-											
Upstate N.Y.	-	77	2,112	1,474	N	N	9	4	-	-											
N.Y. City	-	941	3,206	4,655	-	-	6	12	-	-											
N.J.	-	170	1,452	2,211	-	-	1	2	-	-											
Pa.	-	352	6,564	8,239	N	N	29	8	1	-											
E.N. CENTRAL	-	632	12,909	20,497	-	1	53	46	-	-											
Ohio	-	95	822	5,587	-	-	24	7	-	-											
Ind.	-	84	1,816	2,464	N	N	3	2	-	-											
Ill.	-	290	3,772	6,657	-	-	1	10	-	-											
Mich.	-	143	5,217	3,520	-	1	17	9	-	-											
Wis.	-	20	1,282	2,269	-	-	8	18	-	-											
W.N. CENTRAL	-	60	4,117	5,957	-	-	27	13	-	-											
Minn.	-	9	528	1,439	N	N	6	5	-	-											
Iowa	-	17	-	330	N	N	2	3	-	-											
Mo.	-	26	1,620	2,311	-	-	9	2	-	-											
N. Dak.	-	-	109	125	N	N	-	-	-	-											
S. Dak.	-	1	249	321	-	-	4	3	-	-											
Nebr.	-	-	582	478	-	-	-	-	-	-											
Kans.	-	7	1,029	953	N	N	6	-	-	-											
S. ATLANTIC	-	1,118	13,138	18,998	-	-	54	151	1	57											
Del.	-	30	383	422	N	N	-	1	-	-											
Md.	-	103	2,364	2,153	-	-	5	5	-	-											
D.C.	-	179	367	446	-	-	-	-	-	-											
Va.	-	176	992	1,792	-	-	3	-	-	-											
W. Va.	-	6	331	327	N	N	-	-	-	-											
N.C.	-	123	1,953	3,507	N	N	14	3	-	-											
S.C.	-	45	2,028	1,740	-	-	-	1	-	-											
Ga.	-	309	387	3,437	-	-	16	12	-	-											
Fla.	-	147	4,333	5,174	N	N	16	129	1	57											
E.S. CENTRAL	-	80	6,051	7,285	N	N	19	14	-	-											
Ky.	-	28	720	1,185	N	N	5	1	-	-											
Tenn.	-	21	2,445	2,224	N	N	10	7	-	-											
Ala.	-	12	1,631	2,048	-	-	2	5	-	-											
Miss.	-	19	1,255	1,828	N	N	2	1	-	-											
W.S. CENTRAL	-	698	13,238	13,692	-	-	13	5	1	-											
Ark.	-	14	954	758	-	-	7	1	-	-											
La.	-	15	3,801	2,464	N	N	-	-	1	-											
Okla.	-	16	837	888	N	N	5	1	-	-											
Tex.	-	653	7,646	9,582	-	-	1	3	-	-											
MOUNTAIN	-	204	5,888	6,766	224	402	16	9	-	-											
Mont.	-	7	27	270	N	N	1	1	-	-											
Idaho	-	1	477	350	N	N	-	4	-	-											
Wyo.	-	1	132	155	-	-	2	-	-	-											
Colo.	-	23	534	1,791	N	N	9	2	-	-											
N. Mex.	-	14	861	1,078	2	-	-	-	-	-											
Ariz.	-	112	2,841	1,997	210	395	3	1	-	-											
Utah	-	6	365	293	4	1	-	1	-	-											
Nev.	-	40	651	832	8	6	1	-	-	-											
PACIFIC	-	749	15,187	18,170	185	85	40	54	-	-											
Wash.	-	72	2,227	2,020	N	N	-	-	-	-											
Oreg.	-	47	1,001	794	-	-	5	3	-	-											
Calif.	-	618	11,557	14,147	185	85	34	51	-	-											
Alaska	-	6	391	480	-	-	-	-	-	-											
Hawaii	-	6	11	729	-	-	1	-	-	-											
Guam	-	1	-	-	-	-	-	-	-	-											
P.R.	-	145	135	30	N	N	N	N	-	-											
V.I.	-	2	-	45	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


