
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending January 5, 2002 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	-	166	-	52	-	7	1	-													
NEW ENGLAND	-	2	-	2	-	-	1	-													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	-	-	-	-	-	-	-													
Vt.	-	-	-	-	-	-	1	-													
Mass.	-	2	-	2	-	-	-	-													
R.I.	-	-	-	-	-	-	-	-													
Conn.	-	-	-	-	-	-	-	-													
MID. ATLANTIC	-	13	-	12	-	-	-	-													
Upstate N.Y.	-	5	-	1	-	-	-	-													
N.Y. City	-	7	-	9	-	-	-	-													
N.J.	-	-	-	2	-	-	-	-													
Pa.	-	1	-	-	-	-	-	-													
E.N. CENTRAL	-	19	-	18	-	-	-	-													
Ohio	-	4	-	1	-	-	-	-													
Ind.	-	-	-	-	-	-	-	-													
Ill.	-	7	-	5	-	-	-	-													
Mich.	-	8	-	10	-	-	-	-													
Wis.	-	-	-	2	-	-	-	-													
W.N. CENTRAL	-	21	-	5	-	-	-	-													
Minn.	-	11	-	-	-	-	-	-													
Iowa	-	-	-	-	-	-	-	-													
Mo.	-	6	-	2	-	-	-	-													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	1	-	-	-	-													
Nebr.	-	1	-	-	-	-	-	-													
Kans.	-	3	-	2	-	-	-	-													
S. ATLANTIC	-	24	-	-	-	1	-	-													
Del.	-	-	-	-	-	-	-	-													
Md.	-	2	-	-	-	-	-	-													
D.C.	-	-	-	-	-	-	-	-													
Va.	-	-	-	-	-	-	-	-													
W. Va.	-	-	-	-	-	-	-	-													
N.C.	-	10	-	-	-	-	-	-													
S.C.	-	-	-	-	-	-	-	-													
Ga.	-	12	-	-	-	-	-	-													
Fla.	-	-	-	-	-	1	-	-													
E.S. CENTRAL	-	15	-	-	-	-	-	-													
Ky.	-	3	-	-	-	-	-	-													
Tenn.	-	-	-	-	-	-	-	-													
Ala.	-	6	-	-	-	-	-	-													
Miss.	-	6	-	-	-	-	-	-													
W.S. CENTRAL	-	37	-	6	-	5	-	-													
Ark.	-	-	-	-	-	-	-	-													
La.	-	2	-	-	-	5	-	-													
Okla.	-	-	-	-	-	-	-	-													
Tex.	-	35	-	6	-	-	-	-													
MOUNTAIN	-	7	-	7	-	1	-	-													
Mont.	-	-	-	-	-	-	-	-													
Idaho	-	-	-	-	-	-	-	-													
Wyo.	-	-	-	-	-	-	-	-													
Colo.	-	3	-	5	-	-	-	-													
N. Mex.	-	4	-	2	-	1	-	-													
Ariz.	-	-	-	-	-	-	-	-													
Utah	-	-	-	-	-	-	-	-													
Nev.	-	-	-	-	-	-	-	-													
PACIFIC	-	28	-	2	-	-	-	-													
Wash.	-	-	-	-	-	-	-	-													
Oreg.	-	-	-	-	-	-	-	-													
Calif.	-	28	-	2	-	-	-	-													
Alaska	-	-	-	-	-	-	-	-													
Hawaii	-	-	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	-	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


