
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending March 17, 2001 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis NETSS cummulative for 2001
Shigellosis NETSS cummulative for 2000
Shigellosis PHLIS cummulative for 2001
Shigellosis PHLIS cummulative for 2000
Syphilis (Primary and Secondary) cummulative for 2001
Syphilis (Primary and Secondary) cummulative for 2000
Tuberculosis cummulative for 2001
Tuberculosis cummulative for 2000

tab delimited data:
test
UNITED STATES	1,870	3,053	987	1,957	909	1,336	1,321	2,067													
NEW ENGLAND	22	66	27	52	7	20	62	57													
Maine	-	2	-	-	-	-	-	2													
N.H.	-	1	-	1	-	-	6	1													
Vt.	-	1	-	-	-	-	-	-													
Mass.	17	47	19	36	4	17	34	35													
R.I.	-	6	1	6	-	1	3	2													
Conn.	5	9	7	9	3	2	19	17													
MID. ATLANTIC	161	269	122	262	51	57	266	331													
Upstate N.Y.	87	71	2	82	3	2	33	26													
N.Y. City	60	126	56	102	36	29	106	194													
N.J.	-	45	21	36	7	10	79	79													
Pa.	14	27	43	42	5	16	48	32													
E.N. CENTRAL	301	515	169	181	117	275	159	187													
Ohio	86	26	43	23	13	16	21	38													
Ind.	56	57	8	10	26	91	14	14													
Ill.	74	198	68	2	15	96	79	111													
Mich.	68	175	48	140	57	56	26	13													
Wis.	17	59	2	6	6	16	19	11													
W.N. CENTRAL	219	169	162	124	8	23	63	85													
Minn.	66	39	104	47	5	3	34	32													
Iowa	39	22	2	23	-	6	9	7													
Mo.	63	86	44	37	2	11	14	35													
N. Dak.	9	-	1	1	-	-	-	-													
S. Dak.	4	1	1	-	-	-	1	3													
Nebr.	13	15	-	11	-	2	5	1													
Kans.	25	6	10	5	1	1	-	7													
S. ATLANTIC	303	313	101	116	370	422	257	309													
Del.	2	1	-	2	1	2	-	-													
Md.	21	24	4	8	42	81	25	40													
D.C.	13	-	U	U	9	16	10	-													
Va.	14	12	6	13	31	27	21	23													
W. Va.	3	1	6	2	-	1	6	9													
N.C.	91	18	47	10	102	111	22	49													
S.C.	22	3	11	1	54	36	14	18													
Ga.	24	23	23	51	38	70	50	73													
Fla.	113	231	4	29	93	78	109	97													
E.S. CENTRAL	149	137	37	101	107	188	110	156													
Ky.	57	31	16	20	9	18	12	14													
Tenn.	19	62	16	75	51	123	31	58													
Ala.	37	9	-	4	23	25	56	61													
Miss.	36	35	5	2	24	22	11	23													
W.S. CENTRAL	188	511	223	166	146	194	39	356													
Ark.	88	45	65	3	12	12	23	20													
La.	11	69	38	35	28	51	-	6													
Okla.	2	8	-	5	18	45	16	9													
Tex.	87	389	120	123	88	86	-	321													
MOUNTAIN	150	212	82	86	40	39	54	85													
Mont.	-	-	-	-	-	-	-	-													
Idaho	5	22	-	15	-	-	4	-													
Wyo.	-	1	-	1	-	-	-	-													
Colo.	32	38	21	17	2	1	18	9													
N. Mex.	26	23	20	14	4	3	1	17													
Ariz.	74	74	34	31	26	33	14	22													
Utah	5	5	7	8	6	-	4	7													
Nev.	8	49	-	-	2	2	13	30													
PACIFIC	377	861	64	869	63	118	311	501													
Wash.	39	160	37	190	13	10	38	34													
Oreg.	21	79	19	46	2	2	-	1													
Calif.	316	609	-	624	45	106	266	437													
Alaska	1	3	-	2	-	-	7	12													
Hawaii	-	10	8	7	3	-	-	17													
Guam	-	-	U	U	-	-	-	-													
P.R.	3	10	U	U	62	37	-	17													
V.I.	U	U	U	U	U	U	U	U													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	U	U	U	U	U	U	U	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


