
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending May 6, 2006 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2005
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2006
Syphillis, primary & secondary cummulative for 2005
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2006
Varicella (chickenpox) cummulative for 2005

tab delimited data:
test
UNITED STATES	42	51	332	1,144	1,204	69	169	331	2,542	2,759	897	702	3,127	18,557	10,553						
NEW ENGLAND	-	2	24	10	112	1	4	17	63	64	34	47	163	525	1,806						
Conn.	U	1	7	U	U	-	0	11	15	3	U	15	67	U	U						
Maine	N	0	0	N	N	-	0	2	3	1	-	5	20	85	133						
Mass.	-	1	6	-	52	1	2	5	36	53	-	4	85	2	998						
N.H.	-	0	0	-	-	-	0	2	4	3	4	5	38	143	-						
R.I.	-	0	11	1	6	-	0	6	3	4	-	0	0	-	-						
Vt.	-	0	4	9	9	-	0	1	2	-	30	8	25	295	26						
MID. ATLANTIC	2	2	15	61	123	10	20	36	350	350	77	111	183	2,186	2,069						
N.J.	N	0	0	N	N	6	2	7	66	44	-	0	0	-	-						
N.Y. (Upstate)	-	1	10	16	46	2	2	15	54	25	-	0	0	-	-						
N.Y. City	U	0	0	U	U	-	11	21	155	229	-	0	0	-	-						
Pa.	2	2	9	45	77	2	4	9	75	52	77	111	183	2,186	2,069						
E.N. CENTRAL	12	12	40	286	275	8	17	38	280	287	390	155	559	7,409	2,622						
Ill.	-	0	2	8	3	-	8	23	116	154	-	1	5	4	34						
Ind.	8	3	21	69	81	-	1	5	24	23	N	0	347	N	N						
Mich.	-	1	4	9	19	3	2	19	47	29	86	91	231	2,127	1,612						
Ohio	4	6	32	200	172	5	4	11	78	72	304	42	423	4,920	742						
Wis.	N	0	0	N	N	-	1	3	15	9	-	11	41	358	234						
W.N. CENTRAL	1	1	191	21	25	-	4	9	60	87	18	20	84	767	79						
Iowa	N	0	0	N	N	-	0	1	3	4	N	0	0	N	N						
Kans.	N	0	0	N	N	-	0	2	9	7	-	0	0	-	-						
Minn.	-	0	191	-	-	-	1	4	11	23	-	0	0	-	-						
Mo.	1	1	3	21	22	-	3	8	36	51	17	15	82	720	12						
Nebr.	-	0	1	-	1	-	0	1	1	2	-	0	1	-	-						
N. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	25	18	10						
S. Dak.	-	0	1	-	2	-	0	1	-	-	1	1	12	29	57						
S. ATLANTIC	24	23	51	594	477	23	43	182	621	613	32	55	859	1,839	866						
Del.	-	0	2	-	1	1	0	2	10	6	1	1	5	33	12						
D.C.	-	0	3	19	13	-	2	9	35	36	-	0	5	14	15						
Fla.	14	13	36	328	244	13	15	29	249	252	-	0	0	-	-						
Ga.	10	7	19	207	176	-	8	143	47	83	-	0	0	-	-						
Md.	-	0	0	-	-	-	5	19	100	93	-	0	0	-	-						
N.C.	N	0	0	N	N	7	5	17	108	82	-	0	0	-	-						
S.C.	-	0	0	-	-	2	1	7	25	24	-	15	48	447	229						
Va.	N	0	0	N	N	-	3	12	47	35	23	17	813	639	101						
W. Va.	-	2	10	40	43	-	0	1	-	2	8	24	70	706	509						
E.S. CENTRAL	2	3	14	91	82	2	9	20	184	148	-	0	16	16	-						
Ala.	N	0	0	N	N	-	3	12	84	60	-	0	16	16	-						
Ky.	2	0	5	20	15	2	1	8	29	11	N	0	0	N	N						
Miss.	-	0	0	-	-	-	0	5	11	19	-	0	0	-	-						
Tenn.	-	3	13	71	67	-	4	11	60	58	N	0	0	N	N						
W.S. CENTRAL	-	1	8	42	79	17	24	37	446	438	274	180	1,717	4,431	1,720						
Ark.	-	0	3	6	6	5	1	6	33	19	26	3	110	330	-						
La.	-	1	5	36	73	-	4	17	39	88	-	0	17	82	99						
Okla.	N	0	0	N	N	4	1	6	27	12	-	0	0	-	-						
Tex.	N	0	0	N	N	8	17	30	347	319	248	170	1,607	4,019	1,621						
MOUNTAIN	1	1	27	39	31	5	8	17	118	149	72	49	135	1,384	1,391						
Ariz.	N	0	0	N	N	5	3	13	64	47	-	0	0	-	-						
Colo.	N	0	0	N	N	-	1	3	10	18	34	35	76	749	956						
Idaho	N	0	0	N	N	-	0	3	2	13	-	0	0	-	-						
Mont.	-	0	1	-	-	-	0	1	-	5	-	0	0	-	-						
Nev.	-	0	27	1	2	-	2	6	22	41	1	0	2	4	-						
N. Mex.	-	0	0	-	-	-	1	5	19	20	-	3	32	198	114						
Utah	-	0	8	19	13	-	0	1	1	5	37	9	55	424	278						
Wyo.	1	0	3	19	16	-	0	0	-	-	-	0	3	9	43						
