
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending August 16, 2008 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	39	91	259	3,686	3,808	11	36	166	1,037	1,162											
NEW ENGLAND	2	6	31	272	295	-	1	14	48	92											
Conn.	2	0	26	84	90	-	0	11	-	12											
Maine	-	0	3	20	21	-	0	1	1	1											
Mass.	-	3	8	125	144	-	1	5	37	61											
N.H.	-	0	2	18	23	-	0	1	7	8											
R.I.	-	0	8	14	2	-	0	1	2	8											
Vt.	-	0	2	11	15	-	0	1	1	2											
MID. ATLANTIC	8	18	43	772	727	-	4	19	135	210											
N.J.	-	3	11	128	133	-	1	6	27	42											
N.Y. (Upstate)	3	6	17	257	221	-	2	14	68	75											
N.Y. City	-	3	10	135	180	-	1	12	40	93											
Pa.	5	5	16	252	193	N	0	0	N	N											
E.N. CENTRAL	4	19	63	795	763	2	6	23	219	207											
Ill.	-	5	16	199	233	-	1	6	46	50											
Ind.	-	2	11	102	89	1	0	14	26	13											
Mich.	-	3	10	124	159	-	1	5	51	56											
Ohio	3	5	14	210	178	1	1	5	37	44											
Wis.	1	2	42	160	104	-	1	9	59	44											
W.N. CENTRAL	3	5	39	290	246	1	2	16	89	59											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	6	39	26	-	0	3	14	-											
Minn.	-	0	35	130	116	1	0	13	34	35											
Mo.	2	2	10	67	65	-	1	2	26	15											
Nebr.	1	0	3	28	20	-	0	3	6	8											
N. Dak.	-	0	5	10	12	-	0	2	4	1											
S. Dak.	-	0	2	16	7	-	0	1	5	-											
S. ATLANTIC	15	19	34	642	895	4	5	13	135	200											
Del.	-	0	2	6	8	-	0	0	-	-											
D.C.	-	0	2	15	16	-	0	1	1	2											
Fla.	5	6	11	182	205	3	1	4	43	40											
Ga.	5	5	12	165	176	-	1	5	23	45											
Md.	3	0	6	16	154	1	0	4	3	48											
N.C.	-	2	10	98	125	N	0	0	N	N											
S.C.	2	1	5	44	80	-	1	4	36	26											
Va.	-	3	12	93	111	-	0	6	24	32											
W. Va.	-	0	3	23	20	-	0	1	5	7											
E.S. CENTRAL	-	4	9	124	159	1	2	11	66	64											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	28	32	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	16	5											
Tenn.	-	3	7	96	127	1	2	9	50	59											
W.S. CENTRAL	2	8	85	311	222	2	5	66	168	160											
Ark.	-	0	2	4	17	-	0	2	4	9											
La.	-	0	2	11	14	-	0	2	6	28											
Okla.	1	2	19	78	51	1	1	7	49	35											
Tex.	1	5	65	218	140	1	3	58	109	88											
MOUNTAIN	4	10	22	378	405	1	5	12	167	159											
Ariz.	1	3	9	143	151	1	2	8	84	78											
Colo.	2	2	8	105	103	-	1	4	46	31											
Idaho	-	0	2	11	10	-	0	1	3	2											
Mont.	N	0	0	N	N	-	0	1	4	1											
Nev.	1	0	2	8	2	N	0	0	N	N											
N. Mex.	-	2	7	66	68	-	0	3	14	27											
Utah	-	1	5	39	66	-	0	3	15	20											
Wyo.	-	0	2	6	5	-	0	1	1	-											
PACIFIC	1	3	10	102	96	-	0	2	10	11											
Alaska	-	0	4	27	20	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	1	2	10	75	76	-	0	2	10	11											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	30	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	3	-	10	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


