
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending June 22, 2002 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	243	140	6	11	2	-	12,782	13,900													
NEW ENGLAND	-	1	-	-	-	-	767	1,025													
Maine	-	-	-	-	-	-	63	100													
N.H.	-	-	-	-	-	-	45	73													
Vt.	-	-	-	-	-	-	29	35													
Mass.	-	1	-	-	-	-	432	579													
R.I.	-	-	-	-	-	-	40	54													
Conn.	-	-	-	-	-	-	158	184													
MID. ATLANTIC	14	7	2	4	-	-	1,600	1,912													
Upstate N.Y.	3	-	1	1	-	-	527	430													
N.Y. City	2	1	-	2	-	-	558	526													
N.J.	2	2	1	1	-	-	188	434													
Pa.	7	4	-	-	-	-	327	522													
E.N. CENTRAL	3	10	-	2	-	-	2,121	1,944													
Ohio	3	1	-	-	-	-	601	594													
Ind.	-	1	-	-	-	-	176	175													
Ill.	-	8	-	2	-	-	654	535													
Mich.	-	-	-	-	-	-	372	336													
Wis.	-	-	-	-	-	-	318	304													
W.N. CENTRAL	26	28	-	3	-	-	980	838													
Minn.	-	-	-	-	-	-	217	259													
Iowa	1	1	-	1	-	-	162	132													
Mo.	24	25	-	1	-	-	382	202													
N. Dak.	-	-	-	-	-	-	22	15													
S. Dak.	-	2	-	-	-	-	35	52													
Nebr.	-	-	-	-	-	-	51	62													
Kans.	1	-	-	1	-	-	111	116													
S. ATLANTIC	156	51	2	1	-	-	3,155	2,948													
Del.	2	-	-	-	-	-	20	33													
Md.	21	9	1	-	-	-	319	309													
D.C.	-	-	-	-	-	-	36	33													
Va.	6	3	-	-	-	-	345	465													
W. Va.	1	-	-	-	-	-	43	48													
N.C.	81	23	-	-	-	-	465	437													
S.C.	28	8	-	-	-	-	189	304													
Ga.	14	5	-	-	-	-	732	524													
Fla.	3	3	1	1	-	-	1,006	795													
E.S. CENTRAL	27	31	-	-	1	-	815	778													
Ky.	2	1	-	-	-	-	129	141													
Tenn.	18	25	-	-	1	-	214	208													
Ala.	7	2	-	-	-	-	249	229													
Miss.	-	3	-	-	-	-	223	200													
W.S. CENTRAL	13	7	1	-	-	-	463	1,519													
Ark.	-	4	-	-	-	-	239	202													
La.	-	1	-	-	-	-	80	282													
Okla.	13	2	-	-	-	-	142	114													
Tex.	-	-	1	-	-	-	2	921													
MOUNTAIN	4	5	-	-	-	-	907	886													
Mont.	1	1	-	-	-	-	40	36													
Idaho	-	1	-	-	-	-	56	52													
Wyo.	2	1	-	-	-	-	24	28													
Colo.	-	-	-	-	-	-	234	244													
N. Mex.	-	-	-	-	-	-	121	112													
Ariz.	-	-	-	-	-	-	276	240													
Utah	-	2	-	-	-	-	63	96													
Nev.	1	-	-	-	-	-	93	78													
PACIFIC	-	-	1	1	1	-	1,974	2,050													
Wash.	-	-	-	-	-	-	179	201													
Oreg.	-	-	-	-	-	-	181	122													
Calif.	-	-	1	-	-	-	1,467	1,548													
Alaska	-	-	-	-	-	-	34	22													
Hawaii	-	-	-	1	1	-	113	157													
Guam	-	-	-	-	-	-	-	8													
P.R.	-	-	-	3	-	-	69	417													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	17	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


