
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending September 20, 2003 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	1,583	2,599	161	142	98	32	12,107	14,460	223,004	255,229											
NEW ENGLAND	103	195	27	38	12	4	865	1,307	5,089	5,548											
Maine	8	24	-	6	-	-	123	141	142	96											
N.H.	11	25	2	-	-	-	21	33	76	92											
Vt.	13	8	-	1	-	-	88	96	59	77											
Mass.	41	93	3	16	12	4	384	711	2,112	2,403											
R.I.	1	8	-	1	-	-	82	115	695	630											
Conn.	29	37	22	14	-	-	167	211	2,005	2,250											
MID. ATLANTIC	171	276	11	1	24	6	2,378	2,946	29,973	30,692											
Upstate N.Y.	70	120	7	-	11	-	700	834	5,551	6,228											
N.Y. City	4	13	-	-	-	-	772	1,085	9,227	9,262											
N.J.	13	47	-	-	-	1	241	343	5,744	5,553											
Pa.	84	96	4	1	13	5	665	684	9,451	9,649											
E.N. CENTRAL	359	652	18	26	16	3	1,965	2,485	43,908	53,416											
Ohio	74	110	13	9	15	2	631	636	13,077	15,563											
Ind.	65	47	-	-	-	-	-	-	4,514	5,246											
Ill.	65	154	-	6	-	-	504	710	13,021	17,665											
Mich.	58	104	-	3	-	1	505	643	9,686	10,501											
Wis.	97	237	5	8	1	-	325	496	3,610	4,441											
W.N. CENTRAL	278	367	28	26	21	3	1,365	1,432	11,801	13,138											
Minn.	99	127	15	22	1	-	525	552	1,977	2,286											
Iowa	60	90	-	-	-	-	196	221	607	922											
Mo.	59	48	8	-	1	-	349	342	6,083	6,498											
N. Dak.	8	4	-	-	9	-	24	14	30	52											
S. Dak.	20	33	4	1	-	-	54	51	164	189											
Nebr.	14	43	1	3	-	-	87	122	1,083	1,131											
Kans.	18	22	-	-	10	3	130	130	1,857	2,060											
S. ATLANTIC	107	203	51	26	7	-	1,917	2,125	56,113	64,868											
Del.	4	5	N	N	N	N	32	40	847	1,155											
Md.	7	22	-	-	-	-	76	89	5,700	6,522											
D.C.	1	-	-	-	-	-	37	30	1,648	1,916											
Va.	30	48	8	6	-	-	244	204	5,628	7,603											
W. Va.	3	6	-	-	-	-	28	44	638	713											
N.C.	4	33	17	-	-	-	N	N	10,977	11,637											
S.C.	-	5	-	-	-	-	82	97	6,008	6,806											
Ga.	23	38	3	7	-	-	658	679	11,657	12,692											
Fla.	35	46	23	13	7	-	760	942	13,010	15,824											
E.S. CENTRAL	58	83	2	-	6	9	237	271	18,492	22,259											
Ky.	20	22	2	-	6	9	N	N	2,627	2,702											
Tenn.	23	36	-	-	-	-	117	119	6,025	6,868											
Ala.	12	17	-	-	-	-	120	152	5,554	7,676											
Miss.	3	8	-	-	-	-	-	-	4,286	5,013											
W.S. CENTRAL	62	91	1	-	7	3	209	174	29,787	35,888											
Ark.	8	9	-	-	-	-	108	119	2,877	3,463											
La.	3	4	-	-	-	-	5	4	7,444	8,885											
Okla.	21	16	-	-	-	-	96	49	2,691	3,539											
Tex.	30	62	1	-	7	3	-	2	16,775	20,001											
MOUNTAIN	205	253	20	19	5	4	1,110	1,142	7,153	7,984											
Mont.	12	23	-	-	-	-	77	72	72	68											
Idaho	46	35	14	10	-	-	137	86	55	64											
Wyo.	2	11	-	2	-	-	16	22	33	44											
Colo.	53	76	3	4	5	4	310	380	1,824	2,515											
N. Mex.	6	5	3	3	-	-	35	118	819	1,092											
Ariz.	25	28	N	N	N	N	200	144	2,662	2,639											
Utah	43	53	-	-	-	-	249	216	304	198											
Nev.	18	22	-	-	-	-	86	104	1,384	1,364											
PACIFIC	240	479	3	6	-	-	2,061	2,578	20,688	21,436											
Wash.	67	109	1	-	-	-	207	303	1,948	2,118											
Oreg.	68	167	2	6	-	-	290	316	595	612											
Calif.	97	165	-	-	-	-	1,445	1,817	17,165	17,779											
Alaska	2	6	-	-	-	-	56	73	382	434											
Hawaii	6	32	-	-	-	-	63	69	598	493											
Guam	N	N	-	-	-	-	-	7	-	37											
P.R.	-	1	-	-	-	-	35	58	151	273											
V.I.	-	-	-	-	-	-	-	-	36	31											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


