
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 4, 2005 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	13,232	16,816	363,616	383,909	1,707	1,854	757	1,000													
NEW ENGLAND	532	566	12,729	12,770	-	-	42	59													
Maine	4	5	885	823	N	N	4	9													
N.H.	7	23	781	728	-	-	6	14													
Vt.	3	13	426	497	-	-	10	6													
Mass.	275	151	6,051	5,691	-	-	15	21													
R.I.	47	66	1,361	1,460	-	-	1	1													
Conn.	196	308	3,225	3,571	N	N	6	8													
MID. ATLANTIC	2,558	3,919	43,857	48,189	-	-	109	167													
Upstate N.Y.	253	462	9,229	9,292	N	N	28	34													
N.Y. City	1,476	2,145	14,411	15,037	-	-	24	51													
N.J.	413	670	4,619	7,687	N	N	7	13													
Pa.	416	642	15,598	16,173	N	N	50	69													
E.N. CENTRAL	1,204	1,446	56,849	68,619	3	5	154	256													
Ohio	185	233	14,576	17,514	N	N	54	58													
Ind.	165	164	8,396	7,726	N	N	11	30													
Ill.	661	703	16,852	19,795	-	-	12	42													
Mich.	138	263	9,944	15,954	3	5	23	49													
Wis.	55	83	7,081	7,630	N	N	54	77													
W.N. CENTRAL	318	323	21,472	23,501	3	3	116	98													
Minn.	88	79	3,370	4,901	3	N	33	39													
Iowa	41	20	2,856	2,838	N	N	19	15													
Mo.	132	127	9,331	8,669	-	3	44	20													
N. Dak.	5	14	412	823	N	N	-	1													
S. Dak.	9	5	1,190	1,044	-	-	11	11													
Nebr.	5	21	1,580	2,196	-	-	1	-													
Kans.	38	57	2,733	3,030	N	N	8	12													
S. ATLANTIC	4,263	5,192	69,528	71,132	-	-	154	185													
Del.	70	76	1,407	1,241	N	N	-	-													
Md.	513	597	7,463	7,786	-	-	9	9													
D.C.	276	308	1,570	1,533	-	-	2	3													
Va.	223	282	8,671	9,162	-	-	12	23													
W. Va.	22	29	984	1,185	N	N	4	2													
N.C.	350	296	14,010	11,275	N	N	21	34													
S.C.	215	328	8,219	7,053	-	-	7	9													
Ga.	741	799	9,454	14,103	-	-	38	54													
Fla.	1,853	2,477	17,750	17,794	N	N	61	51													
E.S. CENTRAL	770	774	26,209	23,975	-	3	22	42													
Ky.	91	68	4,605	2,312	N	N	8	12													
Tenn.	313	324	9,261	9,522	N	N	4	12													
Ala.	213	203	3,534	5,829	-	-	9	10													
Miss.	153	179	8,809	6,312	-	3	1	8													
W.S. CENTRAL	1,513	2,023	45,949	48,935	-	2	21	37													
Ark.	71	88	3,570	3,418	-	1	1	7													
La.	278	340	7,768	11,044	-	1	3	-													
Okla.	112	87	4,576	4,590	N	N	10	9													
Tex.	1,052	1,508	30,035	29,883	N	N	7	21													
MOUNTAIN	537	559	22,127	21,589	1,137	1,125	46	46													
Mont.	3	-	880	1,052	N	N	6	8													
Idaho	5	3	756	1,279	N	N	2	4													
Wyo.	-	6	462	458	1	-	2	2													
Colo.	107	97	5,794	5,514	N	N	18	23													
N. Mex.	56	90	1,478	3,688	3	9	2	2													
Ariz.	227	200	8,297	5,901	1,100	1,085	4	5													
Utah	25	32	1,785	1,426	2	6	7	1													
Nev.	114	131	2,675	2,271	31	25	5	1													
PACIFIC	1,537	2,014	64,896	65,199	564	716	93	110													
Wash.	144	165	8,124	7,348	N	N	5	-													
Oreg.	90	110	3,522	3,412	-	-	17	13													
Calif.	1,250	1,685	49,567	50,361	564	716	71	95													
Alaska	9	13	1,644	1,656	-	-	-	-													
Hawaii	44	41	2,039	2,422	-	-	-	2													
Guam	1	-	-	641	-	-	-	-													
P.R.	335	208	1,819	1,315	N	N	N	N													
V.I.	7	5	32	157	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


