
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending July 23, 2011 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	65	7	109	311	375	35	16	58	242	1,152	4	1	13	45	61						
NEW ENGLAND	-	0	2	3	3	1	2	16	73	56	-	0	1	1	2						
Conn.	-	0	0	-	-	-	0	6	-	22	-	0	0	-	-						
Maine	-	0	1	1	2	1	0	2	10	12	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	10	42	-	-	0	0	-	-						
N.H.	-	0	1	1	1	-	0	3	7	8	-	0	1	1	2						
R.I.	-	0	1	1	-	-	0	6	12	13	-	0	0	-	-						
Vt.	-	0	0	-	-	-	0	1	2	1	-	0	0	-	-						
MID. ATLANTIC	5	1	7	28	56	26	4	20	113	125	-	0	2	3	7						
N.J.	-	0	2	-	39	-	0	3	-	49	-	0	0	-	1						
N.Y. (Upstate)	5	0	7	25	12	26	3	18	99	70	-	0	2	3	4						
N.Y. City	-	0	1	3	4	-	0	5	14	6	-	0	0	-	-						
Pa.	-	0	1	-	1	-	0	1	-	-	-	0	1	-	2						
E.N. CENTRAL	-	0	4	10	29	-	1	20	7	367	1	0	4	18	32						
Ill.	-	0	2	6	10	-	0	2	2	2	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	1	0	3	13	12						
Mich.	-	0	1	1	1	-	0	1	-	2	-	0	1	1	-						
Ohio	-	0	3	3	5	-	0	1	2	1	-	0	1	1	-						
Wis.	-	0	1	-	13	-	1	19	3	362	-	0	3	1	17						
W.N. CENTRAL	3	1	15	83	86	1	1	22	16	556	1	0	11	14	8						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	1	2	5	-	0	0	-	1	-	0	0	-	-						
Minn.	-	0	12	-	-	-	0	22	1	548	-	0	11	-	-						
Mo.	3	0	15	81	81	1	0	4	15	7	1	0	7	12	8						
Nebr.	-	0	1	-	-	-	0	0	-	-	-	0	1	1	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	-						
S. ATLANTIC	28	3	18	116	132	7	1	4	26	36	1	0	1	2	2						
Del.	-	0	2	12	12	-	0	1	1	4	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	2	0	3	13	6	-	0	1	3	1	-	0	0	-	-						
Ga.	1	0	3	11	16	1	0	1	6	1	-	0	1	1	1						
Md.	3	0	2	15	14	-	0	1	1	12	-	0	1	-	1						
N.C.	17	0	13	32	40	6	0	4	13	12	-	0	0	-	-						
S.C.	-	0	1	-	3	-	0	1	-	-	-	0	0	-	-						
Va.	5	1	8	33	40	-	0	1	2	6	-	0	1	-	-						
W. Va.	-	0	1	-	1	-	0	0	-	-	1	0	0	1	-						
E.S. CENTRAL	2	0	11	33	55	-	0	2	7	12	1	0	1	4	7						
Ala.	-	0	3	-	7	-	0	1	3	4	N	0	0	N	N						
Ky.	-	0	2	7	10	-	0	0	-	-	-	0	0	-	1						
Miss.	-	0	1	-	2	-	0	1	-	1	-	0	0	-	1						
Tenn.	2	0	7	26	36	-	0	2	4	7	1	0	1	4	5						
W.S. CENTRAL	27	0	87	38	13	-	0	9	-	-	-	0	1	-	1						
Ark.	-	0	7	10	-	-	0	2	-	-	-	0	0	-	-						
La.	-	0	0	-	1	-	0	0	-	-	-	0	0	-	-						
Okla.	26	0	82	27	10	-	0	7	-	-	-	0	0	-	-						
Tex.	1	0	1	1	2	-	0	1	-	-	-	0	1	-	1						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	1	2	-						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	2	-						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	-	0	1	-	1	-	0	0	-	-	-	0	1	1	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	1	-	1	-	0	0	-	-	-	0	1	1	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Wash.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


