
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 3, 2001 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2001
H. influenzae, Invasive cummulative for 2000
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2000
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2001
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2001
Measles (Rubeola), Total cummulative for 2001
Measles (Rubeola), Total cummulative for 2000

tab delimited data:
test
UNITED STATES	88	114	486	1,131	258	495	3	4	1	1	5	2									
NEW ENGLAND	4	12	28	28	4	13	-	-	-	-	-	-									
Maine	-	-	-	1	1	1	-	-	-	-	-	-									
N.H.	-	1	3	5	2	3	-	-	-	-	-	-									
Vt.	-	2	-	1	-	2	-	-	-	-	-	-									
Mass.	4	9	5	11	1	1	-	-	-	-	-	-									
R.I.	-	-	2	-	-	-	-	-	-	-	-	-									
Conn.	-	-	18	10	-	6	-	-	-	-	-	-									
MID. ATLANTIC	12	14	22	55	22	88	-	-	-	-	-	-									
Upstate N.Y.	4	6	10	7	1	4	-	-	-	-	-	-									
N.Y. City	3	5	10	39	15	52	-	-	-	-	-	-									
N.J.	4	2	-	3	-	6	-	-	-	-	-	-									
Pa.	1	1	2	6	6	26	-	-	-	-	-	-									
E.N. CENTRAL	10	17	80	199	51	57	-	-	-	-	-	1									
Ohio	8	7	24	47	12	9	-	-	-	-	-	-									
Ind.	1	2	1	4	1	1	-	-	-	-	-	-									
Ill.	-	7	11	82	-	-	-	-	-	-	-	-									
Mich.	1	1	44	55	38	46	-	-	-	-	-	1									
Wis.	-	-	-	11	-	1	-	-	-	-	-	-									
W.N. CENTRAL	1	3	46	121	12	35	-	-	-	-	-	-									
Minn.	-	-	-	7	-	-	-	-	-	-	-	-									
Iowa	-	-	3	10	-	6	-	-	-	-	-	-									
Mo.	1	3	8	89	7	25	-	-	-	-	-	-									
N. Dak.	-	-	-	-	-	-	-	-	-	-	-	-									
S. Dak.	-	-	-	-	1	-	-	-	-	-	-	-									
Nebr.	-	-	15	3	4	2	-	-	-	-	-	-									
Kans.	-	-	20	12	-	2	-	-	-	-	-	-									
S. ATLANTIC	30	22	78	53	38	52	1	1	1	1	2	-									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	6	13	29	15	8	18	1	1	1	1	2	-									
D.C.	-	-	1	-	2	-	-	-	-	-	-	-									
Va.	3	6	9	3	6	6	-	-	-	-	-	-									
W. Va.	1	1	-	5	-	-	-	-	-	-	-	-									
N.C.	6	2	5	21	9	21	-	-	-	-	-	-									
S.C.	1	-	4	1	-	1	-	-	-	-	-	-									
Ga.	4	-	-	-	1	-	-	-	-	-	-	-									
Fla.	9	-	30	8	12	6	-	-	-	-	-	-									
E.S. CENTRAL	1	3	23	62	15	44	-	-	-	-	-	-									
Ky.	-	1	1	3	2	3	-	-	-	-	-	-									
Tenn.	-	2	12	16	1	21	-	-	-	-	-	-									
Ala.	1	-	10	8	9	3	-	-	-	-	-	-									
Miss.	-	-	-	35	3	17	-	-	-	-	-	-									
W.S. CENTRAL	1	11	26	222	13	35	-	-	-	-	-	-									
Ark.	-	-	11	8	6	5	-	-	-	-	-	-									
La.	-	4	5	10	1	17	-	-	-	-	-	-									
Okla.	1	7	10	29	6	3	-	-	-	-	-	-									
Tex.	-	-	-	175	-	10	-	-	-	-	-	-									
MOUNTAIN	23	19	68	82	17	39	1	1	-	-	1	-									
Mont.	-	-	2	1	-	1	-	-	-	-	-	-									
Idaho	-	1	-	3	-	3	1	1	-	-	1	-									
Wyo.	-	-	1	-	-	-	U	-	U	-	-	-									
Colo.	-	5	1	24	-	10	-	-	-	-	-	-									
N. Mex.	7	7	3	9	5	9	-	-	-	-	-	-									
Ariz.	16	5	45	30	9	14	-	-	-	-	-	-									
Utah	-	1	4	8	-	1	-	-	-	-	-	-									
Nev.	-	-	12	7	3	1	-	-	-	-	-	-									
PACIFIC	6	13	115	309	86	132	1	2	-	-	2	1									
Wash.	-	2	1	3	3	1	-	-	-	-	-	-									
Oreg.	6	2	14	24	14	11	1	2	-	-	2	-									
Calif.	-	5	93	276	68	117	-	-	-	-	-	1									
Alaska	-	1	7	3	1	2	-	-	-	-	-	-									
Hawaii	-	3	-	3	-	1	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	-	-	-	-	-	-									
P.R.	-	-	-	22	1	9	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


