
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending December 2, 2000 (WEEK 48)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2000
H. influenzae, Invasive cummulative for 1999
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type B cummulative for 2000
Hepatitis (Viral), Type B cummulative for 1999
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2000
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2000
Measles (Rubeola), Total cummulative for 2000
Measles (Rubeola), Total cummulative for 1999

tab delimited data:
test
UNITED STATES	1,115	1,108	11,536	15,227	6,144	6,384	-	60	-	18	78	93									
NEW ENGLAND	96	90	345	327	88	138	-	3	-	4	7	11									
Maine	1	8	21	14	5	1	-	-	-	-	-	-									
N.H.	12	17	18	17	16	16	-	2	-	1	3	1									
Vt.	9	5	10	19	6	4	-	-	-	3	3	-									
Mass.	36	37	119	131	12	43	-	1	-	-	1	8									
R.I.	4	6	24	21	21	33	-	-	-	-	-	-									
Conn.	34	17	153	125	28	41	-	-	-	-	-	2									
MID. ATLANTIC	174	187	1,032	1,108	808	818	-	14	-	5	19	5									
Upstate N.Y.	94	74	215	252	128	170	-	9	-	-	9	2									
N.Y. City	38	57	348	371	416	246	-	5	-	4	9	3									
N.J.	32	50	100	143	57	130	-	-	-	-	-	-									
Pa.	10	6	369	342	207	272	-	-	-	1	1	-									
E.N. CENTRAL	137	185	1,416	2,751	663	651	-	9	-	-	9	4									
Ohio	51	57	249	613	98	87	-	2	-	-	2	-									
Ind.	28	23	114	99	46	38	-	-	-	-	-	2									
Ill.	48	79	592	772	110	52	-	4	-	-	4	1									
Mich.	7	19	448	1,196	408	445	-	3	-	-	3	1									
Wis.	3	7	13	71	1	29	-	-	-	-	-	-									
W.N. CENTRAL	70	70	689	929	516	324	-	3	-	1	4	1									
Minn.	42	45	183	95	36	52	-	-	-	1	1	1									
Iowa	1	2	64	137	31	40	-	2	-	-	2	-									
Mo.	17	10	305	587	381	194	-	-	-	-	-	-									
N. Dak.	2	1	3	3	2	2	-	-	-	-	-	-									
S. Dak.	1	2	2	9	1	1	-	-	-	-	-	-									
Nebr.	3	4	33	48	42	20	-	-	-	-	-	-									
Kans.	4	6	99	50	23	15	-	1	-	-	1	-									
S. ATLANTIC	284	233	1,400	1,752	1,233	1,045	-	4	-	-	4	20									
Del.	-	-	-	2	-	1	-	-	-	-	-	-									
Md.	74	66	199	281	113	144	-	-	-	-	-	-									
D.C.	-	5	24	58	29	25	-	-	-	-	-	-									
Va.	37	19	147	168	156	91	-	2	-	-	2	18									
W. Va.	9	7	53	40	15	23	-	-	-	-	-	-									
N.C.	23	31	131	152	236	212	-	-	-	-	-	-									
S.C.	15	5	76	44	21	63	-	-	-	-	-	-									
Ga.	67	62	284	447	220	149	-	-	-	-	-	-									
Fla.	59	38	486	560	443	337	-	2	-	-	2	2									
E.S. CENTRAL	48	65	367	383	422	444	-	-	-	-	-	2									
Ky.	12	7	45	66	70	45	-	-	-	-	-	2									
Tenn.	23	37	132	147	202	207	-	-	-	-	-	-									
Ala.	12	18	53	54	51	83	-	-	-	-	-	-									
Miss.	1	3	137	116	99	109	-	-	-	-	-	-									
W.S. CENTRAL	58	60	2,172	2,884	699	1,074	-	-	-	-	-	12									
Ark.	2	2	109	69	75	80	-	-	-	-	-	5									
La.	11	15	58	209	91	166	-	-	-	-	-	-									
Okla.	43	39	250	478	152	145	-	-	-	-	-	-									
Tex.	2	4	1,755	2,128	381	683	-	-	-	-	-	7									
MOUNTAIN	111	102	947	1,186	527	537	-	12	-	1	13	2									
Mont.	1	3	7	17	6	17	-	-	-	-	-	-									
Idaho	4	1	34	42	6	28	-	-	-	-	-	-									
Wyo.	1	1	45	8	38	14	-	-	-	-	-	-									
Colo.	20	14	200	210	105	92	-	2	-	1	3	-									
N. Mex.	23	18	69	50	107	172	-	-	-	-	-	-									
Ariz.	47	52	457	661	196	129	-	-	-	-	-	1									
Utah	11	9	61	58	24	33	-	3	-	-	3	-									
Nev.	4	4	74	140	45	52	-	7	-	-	7	1									
PACIFIC	137	116	3,168	3,907	1,188	1,353	-	15	-	7	22	36									
Wash.	7	8	268	369	111	75	-	2	-	1	3	5									
Oreg.	29	38	171	233	116	107	-	-	-	-	-	12									
Calif.	33	53	2,705	3,269	940	1,140	-	12	-	3	15	17									
Alaska	44	9	11	13	10	16	-	1	-	-	1	-									
Hawaii	24	8	13	23	11	15	-	-	-	3	3	2									
Guam	-	-	-	1	-	4	-	-	-	-	-	1									
P.R.	4	2	227	327	249	226	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


