
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending June 19, 2004 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	10,703	13,225	4,153	10,193	2,536	3,411	1,263	1,188	294	387											
NEW ENGLAND	601	664	107	122	119	321	15	62	7	1											
Maine	34	40	2	4	5	19	2	-	1	-											
N.H.	34	45	4	4	12	20	-	-	N	N											
Vt.	21	22	2	5	6	14	7	6	1	1											
Mass.	328	387	67	76	79	141	N	N	N	N											
R.I.	48	34	8	3	17	5	6	8	5	-											
Conn.	136	136	24	30	-	122	-	48	U	U											
MID. ATLANTIC	1,582	1,654	548	1,049	411	593	89	77	60	57											
Upstate N.Y.	400	338	269	136	139	210	41	37	43	41											
N.Y. City	437	457	151	168	55	88	U	U	U	U											
N.J.	243	296	78	185	79	124	-	-	2	2											
Pa.	502	563	50	560	138	171	48	40	15	14											
E.N. CENTRAL	1,553	1,847	344	855	520	853	292	264	88	177											
Ohio	447	518	74	126	146	197	214	178	50	61											
Ind.	158	190	84	54	63	72	78	86	21	16											
Ill.	321	608	87	482	107	224	-	-	-	68											
Mich.	335	279	50	127	177	248	N	N	N	N											
Wis.	292	252	49	66	27	112	N	N	17	32											
W.N. CENTRAL	900	745	168	318	183	204	122	9	34	40											
Minn.	212	191	22	42	90	96	-	-	25	26											
Iowa	183	136	34	22	N	N	N	N	N	N											
Mo.	254	209	72	152	40	45	6	6	4	2											
N. Dak.	15	16	1	4	8	8	-	3	1	2											
S. Dak.	35	30	6	8	8	17	3	-	-	-											
Nebr.	61	62	7	60	9	19	-	-	4	5											
Kans.	140	101	26	30	28	19	113	-	N	N											
S. ATLANTIC	2,644	3,064	1,228	3,155	509	559	586	620	10	6											
Del.	16	38	3	134	2	6	4	1	N	N											
Md.	239	320	50	237	106	146	-	4	-	-											
D.C.	15	14	20	30	5	4	3	-	3	-											
Va.	305	317	45	156	41	62	N	N	N	N											
W. Va.	50	32	-	-	16	25	64	37	7	6											
N.C.	340	419	137	355	73	59	N	N	U	U											
S.C.	140	167	185	208	35	28	51	94	N	N											
Ga.	407	473	263	684	107	119	130	148	N	N											
Fla.	1,132	1,284	525	1,351	124	110	334	336	N	N											
E.S. CENTRAL	707	828	247	462	128	111	74	86	-	-											
Ky.	128	134	34	52	43	29	19	11	N	N											
Tenn.	188	274	97	165	85	82	55	75	N	N											
Ala.	210	212	89	150	-	-	-	-	N	N											
Miss.	181	208	27	95	-	-	-	-	-	-											
W.S. CENTRAL	1,040	1,535	1,011	2,841	136	158	31	50	64	65											
Ark.	169	185	21	41	7	4	5	17	7	4											
La.	148	261	98	229	1	1	26	33	8	14											
Okla.	122	120	233	407	37	49	N	N	27	28											
Tex.	601	969	659	2,164	91	104	N	N	22	19											
MOUNTAIN	892	854	324	411	283	289	17	18	31	41											
Mont.	59	45	4	2	-	1	-	-	-	-											
Idaho	64	85	6	10	4	11	N	N	N	N											
Wyo.	22	46	1	1	6	1	5	3	-	-											
Colo.	200	216	53	65	75	81	-	-	28	38											
N. Mex.	85	81	48	90	52	75	5	14	-	-											
Ariz.	297	231	175	199	118	100	N	N	N	N											
Utah	90	79	17	21	27	19	5	1	3	3											
Nev.	75	71	20	23	1	1	2	-	-	-											
PACIFIC	784	2,034	176	980	247	323	37	2	-	-											
Wash.	187	233	45	83	34	29	-	-	N	N											
Oreg.	165	187	30	47	N	N	N	N	N	N											
Calif.	258	1,489	73	832	170	238	N	N	N	N											
Alaska	33	41	4	4	-	-	-	-	N	N											
Hawaii	141	84	24	14	43	56	37	2	-	-											
Guam	-	19	-	20	-	-	-	-	-	-											
P.R.	66	277	1	4	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


