
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 26, 2000 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2000
Gonorrhea cummulative for 1999
Hepatitis C/NA,NB cummulative for 2000
Hepatitis C/NA,NB cummulative for 1999
Legionellosis cummulative for 2000
Legionellosis cummulative for 1999
Lyme Disease cummulative for 2000
Lyme Disease cummulative for 1999

tab delimited data:
test
UNITED STATES	40,819	56,134	257	522	76	138	332	625													
NEW ENGLAND	948	1,165	-	2	4	10	37	98													
Maine	10	9	-	-	2	1	-	1													
N.H.	10	13	-	-	-	1	11	-													
Vt.	4	8	-	1	-	3	-	-													
Mass.	391	465	-	1	1	2	26	62													
R.I.	-	93	-	-	-	1	-	-													
Conn.	533	577	-	-	1	2	-	35													
MID. ATLANTIC	744	6,745	1	16	10	34	226	379													
Upstate N.Y.	387	717	1	7	3	5	63	62													
N.Y. City	-	2,866	-	-	-	6	1	14													
N.J.	95	1,165	-	-	-	5	-	92													
Pa.	262	1,997	-	9	7	18	162	211													
E.N. CENTRAL	6,964	9,942	44	288	22	45	2	23													
Ohio	1,481	2,599	-	-	15	14	2	8													
Ind.	797	1,034	-	-	3	1	-	-													
Ill.	2,051	3,024	3	5	-	10	-	1													
Mich.	1,964	2,407	41	87	4	12	-	1													
Wis.	671	878	-	196	-	8	U	13													
W.N. CENTRAL	1,093	3,098	37	35	4	4	4	6													
Minn.	354	475	-	-	1	-	2	-													
Iowa	110	99	-	-	1	2	-	1													
Mo.	367	1,882	36	32	2	1	2	2													
N. Dak.	-	8	-	-	-	-	-	1													
S. Dak.	33	26	-	-	-	-	-	-													
Nebr.	141	263	1	1	-	1	-	-													
Kans.	88	345	-	2	-	-	-	2													
S. ATLANTIC	9,566	17,354	11	34	20	17	46	82													
Del.	238	273	-	-	1	2	-	4													
Md.	412	2,589	2	18	6	2	37	67													
D.C.	312	1,281	-	-	-	-	-	1													
Va.	1,446	1,811	-	6	3	2	1	-													
W. Va.	22	104	1	2	N	N	2	-													
N.C.	2,490	3,247	5	7	1	3	4	10													
S.C.	574	2,080	-	1	2	4	-	-													
Ga.	1,396	2,703	-	-	-	-	-	-													
Fla.	2,676	3,266	3	-	7	4	2	-													
E.S. CENTRAL	4,810	5,214	50	28	2	7	-	9													
Ky.	553	584	4	3	-	4	-	-													
Tenn.	1,469	1,782	15	21	1	3	-	2													
Ala.	1,595	1,983	3	1	1	-	-	4													
Miss.	1,193	865	28	3	-	-	-	3													
W.S. CENTRAL	13,136	7,178	59	52	-	1	-	-													
Ark.	319	381	-	1	-	-	-	-													
La.	9,531	1,140	24	40	-	1	-	-													
Okla.	594	718	-	1	-	-	-	-													
Tex.	2,692	4,939	35	10	-	-	-	-													
MOUNTAIN	1,262	1,538	26	42	5	10	1	1													
Mont.	-	3	-	4	-	-	-	-													
Idaho	4	19	-	3	1	-	-	-													
Wyo.	5	6	13	16	-	-	-	-													
Colo.	540	323	5	4	2	1	-	-													
N. Mex.	62	160	4	6	-	1	-	1													
Ariz.	440	789	4	8	-	-	1	-													
Utah	50	32	-	1	2	5	-	-													
Nev.	161	206	-	-	-	3	-	-													
PACIFIC	2,296	3,900	29	25	9	10	16	27													
Wash.	362	334	2	2	2	1	-	-													
Oreg.	56	129	7	2	N	N	1	1													
Calif.	1,849	3,295	20	21	7	9	15	26													
Alaska	29	55	-	-	-	-	-	-													
Hawaii	-	87	-	-	-	-	N	N													
Guam	-	13	-	-	-	-	-	-													
P.R.	28	51	-	-	-	-	N	N													
V.I.	-	U	-	U	-	U	-	U													
Amer. Samoa	-	U	-	U	-	U	-	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


