
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending August 23, 2008 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	74	145	849	4,628	6,354	65	83	187	2,540	4,028	89	29	195	1,203	1,320						
NEW ENGLAND	-	19	49	382	985	9	7	20	229	365	-	0	1	2	7						
Conn.	-	0	4	-	60	7	3	17	125	155	-	0	0	-	-						
Maine	-	0	5	18	53	1	1	5	32	56	N	0	0	N	N						
Mass.	-	14	33	315	785	N	0	0	N	N	-	0	1	1	7						
N.H.	-	0	4	22	52	1	1	3	25	35	-	0	1	1	-						
R.I.	-	0	25	19	8	N	0	0	N	N	-	0	0	-	-						
Vt.	-	0	6	8	27	-	2	6	47	119	-	0	0	-	-						
MID. ATLANTIC	22	20	43	552	824	13	19	32	685	674	3	1	5	45	55						
N.J.	-	0	9	4	146	-	0	0	-	-	-	0	2	2	20						
N.Y. (Upstate)	13	6	24	253	402	13	9	20	324	342	1	0	3	15	6						
N.Y. City	-	2	7	45	83	-	0	2	11	32	-	0	2	14	20						
Pa.	9	8	23	250	193	-	10	23	350	300	2	0	2	14	9						
E.N. CENTRAL	13	19	190	810	1,113	6	5	53	133	266	1	1	8	60	40						
Ill.	-	3	8	94	119	-	1	10	49	76	-	0	7	39	25						
Ind.	2	0	12	31	43	-	0	1	4	8	1	0	1	4	5						
Mich.	3	4	16	130	199	1	1	32	47	135	-	0	1	3	3						
Ohio	8	6	176	506	481	5	1	11	33	47	-	0	4	14	6						
Wis.	-	2	9	49	271	N	0	0	N	N	-	0	0	-	1						
W.N. CENTRAL	4	12	142	416	445	1	4	12	106	197	1	4	31	283	260						
Iowa	-	1	5	35	117	-	0	3	14	22	-	0	2	1	13						
Kans.	-	1	5	29	75	-	0	7	-	89	-	0	2	-	9						
Minn.	-	1	131	144	103	1	0	7	35	20	-	0	4	-	1						
Mo.	-	3	18	141	58	-	0	8	33	32	-	3	31	265	224						
Nebr.	4	1	12	57	31	-	0	0	-	-	1	0	4	14	9						
N. Dak.	-	0	5	1	7	-	0	8	17	18	-	0	0	-	-						
S. Dak.	-	0	2	9	54	-	0	2	7	16	-	0	1	3	4						
S. ATLANTIC	2	14	50	445	642	30	32	94	1,071	1,495	36	9	109	392	598						
Del.	-	0	2	7	7	-	0	0	-	-	-	0	3	21	12						
D.C.	-	0	1	3	8	-	0	0	-	-	-	0	2	7	2						
Fla.	1	3	17	154	158	-	0	77	88	128	-	0	4	12	7						
Ga.	-	1	4	32	29	16	7	15	228	190	2	0	8	36	51						
Md.	1	1	6	24	77	-	0	17	52	276	3	1	6	28	40						
N.C.	-	0	38	79	213	13	9	16	319	332	30	0	96	189	371						
