
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending October 4, 2003 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	29,237	32,411	16,174	14,947	4,272	3,717	1,647	1,874	331	258											
NEW ENGLAND	1,630	1,712	243	262	333	275	40	90	7	2											
Maine	105	109	6	5	22	20	-	-	-	-											
N.H.	94	108	5	9	21	31	-	-	N	N											
Vt.	54	66	6	1	18	9	6	4	4	1											
Mass.	969	970	164	166	159	94	N	N	N	N											
R.I.	106	125	14	14	11	15	10	12	3	1											
Conn.	302	334	48	67	102	106	24	74	U	U											
MID. ATLANTIC	3,454	4,400	1,754	1,340	769	596	99	90	76	61											
Upstate N.Y.	891	1,169	334	211	306	242	54	75	59	50											
N.Y. City	931	1,110	297	375	101	134	U	U	U	U											
N.J.	426	855	228	490	131	128	N	N	N	N											
Pa.	1,206	1,266	895	264	231	92	45	15	17	11											
E.N. CENTRAL	4,170	4,445	1,341	1,656	908	792	346	167	135	101											
Ohio	1,111	1,057	254	486	260	174	225	34	77	9											
Ind.	469	429	128	80	94	42	121	131	36	46											
Ill.	1,307	1,492	654	806	182	229	-	2	-	-											
Mich.	625	718	203	139	310	251	N	N	N	N											
Wis.	658	749	102	145	62	96	N	N	22	46											
W.N. CENTRAL	1,943	2,016	642	819	278	203	133	336	45	43											
Minn.	419	444	84	171	139	101	-	220	39	39											
Iowa	291	379	58	100	N	N	N	N	N	N											
Mo.	776	660	311	132	60	41	10	5	2	1											
N. Dak.	28	24	3	16	11	-	3	1	4	3											
S. Dak.	90	94	13	151	19	12	1	1	-	-											
Nebr.	115	140	97	174	23	18	-	25	N	N											
Kans.	224	275	76	75	26	31	119	84	N	N											
S. ATLANTIC	7,904	8,087	5,766	4,756	754	612	861	873	16	28											
Del.	69	74	148	154	6	2	1	3	N	N											
Md.	668	742	509	888	223	97	-	-	-	21											
D.C.	36	60	62	49	12	6	2	-	6	3											
Va.	809	881	322	741	90	66	N	N	N	N											
W. Va.	107	106	-	9	31	17	57	37	10	4											
N.C.	993	1,052	816	301	92	107	N	N	U	U											
S.C.	555	566	305	93	32	32	122	150	N	N											
Ga.	1,465	1,511	1,367	1,139	100	115	201	221	N	N											
Fla.	3,202	3,095	2,237	1,382	168	170	478	462	N	N											
E.S. CENTRAL	1,913	2,425	683	1,063	170	91	111	115	-	-											
Ky.	321	272	98	116	40	19	15	13	N	N											
Tenn.	574	609	251	80	130	72	96	102	N	N											
Ala.	406	627	198	564	-	-	-	-	N	N											
Miss.	612	917	136	303	-	-	-	-	-	-											
W.S. CENTRAL	2,665	3,520	2,938	2,312	191	249	33	158	48	19											
Ark.	619	776	85	153	5	6	8	6	-	-											
La.	258	595	144	365	1	1	25	152	10	6											
Okla.	374	391	665	427	71	38	N	N	28	2											
Tex.	1,414	1,758	2,044	1,367	114	204	N	N	10	11											
MOUNTAIN	1,707	1,708	901	647	372	441	21	45	4	4											
Mont.	83	75	2	3	2	-	-	-	-	-											
Idaho	143	108	25	12	18	9	N	N	N	N											
Wyo.	69	59	6	7	2	7	4	13	-	-											
Colo.	391	482	219	141	113	94	-	-	-	-											
N. Mex.	201	238	166	132	91	89	17	32	-	-											
Ariz.	514	439	390	286	135	214	-	-	N	N											
Utah	179	135	40	22	9	28	-	-	4	4											
Nev.	127	172	53	44	2	-	-	-	-	-											
PACIFIC	3,851	4,098	1,906	2,092	497	458	3	-	-	-											
Wash.	399	390	122	122	53	46	-	-	N	N											
Oreg.	335	284	186	79	N	N	N	N	N	N											
Calif.	2,901	3,162	1,555	1,838	346	353	N	N	N	N											
Alaska	55	49	7	5	-	-	-	-	N	N											
Hawaii	161	213	36	48	98	59	3	-	-	-											
Guam	-	37	-	28	-	-	-	4	-	-											
P.R.	183	401	3	28	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


