
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 28, 2005 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Giardiasis cummulative for 2005
Giardiasis cummulative for 2004
Gonorrhea cummulative for 2005
Gonorrhea cummulative for 2004

tab delimited data:
test
UNITED STATES	411	448	61	79	62	48	5,833	6,300	114,773	127,186											
NEW ENGLAND	29	22	16	19	6	5	463	553	2,019	2,861											
Maine	2	-	2	-	-	-	44	54	54	107											
N.H.	2	4	1	3	-	-	22	17	62	53											
Vt.	2	-	-	-	-	-	59	42	18	37											
Mass.	10	12	5	6	6	5	194	278	1,107	1,241											
R.I.	1	3	-	-	-	-	30	47	204	374											
Conn.	12	3	8	10	-	-	114	115	574	1,049											
MID. ATLANTIC	50	40	3	11	5	10	1,093	1,405	11,887	14,654											
Upstate N.Y.	18	12	3	3	2	3	361	405	2,507	2,954											
N.Y. City	2	7	-	-	-	-	303	451	3,394	4,559											
N.J.	12	7	-	3	-	4	146	182	1,687	2,747											
Pa.	18	14	-	5	3	3	283	367	4,299	4,394											
E.N. CENTRAL	80	96	8	15	3	5	805	968	21,308	26,952											
Ohio	34	18	1	3	2	5	238	284	6,755	8,626											
Ind.	8	12	-	-	-	-	N	N	3,145	2,500											
Ill.	9	26	1	-	-	-	130	323	5,988	7,971											
Mich.	14	17	-	2	1	-	250	213	3,510	6,036											
Wis.	15	23	6	10	-	-	187	148	1,910	1,819											
W.N. CENTRAL	60	70	13	14	9	9	745	676	6,611	6,673											
Minn.	8	24	4	6	2	2	382	206	895	1,160											
Iowa	12	12	-	-	-	-	77	96	609	503											
Mo.	23	10	6	6	2	2	154	207	3,724	3,420											
N. Dak.	1	2	-	-	-	3	1	11	19	58											
S. Dak.	2	3	-	-	-	-	33	22	150	105											
Nebr.	5	9	3	2	2	-	38	57	349	436											
Kans.	9	10	-	-	3	2	60	77	865	991											
S. ATLANTIC	63	43	11	11	31	8	998	986	28,296	30,350											
Del.	-	-	N	N	N	N	8	20	318	388											
Md.	6	5	2	2	1	2	59	36	2,649	3,180											
D.C.	-	1	-	-	-	-	18	30	817	998											
Va.	3	1	4	6	6	-	204	141	2,865	3,595											
W. Va.	-	1	-	-	-	-	11	12	277	332											
N.C.	-	-	-	-	16	4	N	N	6,613	5,885											
S.C.	1	4	-	-	-	-	30	37	3,514	3,387											
Ga.	8	13	3	1	-	-	360	305	3,850	5,591											
Fla.	45	18	2	2	8	2	308	405	7,393	6,994											
E.S. CENTRAL	22	26	-	2	5	6	144	139	9,043	9,893											
Ky.	4	8	-	1	4	4	N	N	1,394	946											
Tenn.	11	3	-	-	1	2	74	66	3,153	3,251											
Ala.	7	7	-	-	-	-	70	73	2,072	3,211											
Miss.	-	8	-	1	-	-	-	-	2,424	2,485											
W.S. CENTRAL	9	43	1	2	2	5	89	107	16,919	17,383											
Ark.	1	8	-	-	-	-	30	47	1,723	1,604											
La.	2	1	1	-	2	-	13	17	3,980	4,777											
Okla.	3	4	-	-	-	-	46	43	1,839	1,847											
Tex.	3	30	-	2	-	5	N	N	9,377	9,155											
MOUNTAIN	44	45	9	4	1	-	431	449	4,278	4,552											
Mont.	3	3	-	-	-	-	13	15	44	31											
Idaho	3	12	5	1	-	-	31	64	32	34											
Wyo.	-	-	1	-	-	-	10	7	26	23											
Colo.	13	9	1	1	-	-	152	150	1,092	1,289											
N. Mex.	-	5	2	1	-	-	14	25	260	407											
Ariz.	10	6	N	N	N	N	59	71	1,690	1,618											
Utah	7	6	-	-	-	-	124	93	268	193											
Nev.	8	4	-	1	1	-	28	24	866	957											
PACIFIC	54	63	-	1	-	-	1,065	1,017	14,412	13,868											
Wash.	15	17	-	-	-	-	87	94	1,413	1,061											
Oreg.	6	8	-	1	-	-	92	153	618	407											
Calif.	27	34	-	-	-	-	833	710	11,868	11,566											
Alaska	3	1	-	-	-	-	30	26	196	272											
Hawaii	3	3	-	-	-	-	23	34	317	562											
Guam	N	N	-	-	-	-	-	-	-	71											
P.R.	-	-	-	-	-	-	10	25	161	107											
V.I.	-	-	-	-	-	-	-	-	2	53											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


