
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending August 22, 1998 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	1,830	2,292	12	322	405	94	3,074	3,360	2	297	129										
NEW ENGLAND	74	139	-	2	8	1	509	634	-	36	1										
Maine	5	15	-	-	-	-	5	7	-	-	-										
N.H.	4	12	-	-	-	-	45	75	-	-	-										
Vt.	1	3	-	-	-	-	57	183	-	-	-										
Mass.	36	71	U	1	2	U	367	343	U	6	1										
R.I.	3	12	-	-	5	-	7	12	-	1	-										
Conn.	25	26	-	1	1	1	28	14	-	29	-										
MID. ATLANTIC	171	243	-	18	45	29	343	248	-	124	30										
Upstate N.Y.	44	67	-	3	10	21	183	95	-	110	4										
N.Y. City	18	42	U	4	3	U	9	57	U	9	26										
N.J.	46	45	-	2	7	-	5	11	-	4	-										
Pa.	63	89	-	9	25	8	146	85	-	1	-										
E.N. CENTRAL	285	334	-	57	50	13	306	349	-	-	5										
Ohio	107	123	-	21	18	10	137	100	-	-	-										
Ind.	51	37	-	6	6	-	68	35	-	-	-										
Ill.	66	97	-	10	8	3	43	45	-	-	1										
Mich.	35	48	-	20	15	-	41	43	-	-	-										
Wis.	26	29	-	-	3	-	17	126	-	-	4										
W.N. CENTRAL	149	166	-	21	12	-	256	203	-	28	-										
Minn.	25	29	-	10	5	-	159	134	-	-	-										
Iowa	29	38	-	7	6	-	52	11	-	-	-										
Mo.	53	72	U	3	-	U	16	33	U	2	-										
N. Dak.	2	1	-	1	-	-	2	1	-	-	-										
S. Dak.	6	4	-	-	-	-	7	3	-	-	-										
Nebr.	7	6	-	-	1	-	8	4	-	-	-										
Kans.	27	16	-	-	-	-	12	17	-	26	-										
S. ATLANTIC	322	390	-	39	48	8	187	299	1	10	59										
Del.	1	5	-	-	-	1	3	1	-	-	-										
Md.	24	36	-	-	1	-	31	95	1	1	-										
D.C.	-	7	U	-	-	U	1	3	U	-	-										
Va.	26	38	-	5	9	1	9	34	-	-	1										
W. Va.	12	14	-	-	-	-	1	5	-	-	-										
N.C.	47	75	-	9	8	1	69	85	-	6	51										
S.C.	44	42	-	5	10	-	22	14	-	-	6										
Ga.	68	77	-	1	6	-	10	8	-	-	-										
Fla.	100	96	-	19	14	5	41	54	-	3	1										
E.S. CENTRAL	156	173	-	11	22	-	71	85	1	2	1										
Ky.	19	38	-	-	3	-	22	34	-	-	-										
Tenn.	50	61	-	1	3	-	24	26	1	1	-										
Ala.	66	53	-	6	6	-	22	16	-	1	1										
Miss.	U	21	U	U	10	U	U	9	U	U	-										
W.S. CENTRAL	205	217	7	47	44	12	222	141	-	79	4										
Ark.	26	25	7	7	1	9	38	12	-	-	-										
La.	46	46	-	8	11	-	2	13	-	-	-										
Okla.	31	24	-	-	-	-	18	17	-	-	-										
Tex.	102	122	-	32	32	3	164	99	-	79	4										
MOUNTAIN	103	133	2	28	49	10	623	836	-	5	6										
Mont.	3	7	-	-	-	1	4	15	-	-	-										
Idaho	7	8	1	4	2	-	196	479	-	-	2										
Wyo.	6	1	-	1	1	-	8	6	-	-	-										
Colo.	21	35	-	7	3	1	134	227	-	-	-										
N. Mex.	17	23	N	N	N	-	74	60	-	1	-										
Ariz.	34	35	-	5	31	-	139	24	-	1	4										
Utah	11	11	1	4	6	8	45	12	-	2	-										
Nev.	4	13	U	7	6	U	23	13	U	1	-										
PACIFIC	365	497	3	99	127	21	557	565	-	13	23										
Wash.	50	63	-	7	14	3	196	230	-	9	5										
Oreg.	62	95	N	N	N	13	57	25	-	-	-										
Calif.	247	332	3	73	89	5	291	279	-	2	10										
Alaska	2	2	-	2	6	-	7	16	-	-	-										
Hawaii	4	5	-	17	18	-	6	15	-	2	8										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	6	8	-	1	5	1	3	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	2	4	U	1	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


