
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 12, 2005 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Giardiasis cummulative for 2005
Giardiasis cummulative for 2004
Gonorrhea cummulative for 2005
Gonorrhea cummulative for 2004

tab delimited data:
test
UNITED STATES	163	155	19	31	24	20	2,497	2,941	49,250	61,883											
NEW ENGLAND	12	7	2	8	4	2	182	241	936	1,381											
Maine	-	-	-	-	-	-	26	22	24	59											
N.H.	-	1	-	-	-	-	7	8	22	21											
Vt.	1	-	-	-	-	-	24	16	5	11											
Mass.	4	2	1	3	4	2	107	131	589	582											
R.I.	1	-	-	-	-	-	17	9	90	183											
Conn.	6	4	1	5	-	-	1	55	206	525											
MID. ATLANTIC	21	16	1	-	1	4	448	658	5,128	6,930											
Upstate N.Y.	12	3	1	-	-	2	144	163	1,087	1,244											
N.Y. City	1	5	-	-	-	-	108	231	1,381	2,270											
N.J.	4	-	-	-	-	1	61	78	686	1,296											
Pa.	4	8	-	-	1	1	135	186	1,974	2,120											
E.N. CENTRAL	42	42	3	9	3	3	328	476	7,472	13,528											
Ohio	19	11	1	-	2	3	109	139	1,255	4,226											
Ind.	3	12	-	-	-	-	N	N	1,511	1,292											
Ill.	5	6	1	-	-	-	20	168	2,595	3,834											
Mich.	7	8	-	1	1	-	115	104	1,240	3,313											
Wis.	8	5	1	8	-	-	84	65	871	863											
W.N. CENTRAL	26	20	4	6	3	6	278	269	2,626	3,582											
Minn.	3	9	1	2	-	-	112	89	429	869											
Iowa	5	2	-	-	-	-	41	36	116	242											
Mo.	11	3	2	4	1	1	62	92	1,523	1,632											
N. Dak.	-	1	-	-	-	3	-	2	15	29											
S. Dak.	2	-	-	-	-	-	16	10	64	42											
Nebr.	3	2	1	-	1	-	20	19	106	244											
Kans.	2	3	-	-	1	2	27	21	373	524											
S. ATLANTIC	20	10	3	3	13	4	467	472	13,637	14,752											
Del.	-	-	N	N	N	N	8	11	139	199											
Md.	4	2	1	-	-	1	31	18	1,361	1,611											
D.C.	-	-	-	-	-	-	11	13	430	456											
Va.	1	-	-	2	2	-	80	59	1,851	1,887											
W. Va.	-	-	-	-	-	-	6	7	145	168											
N.C.	-	-	-	-	9	3	N	N	3,606	2,869											
S.C.	-	1	-	-	-	-	13	6	1,667	1,714											
Ga.	5	2	1	-	-	-	162	142	926	2,795											
Fla.	10	5	1	1	2	-	156	216	3,512	3,053											
E.S. CENTRAL	8	6	-	-	-	1	59	58	3,779	4,726											
Ky.	-	2	-	-	-	1	N	N	773	500											
Tenn.	5	2	-	-	-	-	24	23	1,282	1,582											
Ala.	3	1	-	-	-	-	35	35	390	1,511											
Miss.	-	1	-	-	-	-	-	-	1,334	1,133											
W.S. CENTRAL	4	15	-	-	-	-	38	53	7,358	8,292											
Ark.	1	-	-	-	-	-	16	24	862	674											
La.	-	1	-	-	-	-	6	8	643	2,339											
Okla.	1	3	-	-	-	-	16	21	956	785											
Tex.	2	11	-	-	-	-	N	N	4,897	4,494											
MOUNTAIN	10	16	6	4	-	-	208	252	2,103	2,245											
Mont.	1	1	-	-	-	-	9	5	23	7											
Idaho	1	3	4	1	-	-	19	38	14	12											
Wyo.	-	-	1	-	-	-	1	1	11	10											
Colo.	3	3	1	1	-	-	64	86	517	578											
N. Mex.	-	2	-	1	-	-	8	11	100	164											
Ariz.	3	2	N	N	N	N	44	50	891	948											
Utah	2	2	-	-	-	-	54	44	126	60											
Nev.	-	3	-	1	-	-	9	17	421	466											
PACIFIC	20	23	-	1	-	-	489	462	6,211	6,447											
Wash.	5	2	-	-	-	-	28	27	622	544											
Oreg.	-	2	-	1	-	-	42	81	296	188											
Calif.	11	16	-	-	-	-	391	333	5,054	5,313											
Alaska	2	-	-	-	-	-	12	8	90	110											
Hawaii	2	3	-	-	-	-	16	13	149	292											
Guam	N	N	-	-	-	-	-	-	-	42											
P.R.	-	-	-	-	-	-	6	4	70	30											
V.I.	-	-	-	-	-	-	-	-	2	28											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


