
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending February 5, 2011 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2011
Shigellosis cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010

tab delimited data:
test
UNITED STATES	98	276	453	615	1,152	1	2	11	8	5	3	24	91	22	23						
NEW ENGLAND	-	4	17	3	87	-	0	0	-	-	-	0	1	-	-						
Conn.	-	0	1	1	63	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	1	1	1	-	0	0	-	-	-	0	1	-	-						
Mass.	-	3	16	-	20	-	0	0	-	-	-	0	0	-	-						
N.H.	-	0	2	-	2	-	0	0	-	-	-	0	1	-	-						
R.I.	-	0	2	-	1	-	0	0	-	-	-	0	1	-	-						
Vt.	-	0	1	1	-	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	5	30	69	45	202	-	0	1	-	-	-	1	4	1	-						
N.J.	-	5	16	5	26	-	0	0	-	-	-	0	0	-	-						
N.Y. (Upstate)	3	3	15	13	12	-	0	1	-	-	-	0	3	-	-						
N.Y. City	1	5	14	17	34	-	0	1	-	-	-	0	4	1	-						
Pa.	1	11	55	10	130	-	0	0	-	-	-	0	3	-	-						
E.N. CENTRAL	7	25	239	41	134	-	0	1	-	-	-	1	10	2	1						
Ill.	-	9	229	4	52	-	0	1	-	-	-	0	5	-	-						
Ind.	-	1	4	1	2	-	0	1	-	-	-	0	5	-	1						
Mich.	-	5	10	8	18	-	0	0	-	-	-	0	1	1	-						
Ohio	7	5	18	28	37	-	0	0	-	-	-	0	2	1	-						
Wis.	-	4	21	-	25	-	0	0	-	-	-	0	1	-	-						
W.N. CENTRAL	5	30	81	50	280	-	0	4	-	-	-	4	21	1	1						
Iowa	-	1	4	2	7	-	0	0	-	-	-	0	1	-	-						
Kans.	1	5	13	12	13	-	0	1	-	-	-	0	0	-	-						
Minn.	-	0	3	-	3	-	0	0	-	-	-	0	0	-	-						
Mo.	4	18	66	34	256	-	0	4	-	-	-	4	20	1	1						
Nebr.	-	1	10	1	1	-	0	1	-	-	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	2	1	-	-	0	0	-	-	-	0	0	-	-						
S. ATLANTIC	35	53	134	230	163	1	1	9	4	4	2	7	60	8	19						
Del.	-	0	4	-	16	-	0	1	-	-	-	0	3	-	-						
D.C.	-	0	4	-	2	-	0	1	-	-	-	0	0	-	-						
Fla.	22	25	53	157	46	-	0	1	1	-	1	0	2	2	-						
Ga.	5	14	39	36	61	1	0	6	1	4	-	0	0	-	-						
Md.	1	2	8	6	9	-	0	1	1	-	1	0	5	1	1						
N.C.	5	3	36	22	18	-	0	3	1	-	-	2	48	4	17						
S.C.	-	1	5	3	7	-	0	1	-	-	-	0	3	1	1						
Va.	2	3	8	6	4	-	0	2	-	-	-	2	12	-	-						
W. Va.	-	0	66	-	-	-	0	0	-	-	-	0	0	-	-						
E.S. CENTRAL	-	14	40	27	38	-	0	3	-	-	1	5	29	3	-						
Ala.	-	4	14	14	9	-	0	1	-	-	1	1	8	2	-						
Ky.	-	3	28	2	16	-	0	2	-	-	-	0	0	-	-						
Miss.	-	1	4	1	2	-	0	0	-	-	-	0	3	-	-						
Tenn.	-	5	14	10	11	-	0	2	-	-	-	4	20	1	-						
W.S. CENTRAL	19	52	113	88	98	-	0	3	-	-	-	1	18	-	1						
Ark.	-	1	6	1	6	-	0	2	-	-	-	0	17	-	-						
La.	-	6	13	10	8	-	0	0	-	-	-	0	1	-	-						
Okla.	2	5	13	6	11	-	0	3	-	-	-	0	6	-	-						
Tex.	17	43	92	71	73	-	0	1	-	-	-	0	3	-	1						
MOUNTAIN	2	15	32	42	66	-	0	5	4	-	-	0	3	7	1						
Ariz.	-	8	18	17	40	-	0	5	4	-	-	0	3	7	-						
Colo.	1	2	8	14	12	-	0	1	-	-	-	0	1	-	-						
Idaho	1	0	3	3	1	-	0	0	-	-	-	0	1	-	-						
Mont.	-	0	1	1	1	-	0	1	-	-	-	0	1	-	-						
Nev.	-	0	6	1	2	-	0	0	-	-	-	0	0	-	-						
N. Mex.	-	3	10	6	7	-	0	0	-	-	-	0	0	-	1						
Utah	-	1	4	-	3	-	0	0	-	-	-	0	1	-	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
PACIFIC	25	21	67	89	84	-	0	2	-	1	-	0	0	-	-						
Alaska	-	0	1	-	-	N	0	0	N	N	N	0	0	N	N						
Calif.	23	18	54	83	74	-	0	2	-	1	-	0	0	-	-						
