
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 22, 2004 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	393	407	55	76	46	32	5,305	5,794	107,450	122,648											
NEW ENGLAND	27	24	16	13	6	2	470	434	2,467	2,657											
Maine	-	3	-	-	-	-	47	43	100	81											
N.H.	4	6	2	1	-	-	13	19	51	47											
Vt.	-	-	-	-	-	-	39	33	29	33											
Mass.	10	6	2	5	6	2	253	213	1,245	995											
R.I.	2	1	-	-	-	-	37	42	349	365											
Conn.	11	8	12	7	-	-	81	84	693	1,136											
MID. ATLANTIC	31	48	2	6	12	10	1,213	1,214	13,405	15,528											
Upstate N.Y.	10	16	1	3	4	5	382	292	2,800	2,674											
N.Y. City	4	3	-	-	-	-	372	460	3,761	5,128											
N.J.	5	5	1	-	4	-	119	172	2,048	3,460											
Pa.	12	24	-	3	4	5	340	290	4,796	4,266											
E.N. CENTRAL	68	107	12	16	4	6	651	1,045	20,799	26,410											
Ohio	19	24	1	9	4	6	271	304	5,541	8,592											
Ind.	8	12	-	-	-	-	-	-	2,385	2,454											
Ill.	14	20	-	1	-	-	84	315	5,661	8,140											
Mich.	12	20	2	-	-	-	196	248	5,873	4,979											
Wis.	15	31	9	6	-	-	100	178	1,339	2,245											
W.N. CENTRAL	67	54	7	7	9	6	630	570	5,869	6,242											
Minn.	25	20	3	6	2	-	205	190	1,205	1,014											
Iowa	11	7	-	-	-	-	94	80	160	414											
Mo.	10	17	4	1	2	-	175	170	2,984	3,185											
N. Dak.	2	1	-	-	3	1	11	16	50	25											
S. Dak.	2	2	-	-	-	-	19	17	100	64											
Nebr.	8	4	-	-	-	-	53	49	392	578											
Kans.	9	3	-	-	2	5	73	48	978	962											
S. ATLANTIC	35	28	13	22	7	1	817	863	25,936	29,810											
Del.	-	-	N	N	N	N	20	15	364	934											
Md.	4	1	-	-	1	1	34	44	3,110	2,903											
D.C.	1	1	-	-	-	-	25	14	950	938											
Va.	1	8	6	1	-	-	138	98	3,517	3,234											
W. Va.	1	1	-	-	-	-	12	10	323	323											
N.C.	-	-	4	10	-	-	N	N	5,559	5,152											
S.C.	1	-	-	-	-	-	17	45	3,003	2,994											
Ga.	11	6	1	2	-	-	192	280	2,712	6,261											
Fla.	16	11	2	9	6	-	379	357	6,398	7,071											
E.S. CENTRAL	17	21	1	-	6	4	112	115	8,559	10,348											
Ky.	8	8	1	-	4	4	N	N	897	1,335											
Tenn.	3	9	-	-	2	-	52	51	3,049	3,039											
Ala.	2	3	-	-	-	-	60	64	2,407	3,449											
Miss.	4	1	-	-	-	-	-	-	2,206	2,525											
W.S. CENTRAL	20	18	-	2	1	-	98	91	14,891	16,294											
Ark.	4	2	-	-	-	-	44	49	1,382	1,438											
La.	-	1	-	-	-	-	12	6	4,551	4,147											
Okla.	4	2	-	-	-	-	42	36	1,647	1,525											
Tex.	12	13	-	2	1	-	-	-	7,311	9,184											
MOUNTAIN	63	42	3	8	1	3	454	454	3,737	4,153											
Mont.	2	1	-	-	-	-	15	22	30	55											
Idaho	12	12	1	4	-	-	64	58	34	30											
Wyo.	-	1	-	-	-	-	5	6	22	19											
Colo.	25	14	1	1	1	3	151	128	948	1,130											
N. Mex.	4	1	-	3	-	-	21	18	267	466											
Ariz.	7	9	N	N	N	N	72	80	1,598	1,585											
Utah	8	3	-	-	-	-	91	97	102	138											
Nev.	5	1	1	-	-	-	35	45	736	730											
PACIFIC	65	65	1	2	-	-	860	1,008	11,787	11,206											
Wash.	19	19	-	1	-	-	99	86	979	1,119											
Oreg.	11	8	1	1	-	-	150	119	265	368											
Calif.	29	37	-	-	-	-	554	735	10,133	9,111											
Alaska	1	1	-	-	-	-	25	31	240	201											
Hawaii	5	-	-	-	-	-	32	37	170	407											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	1	-	-	-	-	8	43	57	92											
V.I.	-	-	-	-	-	-	-	-	4	37											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	3	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


