
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 17, 2004 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	8,910	12,447	216,854	241,531	1,355	989	662	628	7	57											
NEW ENGLAND	311	429	8,094	7,936	-	-	36	37	-	-											
Maine	5	13	487	555	N	N	6	2	-	-											
N.H.	11	7	482	447	-	-	10	4	-	-											
Vt.	7	5	340	310	-	-	5	5	-	-											
Mass.	84	186	4,177	3,060	-	-	9	20	-	-											
R.I.	32	29	996	904	-	-	1	4	-	-											
Conn.	172	189	1,612	2,660	N	N	5	2	-	-											
MID. ATLANTIC	1,283	2,836	29,821	28,788	-	-	112	81	2	-											
Upstate N.Y.	134	139	6,136	4,971	N	N	24	15	-	-											
N.Y. City	380	1,589	9,003	9,929	-	-	24	31	-	-											
N.J.	386	424	3,869	4,153	-	-	7	3	-	-											
Pa.	383	684	10,813	9,735	N	N	57	32	2	-											
E.N. CENTRAL	806	1,182	38,846	44,026	5	2	143	119	1	-											
Ohio	229	154	8,825	12,597	-	-	42	17	1	-											
Ind.	117	178	5,120	4,884	N	N	22	7	-	-											
Ill.	279	554	9,096	14,296	-	-	8	17	-	-											
Mich.	132	236	11,831	7,245	5	2	36	26	-	-											
Wis.	49	60	3,974	5,004	-	-	35	52	-	-											
W.N. CENTRAL	228	194	12,927	14,120	4	1	73	46	1	-											
Minn.	48	41	2,341	3,134	N	N	29	27	-	-											
Iowa	11	27	-	1,450	N	N	11	7	-	-											
Mo.	107	83	5,749	5,081	3	1	15	2	1	-											
N. Dak.	10	-	324	386	N	N	-	1	-	-											
S. Dak.	-	4	749	692	-	-	8	7	-	-											
Nebr.	6	18	1,567	1,305	1	-	1	2	-	-											
Kans.	46	21	2,197	2,072	N	N	9	-	-	-											
S. ATLANTIC	3,510	3,586	35,196	43,979	-	1	145	183	2	57											
Del.	42	57	867	890	N	N	-	1	-	-											
Md.	343	193	5,588	4,614	-	1	7	6	-	-											
D.C.	149	380	1,020	1,006	-	-	1	-	-	-											
Va.	141	297	1,245	4,753	-	-	16	7	-	-											
W. Va.	30	20	804	725	N	N	2	-	-	-											
N.C.	243	437	7,861	6,713	N	N	29	10	-	-											
S.C.	204	213	5,475	4,223	-	-	5	1	2	-											
Ga.	509	492	1,959	9,237	-	-	51	29	-	-											
Fla.	1,849	1,497	10,377	11,818	N	N	34	129	-	57											
E.S. CENTRAL	446	493	14,245	16,120	N	N	32	35	-	-											
Ky.	42	57	1,657	2,463	N	N	7	7	-	-											
Tenn.	187	221	6,251	5,642	N	N	12	11	-	-											
Ala.	127	110	3,286	4,280	-	-	9	14	-	-											
Miss.	90	105	3,051	3,735	N	N	4	3	-	-											
W.S. CENTRAL	1,307	1,280	28,655	29,979	1	5	20	13	1	-											
Ark.	43	35	2,258	1,812	1	-	8	2	-	-											
La.	281	137	7,290	5,420	N	N	-	-	1	-											
Okla.	37	51	2,955	2,633	N	N	8	3	-	-											
Tex.	946	1,057	16,152	20,114	-	5	4	8	-	-											
MOUNTAIN	257	459	12,092	14,880	851	696	33	22	-	-											
Mont.	-	7	263	656	N	N	3	2	-	-											
Idaho	2	5	918	740	N	N	2	4	-	-											
Wyo.	2	4	311	291	-	-	2	1	-	-											
Colo.	48	105	2,274	3,812	N	N	18	5	-	-											
N. Mex.	20	41	1,245	2,168	6	-	1	1	-	-											
Ariz.	109	217	4,967	4,572	820	683	5	2	-	-											
Utah	17	22	845	868	7	1	1	5	-	-											
Nev.	59	58	1,269	1,773	18	12	1	2	-	-											
PACIFIC	762	1,988	36,978	41,703	492	284	68	92	-	-											
Wash.	127	160	5,014	4,237	N	N	4	-	-	-											
Oreg.	53	87	1,759	2,192	-	-	8	8	-	-											
Calif.	543	1,700	29,132	32,699	492	284	55	84	-	-											
Alaska	8	9	1,062	1,028	-	-	-	-	-	-											
Hawaii	31	32	11	1,547	-	-	1	-	-	-											
Guam	1	1	-	-	-	-	-	-	-	-											
P.R.	143	325	494	566	N	N	N	N	-	-											
V.I.	2	9	20	103	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	32	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


