
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 24, 2004 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	-	3,016	28,365	41,577	55	217	88	97	-	-											
NEW ENGLAND	-	64	1,408	1,502	-	-	4	5	-	-											
Maine	-	-	50	90	N	N	2	-	-	-											
N.H.	-	1	-	86	-	-	-	-	-	-											
Vt.	-	-	50	41	-	-	2	1	-	-											
Mass.	-	1	1,034	569	-	-	-	4	-	-											
R.I.	-	5	271	150	-	-	-	-	-	-											
Conn.	-	57	3	566	N	N	-	-	-	-											
MID. ATLANTIC	-	905	3,548	5,185	-	-	9	13	-	-											
Upstate N.Y.	-	51	423	281	N	N	4	1	-	-											
N.Y. City	-	430	1,519	1,876	-	-	1	8	-	-											
N.J.	-	72	585	986	-	-	-	-	-	-											
Pa.	-	352	1,021	2,042	N	N	4	4	-	-											
E.N. CENTRAL	-	278	3,856	8,124	-	1	14	13	-	-											
Ohio	-	61	215	2,259	-	-	10	-	-	-											
Ind.	-	42	725	1,048	N	N	-	-	-	-											
Ill.	-	81	1,275	2,766	-	-	-	1	-	-											
Mich.	-	89	1,548	1,102	-	1	4	3	-	-											
Wis.	-	5	93	949	-	-	-	9	-	-											
W.N. CENTRAL	-	36	1,377	2,456	-	-	8	7	-	-											
Minn.	-	-	3	640	N	N	2	3	-	-											
Iowa	-	13	-	133	N	N	1	2	-	-											
Mo.	-	22	522	863	-	-	-	1	-	-											
N. Dak.	-	-	27	24	N	N	-	-	-	-											
S. Dak.	-	1	125	122	-	-	2	1	-	-											
Nebr.	-	-	229	201	-	-	-	-	-	-											
Kans.	-	-	471	473	N	N	3	-	-	-											
S. ATLANTIC	-	643	5,045	6,714	-	-	27	11	-	-											
Del.	-	-	140	174	N	N	-	-	-	-											
Md.	-	12	959	873	-	-	2	2	-	-											
D.C.	-	157	99	201	-	-	-	-	-	-											
Va.	-	137	992	694	-	-	-	-	-	-											
W. Va.	-	-	142	142	N	N	-	-	-	-											
N.C.	-	3	1,114	1,573	N	N	8	1	-	-											
S.C.	-	35	357	620	-	-	-	-	-	-											
Ga.	-	155	10	820	-	-	6	7	-	-											
Fla.	-	144	1,232	1,617	N	N	11	1	-	-											
E.S. CENTRAL	-	17	2,294	2,629	N	N	4	4	-	-											
Ky.	-	5	324	408	N	N	1	1	-	-											
Tenn.	-	-	932	703	N	N	1	3	-	-											
Ala.	-	12	623	684	-	-	1	-	-	-											
Miss.	-	-	415	834	N	N	1	-	-	-											
W.S. CENTRAL	-	572	5,540	5,566	-	-	3	3	-	-											
Ark.	-	-	410	348	-	-	2	1	-	-											
La.	-	-	2,082	760	N	N	-	-	-	-											
Okla.	-	1	232	383	N	N	-	-	-	-											
Tex.	-	571	2,816	4,075	-	-	1	2	-	-											
MOUNTAIN	-	120	1,159	2,429	1	181	1	5	-	-											
Mont.	-	6	-	124	N	N	-	-	-	-											
Idaho	-	-	99	127	N	N	-	2	-	-											
Wyo.	-	1	53	57	-	-	1	-	-	-											
Colo.	-	22	64	668	N	N	-	2	-	-											
N. Mex.	-	-	31	310	-	-	-	-	-	-											
Ariz.	-	78	820	742	-	179	-	1	-	-											
Utah	-	6	92	76	1	-	-	-	-	-											
Nev.	-	7	-	325	-	2	-	-	-	-											
PACIFIC	-	381	4,138	6,972	54	35	18	36	-	-											
Wash.	-	31	788	673	N	N	-	-	-	-											
Oreg.	-	35	-	358	-	-	1	2	-	-											
Calif.	-	312	3,209	5,494	54	35	17	34	-	-											
Alaska	-	3	130	138	-	-	-	-	-	-											
Hawaii	-	-	11	309	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	50	20	N	N	N	N	-	-											
V.I.	-	-	-	21	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


