
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending December 5, 2009 (WEEK 48)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	39	102	239	4,564	4,977	18	32	122	1,562	1,686											
NEW ENGLAND	-	5	28	272	344	-	1	6	56	91											
Conn.	-	0	21	72	92	-	0	4	-	11											
Maine	-	0	2	17	26	-	0	1	5	2											
Mass.	-	2	10	120	164	-	0	4	35	57											
N.H.	-	0	4	34	24	-	0	2	11	11											
R.I.	-	0	2	11	25	-	0	1	1	10											
Vt.	-	0	3	18	13	-	0	1	4	-											
MID. ATLANTIC	5	20	43	907	984	3	4	33	220	214											
N.J.	-	2	7	124	177	-	0	4	38	70											
N.Y. (Upstate)	3	7	25	297	303	2	2	17	111	95											
N.Y. City	-	4	12	172	187	1	0	31	71	49											
Pa.	2	6	18	314	317	N	0	2	N	N											
E.N. CENTRAL	3	17	42	815	909	2	5	18	238	307											
Ill.	-	5	12	230	245	-	0	3	23	91											
Ind.	-	2	23	128	120	-	0	13	36	31											
Mich.	1	3	11	136	166	2	1	4	64	78											
Ohio	-	4	13	194	243	-	1	6	70	56											
Wis.	2	2	11	127	135	-	1	3	45	51											
W.N. CENTRAL	12	6	37	368	356	3	2	11	140	100											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	5	37	36	N	0	1	N	N											
Minn.	10	0	34	171	166	3	0	10	82	37											
Mo.	-	2	8	80	85	-	0	4	32	35											
Nebr.	1	1	3	42	37	-	0	2	14	8											
N. Dak.	1	0	4	17	10	-	0	3	5	9											
S. Dak.	-	0	3	21	22	-	0	2	7	11											
S. ATLANTIC	8	21	49	1,049	1,055	3	6	18	296	330											
Del.	-	0	1	11	9	-	0	0	-	-											
D.C.	-	0	3	12	14	N	0	0	N	N											
Fla.	1	5	12	257	253	2	1	6	67	62											
Ga.	-	5	13	245	240	-	2	6	78	95											
Md.	3	3	12	181	176	1	1	7	72	55											
N.C.	-	2	12	88	130	N	0	0	N	N											
S.C.	-	1	5	67	68	-	1	6	44	62											
Va.	4	3	9	151	128	-	0	4	23	43											
W. Va.	-	1	4	37	37	-	0	3	12	13											
E.S. CENTRAL	-	3	10	178	176	2	2	7	94	87											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	5	35	38	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	19	9											
Tenn.	-	3	9	143	138	2	1	6	75	78											
W.S. CENTRAL	6	8	79	405	460	3	5	46	270	264											
Ark.	-	0	3	18	11	-	0	4	26	14											
La.	-	0	3	11	17	-	0	3	13	13											
Okla.	-	3	20	123	107	3	1	7	55	62											
Tex.	6	5	59	253	325	-	3	34	176	175											
MOUNTAIN	3	10	22	413	532	2	4	16	217	247											
Ariz.	1	3	7	139	182	-	2	10	105	108											
Colo.	2	2	7	119	134	1	0	4	45	58											
Idaho	-	0	2	10	16	1	0	2	9	5											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	5	13	-	0	1	-	3											
N. Mex.	-	1	7	78	128	-	0	4	24	35											
Utah	-	1	6	61	52	-	0	5	34	36											
Wyo.	-	0	1	1	7	-	0	0	-	2											
PACIFIC	2	3	9	157	161	-	0	4	31	46											
Alaska	-	1	4	36	34	-	0	3	23	28											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	2	2	8	121	127	-	0	2	8	18											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	30	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


