
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending January 5, 2008 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2008
Varicella (chickenpox) cummulative for 2007
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2008
West Nile virus disease † Neuroinvasive cummulative for 2007
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2008
West Nile virus disease † Non-neuroinvasive § cummulative for 2007

tab delimited data:
test
UNITED STATES	255	622	1,277	255	519	-	1	141	-	-	-	2	299	-	-						
NEW ENGLAND	8	13	47	8	22	-	0	2	-	-	-	0	2	-	-						
Conn.	-	0	1	-	-	-	0	2	-	-	-	0	1	-	-						
Maine	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	2	-	-	-	0	2	-	-						
N.H.	4	6	17	4	13	-	0	0	-	-	-	0	0	-	-						
R.I.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Vt.	4	5	38	4	9	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	43	81	168	43	111	-	0	3	-	-	-	0	3	-	-						
N.J.	N	0	0	N	N	-	0	1	-	-	-	0	0	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	1	-	-	-	0	1	-	-						
N.Y. City	-	0	0	-	-	-	0	3	-	-	-	0	3	-	-						
Pa.	43	81	168	43	111	-	0	1	-	-	-	0	1	-	-						
E.N. CENTRAL	71	174	568	71	237	-	0	18	-	-	-	0	12	-	-						
Ill.	1	3	11	1	6	-	0	13	-	-	-	0	8	-	-						
Ind.	N	0	0	N	N	-	0	4	-	-	-	0	2	-	-						
Mich.	10	83	250	10	97	-	0	5	-	-	-	0	0	-	-						
Ohio	60	79	449	60	98	-	0	4	-	-	-	0	3	-	-						
Wis.	-	12	80	-	36	-	0	2	-	-	-	0	2	-	-						
W.N. CENTRAL	8	26	114	8	26	-	0	41	-	-	-	1	117	-	-						
Iowa	N	0	0	N	N	-	0	4	-	-	-	0	3	-	-						
Kans.	-	8	52	-	11	-	0	3	-	-	-	0	7	-	-						
Minn.	-	0	0	-	-	-	0	9	-	-	-	0	12	-	-						
Mo.	8	13	78	8	10	-	0	9	-	-	-	0	3	-	-						
Nebr.	N	0	0	N	N	-	0	5	-	-	-	0	15	-	-						
N. Dak.	-	0	60	-	-	-	0	11	-	-	-	0	49	-	-						
S. Dak.	-	1	14	-	5	-	0	9	-	-	-	0	32	-	-						
S. ATLANTIC	71	91	214	71	72	-	0	12	-	-	-	0	6	-	-						
Del.	-	1	4	-	2	-	0	1	-	-	-	0	0	-	-						
D.C.	-	0	8	-	-	-	0	0	-	-	-	0	0	-	-						
Fla.	30	26	76	30	N	-	0	1	-	-	-	0	0	-	-						
Ga.	N	0	0	N	N	-	0	8	-	-	-	0	5	-	-						
Md.	N	0	0	N	N	-	0	2	-	-	-	0	2	-	-						
N.C.	-	0	0	-	-	-	0	1	-	-	-	0	1	-	-						
S.C.	6	17	72	6	14	-	0	2	-	-	-	0	1	-	-						
Va.	15	19	85	15	9	-	0	1	-	-	-	0	1	-	-						
W. Va.	20	22	58	20	47	-	0	0	-	-	-	0	0	-	-						
E.S. CENTRAL	10	10	78	10	15	-	0	11	-	-	-	0	14	-	-						
Ala.	10	10	78	10	13	-	0	2	-	-	-	0	1	-	-						
Ky.	N	0	0	N	N	-	0	1	-	-	-	0	0	-	-						
Miss.	-	0	2	-	2	-	0	7	-	-	-	0	12	-	-						
Tenn.	N	0	0	N	N	-	0	1	-	-	-	0	2	-	-						
W.S. CENTRAL	34	148	521	34	23	-	0	34	-	-	-	0	18	-	-						
Ark.	-	9	46	-	-	-	0	5	-	-	-	0	2	-	-						
La.	-	2	11	-	11	-	0	5	-	-	-	0	3	-	-						
Okla.	-	0	0	-	N	-	0	11	-	-	-	0	7	-	-						
Tex.	34	140	475	34	12	-	0	18	-	-	-	0	10	-	-						
MOUNTAIN	9	50	130	9	13	-	0	36	-	-	-	1	143	-	-						
Ariz.	-	0	0	-	-	-	0	8	-	-	-	0	10	-	-						
Colo.	9	21	62	9	5	-	0	17	-	-	-	0	65	-	-						
Idaho	N	0	0	N	N	-	0	3	-	-	-	0	22	-	-						
Mont.	-	7	40	-	N	-	0	10	-	-	-	0	30	-	-						
Nev.	-	0	1	-	-	-	0	1	-	-	-	0	3	-	-						
N. Mex.	-	5	37	-	5	-	0	8	-	-	-	0	6	-	-						
