
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending September 4, 1999 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	1,698	1,907	3	224	486	100	3,537	3,892	5	179	329										
NEW ENGLAND	85	82	-	4	4	5	415	678	-	7	38										
Maine	5	5	-	-	-	-	-	5	-	-	-										
N.H.	12	10	-	1	-	1	70	56	-	-	-										
Vt.	4	1	-	1	-	2	40	60	-	-	-										
Mass.	48	38	-	2	3	2	274	519	-	7	8										
R.I.	4	3	-	-	-	-	20	7	-	-	1										
Conn.	12	25	-	-	1	-	11	31	-	-	29										
MID. ATLANTIC	158	202	2	27	171	7	622	402	1	22	143										
Upstate N.Y.	44	52	2	8	3	7	536	213	1	18	113										
N.Y. City	42	24	-	3	153	-	10	23	-	-	16										
N.J.	39	48	-	-	6	-	12	13	-	1	13										
Pa.	33	78	-	16	9	-	64	153	-	3	1										
E.N. CENTRAL	282	303	-	28	61	7	321	493	-	2	-										
Ohio	112	109	-	11	23	2	151	183	-	-	-										
Ind.	38	52	-	4	5	3	46	77	-	1	-										
Ill.	76	81	-	6	9	-	46	50	-	1	-										
Mich.	34	37	-	7	22	2	35	45	-	-	-										
Wis.	22	24	-	-	2	-	43	138	-	-	-										
W.N. CENTRAL	180	165	-	10	25	48	222	298	-	83	32										
Minn.	38	28	-	1	12	48	126	168	-	5	-										
Iowa	32	27	-	4	9	-	29	57	-	28	-										
Mo.	69	63	-	2	3	-	36	22	-	2	2										
N. Dak.	3	3	-	-	1	-	4	3	-	-	-										
S. Dak.	11	6	-	-	-	-	5	8	-	-	-										
Nebr.	9	11	U	-	-	U	1	13	U	48	-										
Kans.	18	27	-	3	-	-	21	27	-	-	30										
S. ATLANTIC	297	311	-	38	34	15	277	208	3	35	13										
Del.	6	1	-	-	-	-	4	3	-	-	-										
Md.	44	24	-	3	-	1	71	36	-	1	1										
D.C.	1	-	-	2	-	-	-	1	-	-	-										
Va.	35	27	-	8	6	-	13	19	-	-	-										
W. Va.	5	12	-	-	-	-	2	1	-	-	-										
N.C.	34	46	-	8	10	10	73	74	3	34	9										
S.C.	34	46	-	3	5	-	14	22	-	-	-										
Ga.	49	72	-	3	1	-	25	18	-	-	-										
Fla.	89	83	-	11	12	4	75	34	-	-	3										
E.S. CENTRAL	115	136	1	9	13	-	64	91	-	1	1										
Ky.	22	22	-	-	-	-	16	37	-	-	-										
Tenn.	47	49	-	-	1	-	29	30	-	-	1										
Ala.	27	39	1	8	7	-	15	20	-	1	-										
Miss.	19	26	-	1	5	-	4	4	-	-	-										
W.S. CENTRAL	149	223	-	29	46	2	123	249	-	7	87										
Ark.	32	26	-	-	7	2	17	50	-	-	-										
La.	34	42	-	3	6	-	3	5	-	-	-										
Okla.	25	30	-	1	-	-	12	20	-	-	-										
Tex.	58	125	-	25	33	-	91	174	-	7	87										
MOUNTAIN	101	108	-	12	30	9	394	663	1	18	5										
Mont.	2	4	-	-	-	-	2	7	-	-	-										
Idaho	8	9	-	1	4	-	93	168	-	-	-										
Wyo.	3	5	-	-	1	-	2	8	-	-	-										
Colo.	27	21	-	3	6	2	126	173	1	3	-										
N. Mex.	13	18	N	N	N	6	86	76	-	-	1										
Ariz.	29	35	-	-	5	-	30	140	-	13	1										
Utah	13	10	-	5	4	1	52	59	-	1	2										
Nev.	6	6	-	3	10	-	3	32	-	1	1										
PACIFIC	331	377	-	67	102	7	1,099	810	-	4	10										
Wash.	51	53	-	2	7	3	543	223	-	-	5										
Oreg.	57	63	N	N	N	1	28	61	-	-	-										
Calif.	214	255	-	54	74	2	501	499	-	4	3										
Alaska	5	2	-	1	2	-	4	14	-	-	-										
Hawaii	4	4	-	10	19	1	23	13	-	-	2										
Guam	1	2	U	1	2	U	1	-	U	-	-										
P.R.	5	9	-	-	2	-	16	4	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	1	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


