
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending July 27, 2002 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	21	5	7,783	172,616	197,725	937	923	12	17												
NEW ENGLAND	-	1	801	4,206	3,330	67	63	-	1												
Maine	-	-	87	67	79	1	1	-	-												
N.H.	-	-	26	64	91	5	-	-	-												
Vt.	-	1	67	55	43	5	3	-	-												
Mass.	-	-	395	1,886	1,410	33	34	-	1												
R.I.	-	-	68	500	414	10	2	-	-												
Conn.	-	-	158	1,634	1,293	13	23	-	-												
MID. ATLANTIC	-	-	1,725	18,949	22,908	164	131	3	3												
Upstate N.Y.	-	-	595	4,801	4,573	72	41	2	-												
N.Y. City	-	-	684	6,133	7,176	37	34	-	-												
N.J.	-	-	148	2,982	4,087	36	31	-	-												
Pa.	-	-	298	5,033	7,072	19	25	1	3												
E.N. CENTRAL	9	2	1,428	34,528	41,133	155	170	2	2												
Ohio	9	2	448	10,092	11,184	61	49	-	1												
Ind.	-	-	-	3,994	3,656	32	32	1	-												
Ill.	-	-	325	9,431	13,106	45	58	-	-												
Mich.	-	-	423	7,900	9,884	10	10	1	-												
Wis.	-	-	232	3,111	3,303	7	21	-	1												
W.N. CENTRAL	-	-	954	9,075	9,244	38	41	-	1												
Minn.	-	-	340	1,544	1,427	25	23	-	-												
Iowa	-	-	138	619	700	1	-	-	-												
Mo.	N	N	269	4,578	4,724	9	12	-	-												
N. Dak.	-	-	11	28	20	-	4	-	-												
S. Dak.	-	-	38	147	146	-	-	-	-												
Nebr.	-	-	74	652	683	-	1	-	1												
Kans.	-	-	84	1,507	1,544	3	1	-	-												
S. ATLANTIC	-	-	1,331	46,558	50,748	228	225	1	1												
Del.	-	-	26	911	931	-	-	-	-												
Md.	-	-	55	4,732	4,997	54	58	1	-												
D.C.	-	-	22	1,590	1,670	-	-	-	-												
Va.	-	-	118	5,497	5,641	19	18	-	-												
W. Va.	-	-	26	558	358	8	8	-	1												
N.C.	-	-	-	9,482	8,905	22	32	-	-												
S.C.	-	-	35	4,379	6,747	11	4	-	-												
Ga.	-	-	511	8,301	9,749	67	60	-	-												
Fla.	-	-	538	11,108	11,750	47	45	-	-												
E.S. CENTRAL	4	1	179	16,338	18,396	41	56	1	-												
Ky.	4	1	-	1,982	1,942	4	2	-	-												
Tenn.	-	-	81	5,192	5,681	21	27	-	-												
Ala.	-	-	98	5,539	6,259	11	25	1	-												
Miss.	-	-	-	3,625	4,514	5	2	-	-												
W.S. CENTRAL	-	-	96	26,539	30,110	35	36	2	1												
Ark.	-	-	72	2,038	2,799	1	-	-	-												
La.	-	-	1	6,540	7,127	2	6	-	-												
Okla.	-	-	23	2,665	2,829	30	29	-	-												
Tex.	-	-	-	15,296	17,355	2	1	2	1												
MOUNTAIN	8	1	745	5,473	5,897	124	100	2	4												
Mont.	-	-	40	56	72	-	-	-	-												
Idaho	-	-	57	44	42	2	1	-	-												
Wyo.	-	-	13	35	34	1	1	-	-												
Colo.	8	1	237	1,915	1,801	24	28	-	-												
N. Mex.	-	-	86	623	548	19	15	-	1												
Ariz.	-	-	108	2,028	2,330	59	40	1	1												
Utah	-	-	130	122	87	14	5	-	-												
Nev.	-	-	74	650	983	5	10	1	2												
PACIFIC	-	-	524	10,950	15,959	85	101	1	4												
Wash.	-	-	193	1,590	1,678	2	1	1	-												
Oreg.	-	-	226	469	660	43	31	-	-												
Calif.	-	-	-	8,185	13,037	12	45	-	4												
Alaska	-	-	51	351	225	1	3	-	-												
Hawaii	-	-	54	355	359	27	21	-	-												
Guam	-	-	-	-	27	-	-	-	-												
P.R.	-	-	11	241	352	1	1	-	-												
V.I.	-	-	-	17	16	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	12	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


