
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending July 14, 2012 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	9	11	95	292	344	17	23	169	268	1,442	-	2	9	53	83						
NEW ENGLAND	-	0	2	10	3	-	5	36	81	275	-	0	1	-	1						
Conn.	-	0	0	-	-	-	0	8	-	91	-	0	0	-	-						
Maine	-	0	1	2	1	-	1	3	25	9	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	16	-	129	-	0	0	-	-						
N.H.	-	0	0	-	1	-	0	5	15	10	-	0	0	-	1						
R.I.	-	0	1	8	1	-	0	15	34	34	-	0	1	-	-						
Vt.	-	0	0	-	-	-	0	2	7	2	-	0	0	-	-						
MID. ATLANTIC	-	1	6	19	55	16	9	44	144	127	-	0	2	5	13						
N.J.	-	0	3	-	38	-	0	8	-	49	-	0	2	-	6						
N.Y. (Upstate)	-	0	4	11	15	16	6	41	130	60	-	0	2	5	3						
N.Y. City	-	0	3	8	2	-	0	4	14	17	-	0	0	-	-						
Pa.	-	0	1	-	-	-	0	2	-	1	-	0	1	-	4						
E.N. CENTRAL	-	0	5	16	27	-	1	46	6	458	-	1	5	30	37						
Ill.	-	0	4	13	15	-	0	2	6	5	-	0	0	-	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	5	28	12						
Mich.	-	0	2	-	3	-	0	0	-	-	-	0	2	2	1						
Ohio	-	0	1	3	4	-	0	1	-	3	-	0	0	-	1						
Wis.	-	0	1	-	5	-	0	44	-	450	-	0	4	-	23						
W.N. CENTRAL	-	2	18	59	103	-	1	66	5	546	-	0	3	5	22						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	4	-	10	-	0	1	-	3	-	0	0	-	1						
Minn.	-	0	1	-	4	-	0	63	-	526	-	0	2	-	9						
Mo.	-	1	17	59	88	-	0	2	5	14	-	0	2	5	12						
Nebr.	-	0	1	-	-	-	0	0	-	1	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	3	-	-	-	0	0	-	-						
