
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 20, 1996 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	-	20	2	18	36	11	29	120	-	-	4										
NEW ENGLAND	-	2	-	-	-	2	3	7	-	-	-										
Maine	-	-	-	-	-	-	-	5	-	-	-										
N.H.	-	-	-	-	-	-	-	-	-	-	-										
Vt.	-	-	-	-	-	-	1	1	-	-	-										
Mass.	-	-	-	-	-	2	2	1	-	-	-										
R.I.	-	2	-	-	-	-	-	-	-	-	-										
Conn.	-	-	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	-	-	-	-	2	-	-	3	-	-	-										
Upstate N.Y.	-	-	-	-	2	-	-	1	-	-	-										
N.Y. City	-	-	-	-	-	-	-	-	-	-	-										
N.J.	-	-	-	-	-	-	-	2	-	-	-										
Pa.	-	-	-	-	-	-	-	-	-	-	-										
E.N. CENTRAL	-	-	1	9	8	3	4	12	-	-	-										
Ohio	-	-	1	5	4	-	-	11	-	-	-										
Ind.	-	-	-	-	-	-	-	-	-	-	-										
Ill.	-	-	-	-	-	-	-	-	-	-	-										
Mich.	-	-	-	4	4	3	4	-	-	-	-										
Wis.	-	-	-	-	-	-	-	1	-	-	-										
W.N. CENTRAL	-	-	-	-	7	-	-	7	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	-	-	-	-	1	-	-	-	-	-	-										
Mo.	-	-	-	-	6	-	-	2	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	-	-	-	-	-	-	-	-	-	-	-										
Nebr.	-	-	-	-	-	-	-	-	-	-	-										
Kans.	-	-	-	-	-	-	-	5	-	-	-										
S. ATLANTIC	-	-	-	1	1	1	2	29	-	-	-										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	-	-	-	-	-	-	-	-	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	-	-	-	-	1	-	-	-	-	-	-										
W. Va.	-	-	-	-	-	-	-	-	-	-	-										
N.C.	-	-	-	-	-	-	-	29	-	-	-										
S.C.	-	-	-	1	-	-	1	-	-	-	-										
Ga.	-	-	-	-	-	1	1	-	-	-	-										
Fla.	-	-	-	-	-	-	-	-	-	-	-										
E.S. CENTRAL	-	-	-	1	3	1	1	1	-	-	-										
Ky.	-	-	-	-	-	-	-	-	-	-	-										
Tenn.	-	-	-	-	-	-	-	-	-	-	-										
Ala.	-	-	-	1	2	1	1	1	-	-	-										
Miss.	-	-	-	-	1	-	-	-	N	N	N										
W.S. CENTRAL	-	-	1	1	1	1	1	-	-	-	-										
Ark.	-	-	-	-	1	1	1	-	-	-	-										
La.	-	-	1	1	-	-	-	-	-	-	-										
Okla.	-	-	-	-	-	-	-	-	-	-	-										
Tex.	-	-	-	-	-	-	-	-	-	-	-										
MOUNTAIN	-	18	-	6	2	2	8	43	-	-	-										
Mont.	-	-	-	-	-	-	-	1	-	-	-										
Idaho	-	-	-	-	-	-	1	17	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	15	-	-	-	-	-	12	-	-	-										
N. Mex.	-	3	N	N	N	2	4	2	-	-	-										
Ariz.	-	-	-	-	-	-	-	11	-	-	-										
Utah	-	-	-	-	1	-	-	-	-	-	-										
Nev.	-	-	U	6	1	U	3	-	U	-	-										
PACIFIC	-	-	-	-	12	1	10	18	-	-	4										
Wash.	-	-	-	-	1	-	-	-	-	-	-										
Oreg.	-	-	N	N	N	1	10	-	-	-	-										
Calif.	-	-	U	-	11	U	-	17	U	-	4										
Alaska	-	-	-	-	-	-	-	-	-	-	-										
Hawaii	-	-	-	-	-	-	-	1	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


