
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 17, 2001 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2001
AIDS § cummulative for 2000
Chlamydia† cummulative for 2001
Chlamydia† cummulative for 2000
Cryptosporidiosis cummulative for 2001
Cryptosporidiosis cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 2001
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 2001
Escherichia coli O157:H7 PHLIS cummulative for 2000

tab delimited data:
test
UNITED STATES	2,792	2,720	64,487	84,760	106	128	87	177	50	139											
NEW ENGLAND	91	283	2,460	3,087	5	5	10	13	4	15											
Maine	3	3	-	175	-	1	-	1	-	1											
N.H.	5	4	130	147	-	-	3	3	2	3											
Vt.	5	-	87	78	2	2	-	1	-	2											
Mass.	51	228	1,189	1,289	-	2	7	4	2	3											
R.I.	11	6	431	321	1	-	-	-	-	-											
Conn.	16	42	623	1,077	2	-	-	4	-	6											
MID. ATLANTIC	555	796	2,381	7,710	8	10	9	23	4	37											
Upstate N.Y.	4	21	N	N	3	5	9	21	4	30											
N.Y. City	360	495	865	3,197	5	4	-	1	-	-											
N.J.	157	195	264	1,826	-	-	-	1	-	2											
Pa.	34	85	1,252	2,687	-	1	N	N	-	5											
E.N. CENTRAL	224	141	8,710	15,273	37	32	19	30	11	7											
Ohio	46	24	204	4,111	17	6	11	5	6	3											
Ind.	26	26	1,712	1,678	9	3	4	1	-	1											
Ill.	121	63	2,262	4,619	-	5	3	13	3	-											
Mich.	23	19	3,592	2,732	11	3	1	6	-	1											
Wis.	8	9	940	2,133	-	15	-	5	2	2											
W.N. CENTRAL	44	47	3,625	4,864	4	1	11	35	8	29											
Minn.	12	11	667	1,119	-	-	3	3	3	11											
Iowa	9	7	403	232	2	-	-	8	-	4											
Mo.	7	15	1,185	1,846	-	-	6	19	2	8											
N. Dak.	-	-	109	141	-	1	-	1	-	1											
S. Dak.	-	1	259	242	-	-	1	-	1	-											
Nebr.	6	4	177	434	2	-	-	2	-	3											
Kans.	10	9	825	850	-	-	1	2	2	2											
S. ATLANTIC	734	578	13,993	14,889	17	13	11	15	4	14											
Del.	15	15	391	401	-	-	-	-	-	-											
Md.	41	92	1,550	1,406	2	1	-	5	-	1											
D.C.	62	23	391	400	2	-	-	-	U	U											
Va.	48	41	2,176	1,492	2	-	2	3	3	4											
W. Va.	6	4	296	262	-	-	-	1	-	1											
N.C.	57	27	2,063	1,627	4	3	6	4	1	1											
S.C.	61	34	1,065	2,429	-	-	1	-	-	-											
Ga.	104	97	2,473	3,182	-	4	1	1	-	3											
Fla.	340	245	3,588	3,690	7	5	1	1	-	4											
E.S. CENTRAL	148	140	6,242	5,688	3	5	4	8	3	5											
Ky.	18	20	1,104	1,000	-	-	-	2	2	2											
Tenn.	80	35	2,026	1,648	-	-	2	3	1	3											
Ala.	25	50	1,421	1,722	2	5	2	1	-	-											
Miss.	25	35	1,691	1,318	1	-	-	2	-	-											
W.S. CENTRAL	409	267	12,342	13,321	3	7	2	10	8	14											
Ark.	19	8	1,279	525	1	1	-	2	-	2											
La.	130	44	2,435	2,279	1	-	-	-	5	5											
Okla.	20	10	1,231	1,199	1	1	2	3	2	3											
Tex.	240	205	7,397	9,318	-	5	-	5	1	4											
MOUNTAIN	145	100	3,147	4,753	7	8	6	21	5	7											
Mont.	1	1	148	121	-	-	-	5	-	-											
Idaho	-	3	249	256	1	1	2	2	-	-											
Wyo.	-	1	111	110	-	-	-	2	-	2											
Colo.	38	33	179	1,117	1	2	1	7	2	2											
N. Mex.	7	8	585	624	3	-	-	-	-	-											
Ariz.	52	21	1,437	1,623	1	2	3	3	2	2											
Utah	11	12	67	344	1	3	-	1	1	1											
Nev.	36	21	371	558	-	-	-	1	-	-											
PACIFIC	442	368	11,587	15,175	22	47	15	22	3	11											
Wash.	26	46	1,874	1,774	N	U	3	1	-	4											
Oreg.	17	11	592	454	5	1	2	3	1	4											
Calif.	398	302	8,519	12,168	17	46	10	14	-	-											
Alaska	1	-	238	303	-	-	-	-	-	-											
Hawaii	-	9	364	476	-	-	-	4	2	3											
Guam	2	-	-	-	-	-	N	N	U	U											
P.R.	48	75	382	U	-	-	-	-	U	U											
V.I.	1	-	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


