
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending February 9, 2002 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	28	6	-	-	-	-	2,085	2,663													
NEW ENGLAND	-	-	-	-	-	-	127	141													
Maine	-	-	-	-	-	-	21	8													
N.H.	-	-	-	-	-	-	4	9													
Vt.	-	-	-	-	-	-	6	8													
Mass.	-	-	-	-	-	-	63	105													
R.I.	-	-	-	-	-	-	5	9													
Conn.	-	-	-	-	-	-	28	2													
MID. ATLANTIC	4	1	-	-	-	-	169	450													
Upstate N.Y.	-	-	-	-	-	-	25	50													
N.Y. City	-	-	-	-	-	-	64	103													
N.J.	-	-	-	-	-	-	1	184													
Pa.	4	1	-	-	-	-	79	113													
E.N. CENTRAL	2	2	-	-	-	-	284	370													
Ohio	2	-	-	-	-	-	79	103													
Ind.	-	1	-	-	-	-	25	19													
Ill.	-	1	-	-	-	-	84	122													
Mich.	-	-	-	-	-	-	74	61													
Wis.	-	-	-	-	-	-	22	65													
W.N. CENTRAL	-	-	-	-	-	-	147	152													
Minn.	-	-	-	-	-	-	31	51													
Iowa	-	-	-	-	-	-	25	15													
Mo.	-	-	-	-	-	-	60	43													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	11	13													
Nebr.	-	-	-	-	-	-	-	10													
Kans.	-	-	-	-	-	-	20	20													
S. ATLANTIC	21	3	-	-	-	-	647	581													
Del.	-	-	-	-	-	-	6	8													
Md.	5	-	-	-	-	-	65	68													
D.C.	-	-	-	-	-	-	6	11													
Va.	-	-	-	-	-	-	45	56													
W. Va.	-	-	-	-	-	-	3	1													
N.C.	16	3	-	-	-	-	112	108													
S.C.	-	-	-	-	-	-	31	49													
Ga.	-	-	-	-	-	-	209	171													
Fla.	-	-	-	-	-	-	170	109													
E.S. CENTRAL	1	-	-	-	-	-	137	161													
Ky.	-	-	-	-	-	-	18	30													
Tenn.	1	-	-	-	-	-	32	30													
Ala.	-	-	-	-	-	-	58	71													
Miss.	-	-	-	-	-	-	29	30													
W.S. CENTRAL	-	-	-	-	-	-	50	302													
Ark.	-	-	-	-	-	-	27	23													
La.	-	-	-	-	-	-	-	44													
Okla.	-	-	-	-	-	-	21	7													
Tex.	-	-	-	-	-	-	2	228													
MOUNTAIN	-	-	-	-	-	-	155	134													
Mont.	-	-	-	-	-	-	3	7													
Idaho	-	-	-	-	-	-	9	5													
Wyo.	-	-	-	-	-	-	4	6													
Colo.	-	-	-	-	-	-	53	41													
N. Mex.	-	-	-	-	-	-	23	22													
Ariz.	-	-	-	-	-	-	27	30													
Utah	-	-	-	-	-	-	16	12													
Nev.	-	-	-	-	-	-	20	11													
PACIFIC	-	-	-	-	-	-	369	372													
Wash.	-	-	-	-	-	-	12	13													
Oreg.	-	-	-	-	-	-	32	4													
Calif.	-	-	-	-	-	-	297	311													
Alaska	-	-	-	-	-	-	8	5													
Hawaii	-	-	-	-	-	-	20	39													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	3	73													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	1	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


