
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 9, 2013 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2013
Chlamydia trachomatis infection cummulative for 2012
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2013
Coccidioidomycosis cummulative for 2012
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2013
Cryptosporidiosis cummulative for 2012

tab delimited data:
test
UNITED STATES	13,520	26,780	30,358	228,341	271,265	23	244	546	342	3,845	39	129	281	715	1,053						
NEW ENGLAND	948	945	1,349	8,863	9,052	-	0	1	1	-	1	7	19	15	56						
Conn.	291	250	569	2,302	2,423	N	0	0	N	N	-	1	3	3	6						
Maine	-	60	101	462	608	N	0	0	N	N	1	1	4	3	10						
Mass.	569	476	706	4,459	4,112	-	0	0	-	-	-	2	8	6	25						
N.H.	2	60	83	437	626	-	0	1	1	-	-	0	4	1	8						
R.I.	71	81	160	803	1,023	-	0	1	-	-	-	0	3	-	-						
Vt.	15	28	104	400	260	N	0	0	N	N	-	1	6	2	7						
MID. ATLANTIC	2,384	3,505	4,489	34,833	34,505	-	0	1	-	2	4	12	41	76	96						
N.J.	164	539	637	4,798	5,487	N	0	0	N	N	-	0	4	-	8						
N.Y. (Upstate)	732	722	1,680	6,391	6,208	N	0	0	N	N	-	2	16	15	14						
N.Y. City	516	1,135	1,266	10,642	11,980	N	0	0	N	N	-	2	8	8	18						
Pa.	972	1,074	1,993	13,002	10,830	-	0	1	-	2	4	7	21	53	56						
E.N. CENTRAL	1,178	4,259	4,697	29,818	43,492	-	1	4	4	10	14	28	110	149	283						
Ill.	21	1,270	1,415	5,316	13,474	N	0	0	N	N	-	3	8	3	26						
Ind.	181	563	838	4,549	5,643	N	0	0	N	N	-	3	8	11	36						
Mich.	384	915	1,304	7,578	9,364	-	0	2	2	6	2	5	40	31	62						
Ohio	335	1,043	1,184	8,070	10,360	-	0	2	-	4	9	10	28	62	90						
Wis.	257	468	551	4,305	4,651	-	0	1	2	-	3	9	43	42	69						
W.N. CENTRAL	198	1,564	1,801	11,216	16,355	-	2	8	-	14	-	17	41	73	129						
Iowa	8	210	255	1,640	2,402	N	0	0	N	N	-	5	22	15	48						
Kans.	33	212	256	1,707	2,312	N	0	0	N	N	-	2	5	4	21						
Minn.	7	342	436	1,506	3,527	-	1	7	-	13	-	0	0	-	-						
Mo.	126	544	657	4,473	5,449	-	0	1	-	1	-	4	12	33	24						
Nebr.	-	128	188	893	1,380	-	0	1	-	-	-	2	10	10	9						
N. Dak.	-	49	73	318	550	-	0	0	-	-	-	0	3	4	6						
S. Dak.	24	76	107	679	735	N	0	0	N	N	-	2	6	7	21						
S. ATLANTIC	4,452	5,237	6,448	47,900	54,713	-	0	1	-	2	9	19	59	193	205						
Del.	84	85	322	1,212	722	-	0	1	-	-	-	0	2	1	6						
D.C.	-	134	281	1,496	1,345	-	0	0	-	-	N	0	0	N	N						
Fla.	935	1,524	1,772	14,352	14,984	N	0	0	N	N	1	8	24	50	82						
Ga.	720	913	1,179	8,070	10,848	N	0	0	N	N	7	4	15	49	46						
Md.	332	472	1,235	3,237	3,424	-	0	1	-	2	-	1	5	11	24						
N.C.	1,038	889	1,771	6,617	9,262	N	0	0	N	N	-	0	29	41	-						
S.C.	567	527	908	5,331	5,613	N	0	0	N	N	-	1	4	17	18						
Va.	666	627	934	6,641	7,562	N	0	0	N	N	1	3	6	20	29						
W. Va.	110	89	149	944	953	N	0	0	N	N	-	0	3	4	-						
E.S. CENTRAL	748	1,956	2,559	15,825	20,907	-	0	0	-	-	1	4	14	32	51						
Ala.	317	572	862	5,174	5,768	N	0	0	N	N	-	2	6	14	21						
Ky.	390	329	787	3,321	3,016	N	0	0	N	N	1	1	4	7	4						
Miss.	-	393	766	2,669	5,415	N	0	0	N	N	-	0	4	4	8						
Tenn.	41	620	784	4,661	6,708	N	0	0	N	N	-	1	5	7	18						
W.S. CENTRAL	1,002	3,374	4,576	31,489	31,253	-	0	1	1	-	2	9	29	61	73						
Ark.	-	329	394	2,894	3,318	N	0	0	N	N	-	0	5	1	3						
La.	793	535	1,317	4,457	1,176	-	0	1	1	-	1	3	7	35	13						
Okla.	209	91	999	1,931	2,296	N	0	0	N	N	1	1	6	6	13						
Tex.	-	2,460	3,684	22,207	24,463	N	0	0	N	N	-	4	26	19	44						
MOUNTAIN	799	1,756	2,071	12,264	17,942	1	175	441	69	2,682	3	12	46	44	82						
Ariz.	-	564	872	969	5,747	-	173	439	52	2,632	-	1	4	2	4						
Colo.	303	417	544	3,899	4,294	N	0	0	N	N	1	1	7	4	10						
Idaho	-	82	158	744	946	N	0	0	N	N	-	3	25	13	13						
Mont.	53	75	109	687	743	-	0	1	-	-	-	1	4	3	13						
