
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending October 11, 2008 (WEEK 41)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	23	96	259	4,241	4,279	12	37	166	1,224	1,343											
NEW ENGLAND	-	6	31	303	326	-	1	14	55	102											
Conn.	-	0	26	94	95	-	0	11	-	12											
Maine	-	0	3	22	22	-	0	1	1	2											
Mass.	-	3	8	138	162	-	1	5	39	69											
N.H.	-	0	2	20	24	-	0	1	7	9											
R.I.	-	0	9	17	7	-	0	2	7	8											
Vt.	-	0	2	12	16	-	0	1	1	2											
MID. ATLANTIC	5	18	43	846	792	3	4	19	151	240											
N.J.	-	3	11	133	144	-	1	6	30	44											
N.Y. (Upstate)	2	6	17	279	244	3	2	14	80	82											
N.Y. City	-	3	10	155	187	-	1	8	41	114											
Pa.	3	6	16	279	217	N	0	0	N	N											
E.N. CENTRAL	3	19	42	791	824	3	6	23	215	233											
Ill.	-	5	16	206	248	-	1	6	46	59											
Ind.	-	2	11	113	99	2	0	14	32	14											
Mich.	3	3	10	144	171	1	1	5	57	60											
Ohio	-	5	14	226	196	-	1	5	47	50											
Wis.	-	2	10	102	110	-	1	3	33	50											
W.N. CENTRAL	-	4	39	321	286	1	2	16	111	74											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	5	34	28	1	0	3	15	1											
Minn.	-	0	35	154	137	-	0	13	48	41											
Mo.	-	1	10	71	74	-	1	2	29	21											
Nebr.	-	0	3	33	23	-	0	3	7	10											
N. Dak.	-	0	5	10	15	-	0	2	5	1											
S. Dak.	-	0	2	19	9	-	0	1	7	-											
S. ATLANTIC	5	22	37	896	1,032	3	6	16	223	240											
Del.	-	0	2	6	10	-	0	0	-	-											
D.C.	-	0	4	23	17	-	0	1	1	2											
Fla.	2	5	11	210	252	2	1	4	52	50											
Ga.	1	5	14	199	198	1	1	5	54	55											
Md.	-	4	8	144	174	-	1	5	45	51											
N.C.	2	2	10	120	140	N	0	0	N	N											
S.C.	-	1	5	55	88	-	1	4	39	39											
Va.	-	2	12	110	131	-	0	6	25	36											
W. Va.	-	0	3	29	22	-	0	1	7	7											
E.S. CENTRAL	-	4	9	145	174	-	2	11	72	76											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	33	34	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	16	5											
Tenn.	-	3	7	112	140	-	1	9	56	71											
W.S. CENTRAL	-	8	85	364	255	1	5	66	203	185											
Ark.	-	0	2	5	17	-	0	2	5	11											
La.	-	0	2	12	14	-	0	2	10	30											
Okla.	-	2	19	93	58	1	1	7	56	40											
Tex.	-	6	65	254	166	-	3	58	132	104											
MOUNTAIN	7	10	22	453	472	1	5	12	181	180											
Ariz.	3	3	9	165	183	1	2	8	92	89											
Colo.	3	3	8	130	116	-	1	4	51	38											
Idaho	-	0	2	12	15	-	0	1	3	2											
Mont.	N	0	0	N	N	-	0	1	4	1											
Nev.	-	0	2	8	2	N	0	0	N	N											
N. Mex.	-	2	8	84	80	-	0	3	15	28											
Utah	1	1	5	48	71	-	0	3	15	22											
Wyo.	-	0	2	6	5	-	0	1	1	-											
PACIFIC	3	3	10	122	118	-	0	2	13	13											
Alaska	1	0	4	32	22	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	2	2	10	90	96	-	0	2	13	13											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	30	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	14	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


