
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending December 16, 2006 (WEEK 50)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2005
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2006
Syphillis, primary & secondary cummulative for 2005
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2006
Varicella (chickenpox) cummulative for 2005

tab delimited data:
test
UNITED STATES	58	51	333	2,426	2,473	96	175	334	8,631	8,257	668	835	2,857	40,544	28,734						
NEW ENGLAND	-	0	24	37	225	7	4	17	205	207	4	30	100	1,421	5,132						
Conn.	U	0	7	U	95	-	0	11	53	46	U	0	48	U	1,641						
Maine	-	0	2	9	N	-	0	2	8	1	-	1	20	151	305						
Mass.	-	0	5	-	100	6	2	6	116	122	-	0	17	94	2,190						
N.H.	-	0	0	-	-	1	0	2	13	15	4	6	47	479	329						
R.I.	-	0	11	13	18	-	0	2	13	22	-	0	0	-	-						
Vt.	-	0	2	15	12	-	0	1	2	1	-	12	50	697	667						
MID. ATLANTIC	3	3	15	170	197	9	21	35	1,064	988	129	102	184	4,819	4,782						
N.J.	N	0	0	N	N	-	3	8	150	132	-	0	0	-	-						
N.Y. (Upstate)	2	1	10	62	75	4	3	14	142	74	-	0	0	-	-						
N.Y. City	U	0	0	U	U	-	11	23	521	588	-	0	0	-	-						
Pa.	1	2	9	108	122	5	5	12	251	194	129	102	184	4,819	4,782						
E.N. CENTRAL	11	11	44	577	608	12	16	39	845	893	358	307	587	14,665	5,951						
Ill.	-	0	2	18	37	2	7	23	398	507	-	1	7	68	100						
Ind.	4	2	21	159	178	-	1	5	88	59	-	0	475	475	-						
Mich.	-	0	4	18	46	5	2	19	111	84	60	105	190	4,781	3,789						
Ohio	7	6	42	382	347	4	3	8	182	205	298	144	420	8,686	1,613						
Wis.	N	0	0	N	N	1	1	4	66	38	-	10	52	655	449						
W.N. CENTRAL	-	1	191	106	44	1	5	12	253	248	75	28	98	1,779	662						
Iowa	N	0	0	N	N	-	0	3	19	9	N	0	0	N	N						
Kans.	N	0	0	N	N	-	0	3	26	18	21	4	24	341	-						
Minn.	-	0	191	60	-	-	0	2	29	69	-	0	0	-	-						
Mo.	-	1	3	41	36	1	3	8	158	146	54	20	82	1,285	463						
Nebr.	-	0	1	1	2	-	0	2	7	4	-	0	0	-	-						
N. Dak.	-	0	0	-	3	-	0	1	1	1	-	0	17	45	65						
S. Dak.	-	0	3	4	3	-	0	3	13	1	-	1	14	108	134						
S. ATLANTIC	38	26	53	1,278	1,050	37	41	186	2,041	2,076	30	88	860	4,246	2,753						
Del.	-	0	0	-	3	-	0	2	17	10	-	1	6	64	32						
D.C.	-	0	3	27	17	-	2	9	117	104	2	0	5	48	39						
Fla.	28	14	36	710	556	8	15	23	698	694	-	0	0	-	-						
Ga.	9	7	29	436	356	2	7	147	377	483	-	0	0	-	-						
Md.	-	0	0	-	-	10	5	14	283	305	-	0	0	-	-						
N.C.	N	0	0	N	N	10	5	17	292	263	-	0	0	-	-						
S.C.	-	0	0	-	-	1	1	5	66	82	11	19	53	1,082	606						
Va.	N	0	0	N	N	6	3	17	185	132	-	28	812	1,598	958						
W. Va.	1	1	14	105	118	-	0	1	6	3	17	27	70	1,454	1,118						
E.S. CENTRAL	-	2	13	137	181	18	13	26	698	475	-	2	23	152	291						
Ala.	N	0	0	N	N	6	5	19	313	164	-	2	23	150	291						
Ky.	-	0	0	-	32	4	1	9	71	52	N	0	0	N	N						
Miss.	-	0	0	-	1	8	1	7	77	47	-	0	1	2	-						
Tenn.	-	2	13	137	148	-	5	13	237	212	N	0	0	N	N						
W.S. CENTRAL	-	0	5	24	116	6	29	54	1,493	1,216	-	194	1,757	10,674	6,631						
Ark.	-	0	3	12	14	-	1	6	76	52	-	14	110	926	43						
La.	-	0	4	12	102	4	4	27	290	271	-	1	8	67	129						
Okla.	N	0	0	N	N	1	1	6	73	38	-	0	0	-	-						
Tex.	N	0	0	N	N	1	22	34	1,054	855	-	174	1,647	9,681	6,459						
MOUNTAIN	6	2	9	97	52	4	8	25	407	411	72	59	137	2,788	2,532						
Ariz.	N	0	0	N	N	-	3	16	180	164	-	0	0	-	-						
Colo.	N	0	0	N	N	-	1	3	44	46	47	30	76	1,435	1,773						
Idaho	N	0	0	N	N	-	0	1	2	20	-	0	0	-	-						
Mont.	-	0	1	-	1	-	0	1	1	7	-	0	13	27	-						
Nev.	-	0	0	-	-	4	2	12	109	108	-	0	0	-	-						
N. Mex.	-	0	0	-	-	-	1	5	62	56	-	3	34	350	212						
Utah	6	1	9	54	26	-	0	2	9	10	25	16	65	917	494						
Wyo.	-	1	4	43	25	-	0	0	-	-	-	0	11	59	53						
PACIFIC	-	0	0	-	-	2	34	51	1,625	1,743	-	0	0	-	-						
Alaska	-	0	0	-	-	-	0	4	9	7	-	0	0	-	-						
Calif.	N	0	0	N	N	1	29	43	1,402	1,537	-	0	0	-	-						
Hawaii	-	0	0	-	-	-	0	2	17	11	N	0	0	N	N						
Oreg.	N	0	0	N	N	1	0	6	25	39	N	0	0	N	N						
Wash.	N	0	0	N	N	-	2	10	172	149	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	-	0	0	-	-	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	3	-	2	4	-	438						
P.R.	N	0	0	N	N	-	3	10	137	211	2	7	47	330	688						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


