
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending June 21, 2003 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	12,439	15,048	8,307	7,247	2,910	2,726	1,208	1,545	209	166											
NEW ENGLAND	640	797	119	119	170	211	14	65	1	1											
Maine	41	63	4	3	18	16	-	-	-	-											
N.H.	42	46	4	4	16	23	-	-	N	N											
Vt.	25	30	5	-	16	9	6	3	1	1											
Mass.	348	464	71	87	115	75	N	N	N	N											
R.I.	36	36	4	5	5	10	8	3	-	-											
Conn.	148	158	31	20	-	78	-	59	U	U											
MID. ATLANTIC	1,465	2,113	904	564	491	462	77	76	55	46											
Upstate N.Y.	363	517	146	71	227	193	38	67	43	40											
N.Y. City	416	562	157	200	65	109	U	U	U	U											
N.J.	116	475	122	187	29	94	N	N	N	N											
Pa.	570	559	479	106	170	66	39	9	12	6											
E.N. CENTRAL	1,784	2,371	767	758	702	590	266	116	86	59											
Ohio	575	590	138	320	203	135	180	10	62	-											
Ind.	214	175	55	37	63	30	86	104	19	23											
Ill.	502	856	390	268	170	181	-	2	-	-											
Mich.	290	376	129	67	249	173	N	N	N	N											
Wis.	203	374	55	66	17	71	N	N	5	36											
W.N. CENTRAL	887	979	362	561	206	156	111	317	34	29											
Minn.	218	217	43	103	104	78	-	220	28	25											
Iowa	146	154	22	54	N	N	N	N	N	N											
Mo.	300	349	168	63	42	33	7	5	2	1											
N. Dak.	19	24	1	16	6	-	3	1	4	3											
S. Dak.	30	36	8	148	16	9	-	1	-	-											
Nebr.	67	61	85	123	19	14	-	25	N	N											
Kans.	107	138	35	54	19	22	101	65	N	N											
S. ATLANTIC	3,279	3,368	3,538	2,373	545	429	611	718	4	16											
Del.	30	22	126	6	6	1	1	3	N	N											
Md.	330	314	254	400	176	63	-	-	-	13											
D.C.	15	36	29	32	9	5	2	-	-	1											
Va.	358	338	185	431	62	45	N	N	N	N											
W. Va.	33	44	-	3	26	9	38	34	4	2											
N.C.	427	465	439	139	66	84	N	N	U	U											
S.C.	164	194	207	42	23	28	67	121	N	N											
Ga.	662	570	1,055	585	67	88	171	186	N	N											
Fla.	1,260	1,385	1,243	735	110	106	332	374	N	N											
E.S. CENTRAL	813	888	446	607	116	65	81	87	-	-											
Ky.	143	130	54	62	30	10	11	10	N	N											
Tenn.	275	218	151	27	86	55	70	77	N	N											
Ala.	240	249	158	288	-	-	-	-	N	N											
Miss.	155	291	83	230	-	-	-	-	-	-											
W.S. CENTRAL	727	1,474	803	1,112	103	173	29	136	26	13											
Ark.	201	235	42	92	3	4	7	5	-	-											
La.	96	310	93	233	1	1	22	131	10	4											
Okla.	131	145	425	178	50	30	N	N	16	-											
Tex.	299	784	243	609	49	138	N	N	-	9											
MOUNTAIN	895	907	433	263	291	338	18	30	3	2											
Mont.	48	40	2	2	1	-	-	-	-	-											
Idaho	88	56	11	2	11	5	N	N	N	N											
Wyo.	48	27	1	3	1	7	4	10	-	-											
Colo.	220	235	66	51	84	72	-	-	-	-											
N. Mex.	72	122	85	52	72	64	14	20	-	-											
Ariz.	269	263	223	122	112	170	-	-	N	N											
Utah	86	61	23	16	9	20	-	-	3	2											
Nev.	64	103	22	15	1	-	-	-	-	-											
PACIFIC	1,949	2,151	935	890	286	302	1	-	-	-											
Wash.	223	188	73	52	26	18	-	-	N	N											
Oreg.	179	176	51	38	N	N	N	N	N	N											
Calif.	1,464	1,637	805	776	232	255	N	N	N	N											
Alaska	41	35	4	2	-	-	-	-	N	N											
Hawaii	42	115	2	22	28	29	1	-	-	-											
Guam	-	22	-	17	-	-	-	3	-	-											
P.R.	124	171	1	12	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


