
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending August 4, 2007 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	71	188	1,479	4,869	7,963	60	93	171	2,620	3,097	68	29	211	866	1,045						
NEW ENGLAND	5	33	77	711	922	8	12	22	339	232	-	0	10	-	8						
Conn.	-	2	10	26	58	4	5	14	132	100	-	0	0	-	-						
Maine	-	2	15	38	39	1	2	8	46	57	-	0	0	-	-						
Mass.	4	22	46	583	583	-	0	0	-	-	-	0	1	-	7						
N.H.	-	2	9	36	135	2	1	4	31	22	-	0	0	-	1						
R.I.	-	0	31	4	25	-	0	3	22	16	-	0	9	-	-						
Vt.	1	1	9	24	82	1	2	13	108	37	-	0	0	-	-						
MID. ATLANTIC	11	30	155	675	992	-	13	44	420	281	1	1	6	31	51						
N.J.	-	3	16	65	182	-	0	0	-	-	-	0	3	1	26						
N.Y. (Upstate)	11	16	146	359	391	-	-	-	-	-	1	0	1	2	-						
N.Y. City	-	2	6	68	59	-	1	5	28	13	-	0	3	14	13						
Pa.	-	8	20	183	360	-	12	44	392	268	-	0	3	14	12						
E.N. CENTRAL	9	38	80	912	1,183	8	2	18	125	72	1	0	9	14	39						
Ill.	-	5	23	81	289	2	1	7	38	19	-	0	4	4	20						
Ind.	-	2	45	39	133	-	0	1	6	7	1	0	1	3	3						
Mich.	-	8	39	154	267	4	1	5	36	29	-	0	1	3	1						
Ohio	9	15	54	439	353	2	0	12	45	17	-	0	4	4	14						
Wis.	-	5	24	199	141	-	0	0	-	-	-	0	0	-	1						
W.N. CENTRAL	5	15	151	361	773	4	6	17	165	181	-	3	12	112	112						
Iowa	-	4	16	95	199	1	0	7	21	31	-	0	1	6	4						
Kans.	4	3	14	91	160	2	2	8	84	50	-	0	1	2	-						
Minn.	-	0	119	59	111	1	0	5	17	26	-	0	2	1	1						
Mo.	-	3	10	45	196	-	1	6	21	32	-	3	12	94	89						
Nebr.	1	1	4	27	74	-	0	0	-	-	-	0	2	7	18						
N. Dak.	-	0	18	4	16	-	0	6	12	14	-	0	0	-	-						
S. Dak.	-	0	6	40	17	-	0	2	10	28	-	0	1	2	-						
S. ATLANTIC	13	19	163	555	665	35	40	65	1,191	1,407	61	12	67	481	600						
Del.	-	0	2	7	3	-	0	0	-	-	-	0	2	7	16						
D.C.	-	0	2	2	3	-	0	0	-	-	-	0	1	1	-						
Fla.	2	4	18	142	127	-	0	28	74	176	-	0	4	13	8						
Ga.	-	1	5	17	59	-	4	23	120	158	2	0	5	13	31						
Md.	-	2	8	68	95	6	6	12	171	256	-	1	7	34	49						
N.C.	9	2	112	200	131	11	9	19	303	293	55	6	61	316	430						
S.C.	-	2	11	47	95	-	2	11	46	94	1	1	7	34	20						
Va.	1	2	17	60	129	18	13	31	438	367	3	2	12	61	45						
W. Va.	1	0	19	12	23	-	1	8	39	63	-	0	2	2	1						
E.S. CENTRAL	-	5	24	147	198	1	4	11	98	152	1	5	27	142	168						
Ala.	-	1	18	40	40	-	0	8	-	48	-	1	9	35	41						
Ky.	-	0	3	5	41	1	0	3	13	11	-	0	2	4	1						
Miss.	-	0	10	40	20	-	0	0	-	4	-	0	1	2	2						
Tenn.	-	2	7	62	97	-	2	7	85	89	1	3	22	101	124						
W.S. CENTRAL	8	20	226	549	463	2	3	35	66	545	3	1	168	65	42						
Ark.	2	2	17	103	43	2	0	5	21	24	3	0	53	17	29						
La.	-	0	2	11	19	-	0	1	-	3	-	0	1	1	-						
Okla.	-	0	36	3	18	-	0	22	45	48	-	0	108	34	5						
Tex.	6	17	174	432	383	-	0	34	-	470	-	0	7	13	8						
MOUNTAIN	11	26	61	659	1,759	-	3	28	90	98	1	0	4	19	23						
Ariz.	-	6	13	145	364	-	2	10	63	75	1	0	2	1	7						
Colo.	3	6	17	183	565	-	0	0	-	-	-	0	1	1	4						
Idaho	2	1	6	27	49	-	0	24	-	-	-	0	3	3	1						
Mont.	-	1	7	31	83	-	0	2	7	9	-	0	1	1	2						
Nev.	-	0	5	3	56	-	0	2	2	2	-	0	0	-	-						
N. Mex.	-	2	8	32	60	-	0	2	6	6	-	0	1	4	5						
Utah	6	8	47	224	529	-	0	1	6	4	-	0	0	-	-						
Wyo.	-	1	5	14	53	-	0	2	6	2	-	0	2	9	4						
PACIFIC	9	15	547	300	1,008	2	4	13	126	129	-	0	1	2	2						
Alaska	1	1	8	32	48	-	0	6	34	14	N	0	0	N	N						
Calif.	-	9	225	99	803	1	3	12	86	106	-	0	0	-	-						
Hawaii	-	0	3	13	77	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	11	62	80	1	0	3	6	9	-	0	1	2	2						
Wash.	8	1	377	94	-	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	0	7	-	29	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	-	1	2	1	5	34	57	N	0	0	N	N						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


