
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 26, 1999 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	1,301	1,548	2	175	398	50	2,462	2,343	3	135	287										
NEW ENGLAND	70	69	-	3	1	6	252	432	-	6	36										
Maine	4	4	-	-	-	-	-	5	-	-	-										
N.H.	10	8	-	1	-	-	53	34	-	-	-										
Vt.	4	1	-	-	-	-	9	38	-	-	-										
Mass.	43	30	-	2	1	1	174	339	-	6	8										
R.I.	2	3	-	-	-	5	8	3	-	-	-										
Conn.	7	23	U	-	-	U	8	13	U	-	28										
MID. ATLANTIC	115	162	-	21	168	4	568	285	2	17	131										
Upstate N.Y.	33	42	-	5	2	4	495	138	2	13	108										
N.Y. City	27	19	-	3	153	-	10	14	-	-	10										
N.J.	23	39	U	-	5	U	12	8	U	1	12										
Pa.	32	62	-	13	8	-	51	125	-	3	1										
E.N. CENTRAL	204	243	1	23	47	8	207	218	1	1	-										
Ohio	91	82	-	7	19	2	107	71	-	-	-										
Ind.	36	43	1	3	4	3	14	53	1	1	-										
Ill.	50	68	-	6	7	3	38	24	-	-	-										
Mich.	26	26	-	7	17	-	21	32	-	-	-										
Wis.	1	24	U	-	-	U	27	38	U	-	-										
W.N. CENTRAL	151	126	-	5	20	3	65	174	-	71	27										
Minn.	30	19	-	1	10	-	25	100	-	-	-										
Iowa	28	18	-	3	6	1	20	43	-	21	-										
Mo.	59	52	-	1	3	-	15	13	-	2	2										
N. Dak.	3	-	-	-	1	-	-	-	-	-	-										
S. Dak.	8	6	-	-	-	2	4	4	-	-	-										
Nebr.	9	7	-	-	-	-	1	6	-	48	-										
Kans.	14	24	-	-	-	-	-	8	-	-	25										
S. ATLANTIC	223	241	1	36	25	6	142	122	-	17	6										
Del.	3	1	-	-	-	-	-	1	-	-	-										
Md.	33	22	-	3	-	2	38	27	-	1	-										
D.C.	1	-	-	2	-	-	-	1	-	-	-										
Va.	26	23	-	8	4	-	13	6	-	-	-										
W. Va.	4	9	-	-	-	-	1	1	-	-	-										
N.C.	26	35	1	8	8	2	35	44	-	16	5										
S.C.	27	39	-	3	4	-	9	15	-	-	-										
Ga.	39	55	-	2	1	-	16	6	-	-	-										
Fla.	64	57	-	10	8	2	30	21	-	-	1										
E.S. CENTRAL	108	116	-	1	8	-	43	51	-	1	-										
Ky.	29	16	-	-	-	-	3	18	-	-	-										
Tenn.	38	41	-	-	1	-	25	17	-	-	-										
Ala.	24	40	-	1	4	-	11	14	-	1	-										
Miss.	17	19	U	-	3	U	4	2	U	-	-										
W.S. CENTRAL	93	183	-	21	32	-	61	145	-	5	69										
Ark.	20	22	-	-	-	-	6	15	-	-	-										
La.	34	35	U	3	2	U	3	1	U	-	-										
Okla.	16	26	-	1	-	-	7	15	-	-	-										
Tex.	23	100	-	17	30	-	45	114	-	5	69										
MOUNTAIN	88	84	-	12	23	3	245	481	-	14	5										
Mont.	2	3	-	-	-	-	2	1	-	-	-										
Idaho	8	4	-	1	3	-	93	184	-	-	-										
Wyo.	3	3	U	-	1	U	2	7	U	-	-										
Colo.	23	17	-	3	3	-	60	115	-	-	-										
N. Mex.	11	15	N	N	N	3	24	64	-	-	1										
Ariz.	28	29	-	-	4	-	29	69	-	13	1										
Utah	8	8	-	5	3	-	33	23	-	-	2										
Nev.	5	5	-	3	9	-	2	18	-	1	1										
PACIFIC	249	324	-	53	74	20	879	435	-	3	13										
Wash.	37	41	-	2	5	20	499	139	-	-	9										
Oreg.	42	54	N	N	N	-	17	29	-	-	-										
Calif.	162	224	-	45	53	-	353	260	-	3	2										
Alaska	4	1	U	1	2	U	3	2	U	-	-										
Hawaii	4	4	-	5	14	-	7	5	-	-	2										
Guam	-	2	U	1	2	U	1	-	U	-	-										
P.R.	5	6	-	-	1	1	9	2	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	1	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


