
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 20, 1999 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999*
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1999
Gonorrhea cummulative for 1999
Gonorrhea cummulative for 1998
Hepatitis C/NA,NB cummulative for 1999
Hepatitis C/NA,NB cummulative for 1998

tab delimited data:
test
UNITED STATES	7,049	9,121	105,731	119,578	226	102	58,984	70,410	468	844											
NEW ENGLAND	359	288	3,791	4,475	39	25	1,227	1,272	44	20											
Maine	5	4	141	192	2	-	10	8	-	-											
N.H.	13	12	200	210	2	1	17	24	-	-											
Vt.	4	8	91	66	3	-	12	1	1	2											
Mass.	245	71	1,887	1,803	19	14	610	465	43	18											
R.I.	20	34	459	526	1	1	115	71	-	-											
Conn.	72	159	1,013	1,678	12	9	463	703	-	-											
MID. ATLANTIC	1,497	2,491	15,649	14,363	12	1	8,406	8,153	32	71											
Upstate N.Y.	74	418	N	N	10	-	727	1,171	28	64											
N.Y. City	837	1,171	7,966	7,594	-	1	3,825	3,534	-	-											
N.J.	375	420	2,072	2,544	2	-	1,109	1,513	-	-											
Pa.	211	482	5,611	4,225	N	-	2,745	1,935	4	7											
E.N. CENTRAL	487	668	15,961	18,493	37	21	10,890	14,128	104	102											
Ohio	95	154	5,183	5,989	21	7	3,159	3,571	-	5											
Ind.	52	79	-	-	5	6	726	1,362	-	2											
Ill.	231	249	5,930	4,510	3	3	3,840	4,051	1	15											
Mich.	80	144	4,077	5,044	8	2	2,851	3,997	103	80											
Wis.	29	42	771	2,950	N	3	314	1,147	-	-											
W.N. CENTRAL	161	184	3,610	7,513	46	13	1,272	3,164	6	138											
Minn.	26	22	1,157	1,494	16	10	453	507	-	-											
Iowa	12	9	396	763	5	2	160	206	-	3											
Mo.	84	100	-	2,702	2	1	-	1,527	5	135											
N. Dak.	3	3	102	208	2	-	7	18	-	-											
S. Dak.	4	5	392	367	-	-	34	60	-	-											
Nebr.	11	14	668	653	14	-	291	249	-	-											
Kans.	21	31	895	1,326	7	-	327	597	1	-											
S. ATLANTIC	1,888	2,362	24,452	23,511	25	10	18,374	18,811	47	26											
Del.	31	36	653	512	1	-	376	309	-	-											
Md.	254	334	1,677	1,600	1	-	2,063	1,812	17	3											
D.C.	67	192	N	N	-	-	588	746	-	-											
Va.	103	174	3,047	2,565	6	2	2,061	1,525	6	1											
W. Va.	14	19	507	1,086	-	1	92	325	4	2											
N.C.	126	107	4,751	4,597	5	3	4,200	4,058	-	7											
S.C.	132	161	4,434	3,711	1	1	2,230	2,508	6	-											
Ga.	209	233	3,366	5,409	1	-	2,422	4,277	1	8											
Fla.	952	1,106	6,017	4,031	10	3	4,342	3,251	13	5											
E.S. CENTRAL	303	366	7,518	8,347	15	1	6,560	8,067	24	28											
Ky.	37	63	-	1,293	5	-	-	788	1	4											
Tenn.	132	124	2,865	2,807	7	-	2,318	2,427	22	21											
Ala.	71	118	3,052	2,229	3	-	2,790	2,803	1	3											
Miss.	63	61	1,601	2,018	-	1	1,452	2,049	-	-											
W.S. CENTRAL	989	1,297	12,157	17,047	5	4	7,348	10,288	24	15											
Ark.	34	52	1,148	814	2	2	514	1,088	2	2											
La.	69	148	3,527	2,611	1	2	3,053	2,257	12	-											
Okla.	20	71	1,743	2,023	1	-	908	1,052	1	-											
Tex.	866	1,026	5,739	11,599	1	-	2,873	5,891	9	13											
MOUNTAIN	213	310	5,684	6,030	15	5	1,538	1,602	45	112											
Mont.	3	10	225	175	-	-	4	8	4	4											
Idaho	5	5	371	403	-	1	24	37	4	37											
Wyo.	1	1	154	167	1	1	7	10	13	29											
Colo.	57	65	1,600	1,573	4	1	408	540	7	8											
N. Mex.	9	52	831	869	1	-	153	164	4	17											
Ariz.	89	91	1,596	2,052	4	1	638	672	10	-											
Utah	27	35	314	425	5	1	34	48	1	8											
Nev.	22	51	593	366	-	-	270	123	2	9											
PACIFIC	1,152	1,155	16,909	19,799	32	22	3,369	4,925	142	332											
Wash.	59	74	2,563	2,309	3	8	455	410	2	2											
Oreg.	32	31	1,040	1,219	11	8	156	184	-	2											
Calif.	1,040	1,027	12,628	15,393	18	6	2,630	4,179	140	293											
Alaska	5	-	404	413	-	-	77	65	-	1											
Hawaii	16	23	274	465	-	-	51	87	-	34											
Guam	1	-	-	63	N	-	-	5	-	-											
P.R.	214	271	U	U	1	U	67	102	-	-											
V.I.	3	8	N	N	N	U	U	U	U	U											
Amer. Samoa	-	-	U	U	N	U	U	U	U	U											
C.N.M.I.	-	-	N	N	N	U	-	8	-	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


