
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending May 21, 2005 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	1,951	2,323	1,135	1,181	352	392	2,558	2,863	97	150											
NEW ENGLAND	70	165	11	57	32	57	73	68	-	-											
Maine	2	3	N	N	-	1	1	-	-	-											
N.H.	5	11	-	-	2	N	5	1	-	-											
Vt.	7	5	5	5	3	1	-	-	-	-											
Mass.	50	77	-	9	27	36	56	43	-	-											
R.I.	6	16	6	7	-	3	2	6	-	-											
Conn.	-	53	U	36	U	16	9	18	-	-											
MID. ATLANTIC	433	381	121	87	58	53	330	385	15	21											
Upstate N.Y.	155	114	46	39	36	34	27	31	11	1											
N.Y. City	63	65	U	U	U	U	215	225	3	9											
N.J.	85	82	N	N	11	4	44	74	1	10											
Pa.	130	120	75	48	11	15	44	55	-	1											
E.N. CENTRAL	391	518	286	264	94	93	216	342	15	22											
Ohio	99	130	186	196	44	45	76	97	2	1											
Ind.	42	48	98	68	22	18	28	21	1	1											
Ill.	82	155	2	-	24	-	72	130	3	2											
Mich.	160	147	-	N	-	N	32	78	7	18											
Wis.	8	38	N	N	4	30	8	16	2	-											
W.N. CENTRAL	137	163	28	10	43	32	68	77	-	2											
Minn.	52	72	-	-	24	18	12	12	-	1											
Iowa	N	N	N	N	-	N	1	4	-	-											
Mo.	43	40	26	9	4	8	46	44	-	1											
N. Dak.	2	6	-	-	1	-	-	-	-	-											
S. Dak.	9	8	2	1	-	-	-	-	-	-											
Nebr.	9	11	-	-	4	4	2	5	-	-											
Kans.	22	26	N	N	10	2	7	12	-	-											
S. ATLANTIC	398	434	488	576	43	26	674	706	20	24											
Del.	-	2	1	3	-	N	6	2	-	-											
Md.	110	66	-	-	29	18	119	134	7	3											
D.C.	5	4	13	5	2	4	46	20	-	1											
Va.	27	37	N	N	-	N	35	25	3	1											
W. Va.	7	13	49	65	12	4	2	3	-	-											
N.C.	63	56	N	N	U	U	89	57	3	1											
S.C.	11	43	-	58	-	N	26	52	-	7											
Ga.	75	114	155	147	-	N	74	129	-	1											
Fla.	100	99	270	298	-	N	277	284	7	10											
E.S. CENTRAL	79	114	87	73	3	9	139	145	11	7											
Ky.	19	35	14	18	N	N	12	22	-	-											
Tenn.	60	79	73	53	-	N	60	54	8	1											
Ala.	-	-	-	-	-	N	56	54	3	4											
Miss.	-	-	-	2	3	9	11	15	-	2											
W.S. CENTRAL	84	266	75	36	51	97	468	427	20	30											
Ark.	7	5	8	5	10	5	22	13	-	3											
La.	5	1	67	31	16	19	92	93	2	2											
Okla.	61	32	N	N	16	23	16	12	1	2											
Tex.	11	228	N	N	9	50	338	309	17	23											
MOUNTAIN	319	246	39	17	28	25	136	147	12	11											
Mont.	-	-	-	-	-	-	5	-	-	-											
Idaho	1	4	N	N	-	N	9	10	-	2											
Wyo.	2	5	16	4	-	-	-	1	-	-											
Colo.	124	48	N	N	27	25	15	27	-	-											
N. Mex.	23	52	-	5	-	-	18	39	1	2											
Ariz.	127	116	N	N	-	N	56	61	11	7											
Utah	41	21	22	6	1	-	4	2	-	-											
Nev.	1	-	1	2	-	-	29	7	-	-											
PACIFIC	40	36	-	61	-	-	454	566	4	33											
Wash.	N	N	N	N	N	N	56	31	-	-											
Oreg.	N	N	N	N	-	N	12	14	-	-											
Calif.	-	-	N	N	N	N	380	518	4	33											
Alaska	-	-	-	-	-	N	4	-	-	-											
Hawaii	40	36	-	61	-	-	2	3	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	N	N	N	N	-	N	55	50	6	3											
V.I.	-	-	-	-	-	-	-	4	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


