
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending January 20, 2007 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	44	84	216	156	278	9	23	41	47	41											
NEW ENGLAND	1	3	15	4	13	-	1	4	2	2											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	2	1	2	-	0	2	-	-											
Mass.	-	2	5	-	11	-	0	4	-	2											
N.H.	-	0	9	1	-	-	0	4	1	-											
R.I.	-	0	2	-	-	-	0	3	-	-											
Vt.	1	0	2	2	-	-	0	1	1	-											
MID. ATLANTIC	10	17	40	27	57	2	3	11	8	5											
N.J.	-	2	8	-	13	-	1	4	-	4											
N.Y. (Upstate)	3	5	20	8	6	2	2	11	8	1											
N.Y. City	-	2	8	1	16	-	0	2	-	-											
Pa.	7	6	13	18	22	N	0	0	N	N											
E.N. CENTRAL	8	13	46	34	70	2	6	14	12	14											
Ill.	-	2	12	2	28	-	1	6	-	3											
Ind.	3	2	11	3	-	-	0	10	-	-											
Mich.	1	3	12	7	17	2	1	5	7	3											
Ohio	4	4	19	22	20	-	2	7	5	4											
Wis.	-	1	4	-	5	-	0	2	-	4											
W.N. CENTRAL	4	4	57	11	15	-	2	10	2	3											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	5	2	10	-	0	3	-	2											
Minn.	-	0	52	-	-	-	0	7	-	-											
Mo.	3	1	5	8	3	-	0	2	2	1											
Nebr.	-	0	4	-	2	-	0	2	-	-											
N. Dak.	-	0	2	-	-	-	0	1	-	-											
S. Dak.	1	0	2	1	-	-	0	0	-	-											
S. ATLANTIC	13	22	45	39	68	2	1	7	14	5											
Del.	-	0	2	-	1	-	0	0	-	-											
D.C.	-	0	2	-	1	-	0	1	-	-											
Fla.	6	5	16	12	20	-	0	1	1	-											
Ga.	2	5	12	10	21	1	0	2	5	-											
Md.	5	4	12	12	11	1	1	5	7	4											
N.C.	-	0	26	-	5	-	0	0	-	-											
S.C.	-	1	6	5	7	-	0	1	1	-											
Va.	-	2	9	-	2	-	0	0	-	-											
W. Va.	-	0	6	-	-	-	0	2	-	1											
E.S. CENTRAL	-	3	11	6	13	-	0	2	-	3											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	0	5	3	2	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	-	3											
Tenn.	-	3	9	3	11	-	0	0	-	-											
W.S. CENTRAL	4	7	18	9	13	-	3	14	2	3											
Ark.	-	0	5	1	1	-	0	2	-	1											
La.	-	0	2	-	-	-	0	1	-	-											
Okla.	3	2	8	6	5	-	1	5	2	2											
Tex.	1	4	14	2	7	-	2	11	-	-											
MOUNTAIN	4	11	42	24	21	3	3	12	7	6											
Ariz.	3	5	34	8	2	3	2	9	6	2											
Colo.	-	2	7	9	8	-	1	4	-	4											
Idaho	1	0	1	1	1	-	0	1	-	-											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	3	-	-	-	0	0	-	-											
N. Mex.	-	1	5	4	2	-	0	3	1	-											
Utah	-	1	5	2	7	-	0	0	-	-											
Wyo.	-	0	1	-	1	-	0	0	-	-											
PACIFIC	-	2	9	2	8	-	0	1	-	-											
Alaska	-	0	0	-	N	-	0	0	-	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	2	8	-	0	1	-	-											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


