
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 24, 2001 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	653	649	2	31	113	58	1,116	1,143	-	2	13										
NEW ENGLAND	46	38	-	-	2	1	200	313	-	-	4										
Maine	-	3	-	-	-	-	-	7	-	-	-										
N.H.	4	3	-	-	-	-	16	45	-	-	1										
Vt.	4	1	-	-	-	1	20	52	-	-	-										
Mass.	26	23	-	-	-	-	158	200	-	-	3										
R.I.	-	2	-	-	1	-	-	5	-	-	-										
Conn.	12	6	-	-	1	-	6	4	-	-	-										
MID. ATLANTIC	42	38	-	-	7	2	68	104	-	1	4										
Upstate N.Y.	23	12	-	-	3	2	60	55	-	1	2										
N.Y. City	-	-	-	-	2	-	-	23	-	-	2										
N.J.	18	13	-	-	-	-	-	-	-	-	-										
Pa.	1	13	-	-	2	-	8	26	-	-	-										
E.N. CENTRAL	55	113	-	5	13	7	128	172	-	1	-										
Ohio	29	19	-	1	4	4	102	108	-	-	-										
Ind.	1	15	-	-	-	2	5	8	-	-	-										
Ill.	-	33	-	3	3	1	7	14	-	1	-										
Mich.	16	32	-	1	6	-	13	6	-	-	-										
Wis.	9	14	-	-	-	-	1	36	-	-	-										
W.N. CENTRAL	43	39	-	2	5	3	36	30	-	-	1										
Minn.	1	3	-	-	-	-	-	10	-	-	-										
Iowa	13	10	-	-	3	-	3	6	-	-	-										
Mo.	16	21	-	-	1	3	21	5	-	-	-										
N. Dak.	2	1	-	-	-	-	-	1	-	-	-										
S. Dak.	2	2	-	-	-	-	2	1	-	-	-										
Nebr.	2	1	-	-	1	-	-	2	-	-	1										
Kans.	7	1	-	2	-	-	10	5	-	-	-										
S. ATLANTIC	137	97	1	4	13	7	48	77	-	-	1										
Del.	-	-	-	-	-	-	-	1	-	-	-										
Md.	19	10	-	2	5	1	12	18	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	14	17	-	1	1	-	6	5	-	-	-										
W. Va.	4	2	-	-	-	-	1	-	-	-	-										
N.C.	36	17	-	-	2	4	19	28	-	-	-										
S.C.	11	6	1	1	4	-	6	12	-	-	-										
Ga.	17	19	-	-	-	-	-	9	-	-	-										
Fla.	36	26	-	-	1	2	4	4	-	-	1										
E.S. CENTRAL	48	42	-	-	1	1	23	31	-	-	-										
Ky.	8	8	-	-	-	1	6	21	-	-	-										
Tenn.	18	17	-	-	-	-	13	2	-	-	-										
Ala.	18	12	-	-	1	-	2	7	-	-	-										
Miss.	4	5	-	-	-	-	2	1	-	-	-										
W.S. CENTRAL	100	78	-	2	13	-	8	18	-	-	3										
Ark.	7	4	-	1	1	-	2	5	-	-	-										
La.	30	23	-	1	3	-	-	2	-	-	-										
Okla.	11	9	-	-	-	-	1	-	-	-	-										
Tex.	52	42	-	-	9	-	5	11	-	-	3										
MOUNTAIN	34	40	-	4	5	30	546	208	-	-	-										
Mont.	-	1	-	-	1	-	3	1	-	-	-										
Idaho	3	5	-	-	-	16	148	32	-	-	-										
Wyo.	-	-	U	1	-	U	-	-	U	-	-										
Colo.	12	11	-	1	-	9	117	122	-	-	-										
N. Mex.	6	6	-	2	1	2	14	35	-	-	-										
Ariz.	6	11	-	-	-	-	255	11	-	-	-										
Utah	4	5	-	-	1	3	9	4	-	-	-										
Nev.	3	1	-	-	2	-	-	3	-	-	-										
PACIFIC	148	164	1	14	54	7	59	190	-	-	-										
Wash.	22	13	-	-	2	6	22	41	-	-	-										
Oreg.	19	20	N	N	N	1	5	18	-	-	-										
Calif.	106	127	1	13	47	-	32	123	-	-	-										
Alaska	1	1	-	1	-	-	-	2	-	-	-										
Hawaii	-	3	-	-	5	-	-	6	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	1	3	-	-	-	-	-	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


