
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending December 14, 2002 (WEEK 50)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	18,418	18,942	3,827	3,472	2,126	2,511	274	416													
NEW ENGLAND	326	301	173	219	18	124	3	47													
Maine	12	6	20	12	-	-	-	-													
N.H.	13	7	35	N	-	-	N	N													
Vt.	1	7	10	16	5	9	2	1													
Mass.	184	204	93	66	N	N	N	N													
R.I.	17	23	15	13	13	4	1	4													
Conn.	99	54	-	112	-	111	-	42													
MID. ATLANTIC	1,400	1,450	626	637	118	166	73	111													
Upstate N.Y.	339	463	281	253	92	159	71	111													
N.Y. City	431	405	145	162	U	U	U	U													
N.J.	386	266	136	138	N	N	N	N													
Pa.	244	316	64	84	26	7	2	-													
E.N. CENTRAL	1,794	4,293	735	761	242	173	118	126													
Ohio	661	2,872	202	192	78	3	29	-													
Ind.	104	220	48	60	159	170	63	59													
Ill.	672	606	196	250	2	-	-	67													
Mich.	185	299	288	208	3	-	N	N													
Wis.	172	296	1	51	N	N	26	-													
W.N. CENTRAL	978	1,906	238	362	424	159	57	62													
Minn.	221	420	125	171	292	72	57	53													
Iowa	123	358	-	-	N	N	N	N													
Mo.	193	306	42	72	5	11	-	-													
N. Dak.	16	21	3	17	1	6	-	9													
S. Dak.	156	627	13	12	1	4	-	-													
Nebr.	179	100	18	39	29	25	N	N													
Kans.	90	74	37	51	96	41	N	N													
S. ATLANTIC	6,911	3,011	716	563	1,073	1,326	8	9													
Del.	384	17	2	4	3	6	N	N													
Md.	1,200	151	141	N	N	N	N	N													
D.C.	58	54	9	22	54	11	1	4													
Va.	986	513	71	78	N	N	N	N													
W. Va.	12	8	19	20	46	40	7	5													
N.C.	550	352	113	139	N	N	U	U													
S.C.	120	247	35	13	185	272	N	N													
Ga.	1,299	666	116	180	182	414	N	N													
Fla.	2,302	1,003	210	107	603	583	N	N													
E.S. CENTRAL	1,469	1,686	108	113	124	233	-	-													
Ky.	194	801	18	38	17	26	N	N													
Tenn.	128	113	90	75	107	206	N	N													
Ala.	810	208	-	-	-	1	N	N													
Miss.	337	564	-	-	-	-	-	-													
W.S. CENTRAL	1,718	2,870	116	315	85	281	11	61													
Ark.	194	559	8	-	11	21	-	-													
La.	412	243	-	1	73	260	4	61													
Okla.	570	100	47	46	N	N	7	-													
Tex.	542	1,968	61	268	N	N	-	-													
MOUNTAIN	909	964	575	418	42	45	4	-													
Mont.	4	8	-	-	-	-	-	-													
Idaho	17	40	11	7	N	N	N	N													
Wyo.	9	7	7	12	10	9	-	-													
Colo.	210	242	140	157	-	-	-	-													
N. Mex.	221	119	107	89	31	34	-	-													
Ariz.	362	417	279	150	-	-	N	N													
Utah	39	61	31	3	-	-	4	-													
Nev.	47	70	-	-	1	2	-	-													
PACIFIC	2,913	2,461	540	84	-	4	-	-													
Wash.	174	209	65	-	-	-	N	N													
Oreg.	116	112	N	N	N	N	N	N													
Calif.	2,553	2,076	378	-	N	N	N	N													
Alaska	6	7	-	-	-	-	N	N													
Hawaii	64	57	97	84	-	4	-	-													
Guam	-	49	-	1	-	-	-	-													
P.R.	8	20	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	17	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


