
TABLE II. (Part 11)  Provisional cases of selected notifiable diseases, United States, week ending January 21, 2012 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2012
Varicella (chickenpox) cummulative for 2011
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2012
West Nile virus disease † Neuroinvasive cummulative for 2011
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2012
West Nile virus disease † Non-neuroinvasive § cummulative for 2011

tab delimited data:
test
UNITED STATES	108	257	342	416	784	-	0	60	-	-	-	0	31	-	-						
NEW ENGLAND	3	21	50	11	84	-	0	3	-	-	-	0	1	-	-						
Conn.	-	5	16	-	15	-	0	2	-	-	-	0	1	-	-						
Maine	2	4	11	2	18	-	0	0	-	-	-	0	0	-	-						
Mass.	-	9	18	-	28	-	0	2	-	-	-	0	1	-	-						
N.H.	-	1	7	-	8	-	0	0	-	-	-	0	0	-	-						
R.I.	-	0	6	-	1	-	0	1	-	-	-	0	0	-	-						
Vt.	1	1	9	9	14	-	0	1	-	-	-	0	0	-	-						
MID. ATLANTIC	19	19	51	108	56	-	0	11	-	-	-	0	6	-	-						
N.J.	10	0	41	73	-	-	0	1	-	-	-	0	2	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	5	-	-	-	0	4	-	-						
N.Y. City	-	0	0	-	-	-	0	4	-	-	-	0	1	-	-						
Pa.	9	19	39	35	56	-	0	2	-	-	-	0	1	-	-						
E.N. CENTRAL	23	65	114	141	244	-	0	13	-	-	-	0	6	-	-						
Ill.	5	18	38	35	47	-	0	6	-	-	-	0	5	-	-						
Ind.	-	5	20	14	11	-	0	2	-	-	-	0	1	-	-						
Mich.	6	18	44	28	78	-	0	7	-	-	-	0	1	-	-						
Ohio	12	21	47	64	108	-	0	3	-	-	-	0	3	-	-						
Wis.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
W.N. CENTRAL	-	11	32	2	61	-	0	9	-	-	-	0	7	-	-						
Iowa	N	0	0	N	N	-	0	2	-	-	-	0	2	-	-						
Kans.	-	7	21	-	29	-	0	1	-	-	-	0	0	-	-						
Minn.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
Mo.	-	3	14	1	30	-	0	2	-	-	-	0	2	-	-						
Nebr.	-	0	2	-	-	-	0	4	-	-	-	0	3	-	-						
N. Dak.	-	0	7	-	1	-	0	1	-	-	-	0	1	-	-						
S. Dak.	-	1	6	1	1	-	0	0	-	-	-	0	1	-	-						
S. ATLANTIC	19	36	65	57	77	-	0	10	-	-	-	0	5	-	-						
Del.	-	0	2	-	1	-	0	1	-	-	-	0	0	-	-						
D.C.	-	0	2	-	2	-	0	3	-	-	-	0	3	-	-						
Fla.	17	17	38	45	42	-	0	5	-	-	-	0	2	-	-						
Ga.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
Md.	N	0	0	N	N	-	0	5	-	-	-	0	3	-	-						
N.C.	N	0	0	N	N	-	0	1	-	-	-	0	0	-	-						
S.C.	-	0	9	-	-	-	0	0	-	-	-	0	0	-	-						
Va.	2	9	26	12	16	-	0	2	-	-	-	0	0	-	-						
W. Va.	-	6	32	-	16	-	0	1	-	-	-	0	0	-	-						
E.S. CENTRAL	1	5	15	11	20	-	0	11	-	-	-	0	5	-	-						
Ala.	1	5	14	9	17	-	0	2	-	-	-	0	0	-	-						
Ky.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
Miss.	-	0	2	2	3	-	0	5	-	-	-	0	4	-	-						
Tenn.	N	0	0	N	N	-	0	3	-	-	-	0	1	-	-						
W.S. CENTRAL	30	53	136	53	70	-	0	4	-	-	-	0	3	-	-						
Ark.	-	5	26	1	6	-	0	1	-	-	-	0	0	-	-						
La.	-	2	6	-	4	-	0	1	-	-	-	0	2	-	-						
Okla.	N	0	0	N	N	-	0	1	-	-	-	0	0	-	-						
Tex.	30	46	131	52	60	-	0	3	-	-	-	0	3	-	-						
MOUNTAIN	13	23	68	33	153	-	0	11	-	-	-	0	5	-	-						
Ariz.	1	4	50	2	49	-	0	7	-	-	-	0	4	-	-						
Colo.	9	7	32	22	40	-	0	2	-	-	-	0	2	-	-						
Idaho	N	0	0	N	N	-	0	1	-	-	-	0	1	-	-						
Mont.	-	2	15	-	41	-	0	1	-	-	-	0	0	-	-						
Nev.	N	0	0	N	N	-	0	4	-	-	-	0	2	-	-						
N. Mex.	3	1	4	4	4	-	0	1	-	-	-	0	0	-	-						
Utah	-	3	26	4	19	-	0	1	-	-	-	0	1	-	-						
Wyo.	-	0	1	1	-	-	0	1	-	-	-	0	1	-	-						
PACIFIC	-	2	9	-	19	-	0	18	-	-	-	0	7	-	-						
Alaska	-	1	4	-	6	-	0	0	-	-	-	0	0	-	-						
Calif.	-	0	4	-	6	-	0	18	-	-	-	0	7	-	-						
Hawaii	-	1	4	-	7	-	0	0	-	-	-	0	0	-	-						
Oreg.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
Wash.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	2	4	-	1	-	0	0	-	-	-	0	0	-	-						
P.R.	-	3	10	-	12	-	0	0	-	-	-	0	0	-	-						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Zoonotic, 
Vector-Borne, and Enteric Diseases (ArboNet Surveillance). Data for California serogroup, eastern equine, 
Powassan, St. Louis, and western equine diseases are available in Table I.

§ Not reportable in all states.  Data from states where the condition is not reportable are excluded from this table, 
except starting in 2007 for the Arboviral diseases and influenza-associated pediatric mortality, and in 2003 for 
SARS-CoV.  Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


