
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending April 5, 2008 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	66	166	641	1,307	2,527	43	95	176	849	1,182	-	34	147	58	133						
NEW ENGLAND	-	19	45	32	404	3	9	22	65	117	-	0	1	-	1						
Conn.	-	0	5	-	19	-	4	10	37	51	-	0	0	-	-						
Maine	-	1	5	14	29	2	1	5	9	21	N	0	0	N	N						
Mass.	-	13	33	-	321	N	0	0	N	N	-	0	1	-	1						
N.H.	-	1	5	6	18	-	1	4	7	9	-	0	1	-	-						
R.I.	-	0	8	8	2	N	0	0	N	N	-	0	0	-	-						
Vt.	-	0	6	4	15	1	2	13	12	36	-	0	0	-	-						
MID. ATLANTIC	12	22	38	192	410	13	24	56	173	299	-	1	7	4	12						
N.J.	-	3	7	2	65	-	0	0	-	-	-	0	3	-	1						
N.Y. (Upstate)	4	8	24	63	201	13	9	20	87	91	-	0	1	-	-						
N.Y. City	-	2	7	15	44	-	0	5	5	18	-	0	3	1	6						
Pa.	8	7	22	112	100	-	11	44	81	190	-	0	3	3	5						
E.N. CENTRAL	14	23	186	428	493	-	2	39	1	5	-	1	4	2	4						
Ill.	-	2	8	13	62	N	0	0	N	N	-	1	3	1	2						
Ind.	-	0	12	12	3	-	0	1	-	-	-	0	2	-	-						
Mich.	1	3	16	38	100	-	1	28	-	4	-	0	1	-	1						
Ohio	13	11	176	365	219	-	1	11	1	1	-	0	2	1	1						
Wis.	-	0	16	-	109	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	8	12	134	121	179	-	4	13	15	43	-	5	37	11	15						
Iowa	-	2	8	20	49	-	0	3	2	5	-	0	4	-	1						
Kans.	4	2	5	17	49	-	1	7	-	26	-	0	2	-	3						
Minn.	-	0	131	-	35	-	0	6	9	3	-	0	4	-	-						
Mo.	1	2	16	67	19	-	0	3	-	2	-	5	29	11	11						
Nebr.	3	1	12	15	6	-	0	0	-	-	-	0	2	-	-						
N. Dak.	-	0	4	-	1	-	0	5	2	6	-	0	0	-	-						
S. Dak.	-	0	7	2	20	-	0	2	2	1	-	0	1	-	-						
S. ATLANTIC	4	14	52	137	277	26	41	63	517	611	-	14	111	27	70						
Del.	-	0	2	1	1	-	0	0	-	-	-	0	2	1	5						
D.C.	-	0	1	2	2	-	0	0	-	-	-	0	1	-	-						
Fla.	2	3	9	33	86	-	0	13	32	124	-	0	3	1	3						
Ga.	-	0	3	2	13	-	5	31	87	54	-	0	6	3	4						
Md.	-	2	5	19	45	12	9	18	110	93	-	1	6	7	10						
N.C.	1	4	38	40	69	14	9	19	121	121	-	4	96	11	36						
S.C.	1	1	22	18	25	-	0	11	-	33	-	0	7	-	4						
Va.	-	2	11	22	32	-	12	31	141	163	-	2	11	3	7						
W. Va.	-	0	12	-	4	-	0	11	26	23	-	0	3	1	1						
E.S. CENTRAL	3	6	35	52	73	1	3	7	31	34	-	5	16	6	27						
Ala.	-	1	6	15	22	-	0	0	-	-	-	1	10	3	10						
Ky.	-	0	4	6	3	1	0	3	5	6	-	0	2	-	-						
Miss.	-	3	32	20	14	-	0	1	1	-	-	0	3	1	1						
Tenn.	3	1	5	11	34	-	3	6	25	28	-	2	10	2	16						
W.S. CENTRAL	1	20	112	46	127	-	1	23	13	18	-	1	30	6	2						
Ark.	-	1	17	9	15	-	1	3	12	8	-	0	15	-	-						
La.	-	0	2	-	6	-	0	0	-	-	-	0	2	2	1						
Okla.	1	0	26	2	-	-	0	22	1	10	-	0	20	-	-						
Tex.	-	16	102	35	106	-	0	0	-	-	-	1	7	4	1						
MOUNTAIN	14	19	40	170	346	-	2	8	10	1	-	0	4	1	1						
Ariz.	-	2	10	15	106	N	0	0	N	N	-	0	1	-	-						
Colo.	1	5	14	28	88	-	0	0	-	-	-	0	2	-	-						
Idaho	1	0	4	7	11	-	0	4	-	-	-	0	1	-	1						
Mont.	7	1	11	53	11	-	0	3	-	-	-	0	1	-	-						
Nev.	-	0	6	2	8	-	0	2	-	-	-	0	0	-	-						
N. Mex.	-	1	7	2	13	-	0	2	8	-	-	0	1	1	-						
Utah	5	5	27	63	96	-	0	2	-	1	-	0	0	-	-						
Wyo.	-	0	2	-	13	-	0	4	2	-	-	0	2	-	-						
PACIFIC	10	16	243	129	218	-	4	10	24	54	-	0	2	1	1						
Alaska	1	1	6	19	9	-	0	3	9	24	N	0	0	N	N						
Calif.	-	8	32	23	151	-	3	8	15	30	-	0	2	1	1						
Hawaii	-	0	2	2	8	-	0	0	-	-	N	0	0	N	N						
Oreg.	1	2	14	29	18	-	0	3	-	-	-	0	1	-	-						
Wash.	8	3	209	56	32	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	-	-	-	0	5	8	15	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


