
TABLE I.  Provisional cases of infrequently reported notifiable diseases (<1,000 cases reported during the preceding year), United States, week ending November 12, 2011 (WEEK 45)*

column labels in same order that data fields appears in each record below:
Disease
Current week
Cummulative for 2011
5-year weekly average†
Total cases reported for year 2010
Total cases reported for year 2009
Total cases reported for year 2008
Total cases reported for year 2007
Total cases reported for year 2006
States reporting cases during current week (No.)

tab delimited data:
test
Anthrax	-	1	-	-	1	-	1	1		
Arboviral diseases §, ¶ :										
California serogroup virus disease	-	111	0	75	55	62	55	67		
Eastern equine encephalitis virus disease	-	3	-	10	4	4	4	8		
Powassan virus disease	-	14	0	8	6	2	7	1		
St. Louis encephalitis virus disease	-	3	0	10	12	13	9	10		
Western equine encephalitis virus disease	-	-	-	-	-	-	-	-		
Babesiosis	5	618	0	NN	NN	NN	NN	NN	NH (1 ), NY (3 ), AZ (1 )	
Botulism, total	1	102	2	112	118	145	144	165		
foodborne	-	8	0	7	10	17	32	20		
infant	1	66	1	80	83	109	85	97	PA (1 )	
other(wound & unspecified)	-	28	1	25	25	19	27	48		
Brucellosis	2	67	2	115	115	80	131	121	FL (2 )	
Chancroid	-	26	0	24	28	25	23	33		
Cholera	-	29	0	13	10	5	7	9		
Cyclosporiasis §	-	140	1	179	141	139	93	137		
Diphtheria	-	-	-	-	-	-	-	-		
Haemophilus influenzae **, invasive disease (age &lt;5 yrs):										
serotype b	-	6	0	23	35	30	22	29		
nonserotype b	-	90	3	200	236	244	199	175		
unknown serotype	4	201	4	223	178	163	180	179	NC (1 ), ID (1 ), AZ (1 ), HI (1 )	
Hansen disease §	-	40	2	98	103	80	101	66		
Hantavirus pulmonary syndrome §	-	19	0	20	20	18	32	40		
Hemolytic uremic syndrome, post-diarrheal §	3	159	5	266	242	330	292	288	OH (1 ), AR (1 ), CA (1 )	
Influenza-associated pediatric mortality §, ††	-	112	5	61	358	90	77	43		
Listeriosis	4	640	16	821	851	759	808	884	MD (1 ), NC (1 ), TX (1 ), WA (1 )	
Measles §§	-	204	0	63	71	140	43	55		
Meningococcal disease, invasive ¶¶ :										
A,C,Y, and W-135	1	163	5	280	301	330	325	318	AR (1 )	
serogroup B	-	86	3	135	174	188	167	193		
other serogroup	-	10	0	12	23	38	35	32		
unknown serogroup	4	328	9	406	482	616	550	651	ME (1 ), NY (1 ), OR (1 ), CA (1 )	
Novel influenza A infection virus ***	-	8	0	4	43,774	2	4	NN		
Plague	-	2	0	2	8	3	7	17		
Poliomyelitis, paralytic	-	-	-	-	1	-	-	-		
Polio virus infection, nonparalytic §	-	-	-	-	-	-	-	NN		
Psittacosis §	-	2	0	4	9	8	12	21		
Q fever total §:	1	93	2	131	113	120	171	169		
acute	1	70	1	106	93	106	-	-	NC (1 )	
chronic	-	23	0	25	20	14	-	-		
Rabies, human	-	2	0	2	4	2	1	3		
Rubella †††	-	4	0	5	3	16	12	11		
Rubella, congenital syndrome	-	-	-	-	2	-	-	1		
SARS CoV §	-	-	-	-	-	-	-	-		
Smallpox §	-	-	-	-	-	-	-	-		
Streptococcal toxic-shock syndrome §	-	95	1	142	161	157	132	125		
Syphilis, congenital (age &lt;1 yr) §§§	1	200	7	377	423	431	430	349	NY (1 )	
Tetanus	-	8	0	26	18	19	28	41		
Toxic-shock syndrome (staphylococcal) §	-	62	2	82	74	71	92	101		
Trichinellosis	-	9	0	7	13	39	5	15		
Tularemia	2	127	1	124	93	123	137	95	OK (2 )	
Typhoid fever	-	315	5	467	397	449	434	353		
Vancomycin-intermediate Staphylococcus aureus §	1	56	1	91	78	63	37	6	FL (1 )	
Vancomycin-resistant Staphylococcus aureus §	-	-	0	2	1	-	2	1		
Vibriosis (non-cholera Vibrio species infections) §	4	632	10	846	789	588	549	NN	FL (4 )	
Viral Hemorrhagic Fever ¶¶¶	-	-	-	1	NN	NN	NN	NN		
Yellow fever	-	-	-	-	-	-	-	-		

-: No reported cases
N: Not reportable
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.

* Case counts for reporting year 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf.

† Calculated by summing the incidence counts for the current week, the 2 weeks preceding the current week, and the 2 weeks 
following the current week, for a total of 5 preceding years.  The total sum of incident cases is then 
divided by 25 weeks. Additional information is available at 
http://wwwn.cdc.gov/nndss/document/5yearweeklyaverage.pdf.

§ Not reportable in all states.   Data from states where the condition is not reportable are 
excluded from this table except starting in 2007 for the Arboviral diseases, STD data, 
TB data, and influenza-associated pediatric mortality, and in 2003 for SARS-CoV.   Reporting 
exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.

¶ Includes both neuroinvasive and nonneuroinvasive. Updated weekly from reports to the Division of Vector-Borne Infectious 
Diseases, National Center for Zoonotic, Vector-Borne, and Enteric Diseases (ArboNET Surveillance). Data for 
West Nile virus are available in Table II.

** Data for H. influenzae (all ages, all serotypes) are available in Table II.

†† Updated weekly from reports to the Influenza Division, National Center for Immunization and Respiratory 
Diseases. Please refer to the MMWR publication for weekly updates to the footnote for this condition.

§§ Please refer to the MMWR publication for weekly updates to the footnote for this condition.

¶¶ Data for meningococcal disease (all serogroups) are available in Table II.

*** Please refer to the http://www.cdc.gov/mmwr/mmwr_wk/wk_cvol.html for weekly updates to the footnote for this condition.

††† Please refer to the MMWR publication for weekly updates to the footnote for this condition.

§§§ Updated weekly from reports to the Division of STD Prevention, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention.

¶¶¶ Please refer to the MMWR publication for weekly updates to the footnote for this condition. See Table II for Dengue Hemorrhagic Fever.


