
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending January 21, 2012 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	99	242	350	358	466	-	3	15	4	6	4	27	140	15	12						
NEW ENGLAND	-	5	21	-	12	-	0	1	-	-	-	0	1	-	-						
Conn.	-	0	4	-	2	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	8	-	1	-	0	0	-	-	-	0	1	-	-						
Mass.	-	3	20	-	8	-	0	0	-	-	-	0	1	-	-						
N.H.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
R.I.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	-						
Vt.	-	0	1	-	1	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	7	16	53	55	28	-	0	2	1	-	-	1	5	1	1						
N.J.	1	0	17	26	-	-	0	0	-	-	-	0	0	-	-						
N.Y. (Upstate)	3	5	33	6	5	-	0	1	-	-	-	0	2	-	-						
N.Y. City	3	7	28	19	15	-	0	0	-	-	-	0	3	-	1						
Pa.	-	2	13	4	8	-	0	2	1	-	-	0	3	1	-						
E.N. CENTRAL	18	14	40	77	47	-	0	2	1	-	-	2	10	-	2						
Ill.	-	4	16	-	16	-	0	1	-	-	-	1	4	-	1						
Ind.	-	0	4	-	4	-	0	1	1	-	-	0	4	-	-						
Mich.	1	3	11	10	9	-	0	1	-	-	-	0	1	-	-						
Ohio	17	5	27	67	18	-	0	2	-	-	-	0	2	-	1						
