
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending April 18, 2009 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	40	57	108	1,110	1,249	9	8	22	163	151	106	252	379	3,303	3,473						
NEW ENGLAND	-	1	48	20	22	-	0	5	1	2	8	5	15	99	86						
Conn.	-	0	48	-	-	-	0	5	-	-	2	1	5	23	4						
Maine	-	0	2	3	8	-	0	1	-	-	-	0	2	1	3						
Mass.	-	0	1	1	-	-	0	1	1	-	5	4	11	63	69						
N.H.	-	0	3	5	-	-	0	0	-	-	1	0	2	8	4						
R.I.	-	0	4	5	8	-	0	1	-	1	-	0	5	4	3						
Vt.	-	0	2	6	6	-	0	1	-	1	-	0	2	-	3						
MID. ATLANTIC	2	3	14	51	120	-	0	3	10	11	28	32	51	519	505						
N.J.	-	0	0	-	-	-	0	0	-	-	-	4	10	58	72						
N.Y. (Upstate)	1	1	8	21	23	-	0	2	6	3	2	2	8	28	34						
N.Y. City	-	1	5	2	48	-	0	0	-	-	22	23	37	349	307						
Pa.	1	1	10	28	49	-	0	1	4	8	4	5	11	84	92						
E.N. CENTRAL	8	10	28	195	280	2	1	6	30	32	-	20	34	237	344						
Ill.	N	0	0	N	N	N	0	0	N	N	-	5	14	39	135						
Ind.	-	2	19	31	101	-	0	3	6	12	-	2	10	42	40						
Mich.	-	0	3	10	8	-	0	1	-	1	-	4	18	67	55						
Ohio	8	7	18	154	171	2	1	4	24	19	-	6	24	73	97						
Wis.	-	0	0	-	-	-	0	0	-	-	-	1	4	16	17						
W.N. CENTRAL	-	2	8	41	93	-	0	2	11	6	2	7	14	82	129						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	8	5						
Kans.	-	1	4	13	41	-	0	2	8	2	1	0	3	4	8						
