
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 7, 2006 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Giardiasis current week
Giardiasis previous 52 weeks median 
Giardiasis previous 52 weeks maximum 
Giardiasis cummulative for 2006
Giardiasis cummulative for 2005
Gonorrhea current week
Gonorrhea previous 52 weeks median 
Gonorrhea previous 52 weeks maximum 
Gonorrhea cummulative for 2006
Gonorrhea cummulative for 2005
Haemophilus influenzae, invasive, All ages, all serotypes current week
Haemophilus influenzae, invasive, All ages, all serotypes previous 52 weeks median 
Haemophilus influenzae, invasive, All ages, all serotypes previous 52 weeks maximum 
Haemophilus influenzae, invasive, All ages, all serotypes cummulative for 2006
Haemophilus influenzae, invasive, All ages, all serotypes cummulative for 2005

tab delimited data:
test
UNITED STATES	89	312	571	89	178	1,561	6,197	7,347	1,561	5,561	15	37	67	15	49						
NEW ENGLAND	1	25	90	1	14	65	102	230	65	108	1	3	12	1	1						
Conn.	-	1	65	-	-	-	37	163	-	47	-	0	6	-	-						
Maine	-	4	12	-	1	-	2	7	-	1	-	0	1	-	-						
Mass.	1	12	33	1	13	43	49	86	43	46	1	2	5	1	1						
N.H.	-	1	7	-	-	3	4	7	3	2	-	0	3	-	-						
R.I.	-	0	19	-	-	19	8	25	19	10	-	0	2	-	-						
Vt.	-	3	11	-	-	-	1	4	-	2	-	0	2	-	-						
MID. ATLANTIC	9	64	121	9	45	136	651	966	136	476	4	8	16	4	17						
N.J.	-	7	17	-	13	-	110	168	-	113	-	2	5	-	4						
N.Y. (Upstate)	2	22	49	2	3	19	125	240	19	53	1	2	8	1	3						
N.Y. City	-	17	31	-	24	-	181	407	-	148	1	1	4	1	4						
Pa.	7	16	30	7	5	117	219	305	117	162	2	3	5	2	6						
E.N. CENTRAL	8	54	101	8	23	384	1,240	1,778	384	1,164	6	6	13	6	5						
Ill.	-	13	32	-	-	140	354	697	140	73	-	1	5	-	-						
Ind.	N	0	0	N	N	65	153	234	65	184	-	1	6	-	1						
Mich.	3	14	29	3	11	176	212	518	176	4	1	0	3	1	2						
Ohio	5	14	34	5	11	2	374	702	2	771	5	2	9	5	1						
Wis.	-	13	33	-	1	1	108	149	1	132	-	0	3	-	1						
W.N. CENTRAL	2	37	142	2	9	108	361	456	108	239	1	2	6	1	4						
Iowa	-	5	14	-	3	17	30	54	17	25	-	0	1	-	-						
Kans.	-	4	9	-	1	-	47	108	-	11	-	0	2	-	-						
Minn.	-	16	113	-	-	-	62	89	-	68	-	0	5	-	-						
Mo.	2	9	32	2	3	91	183	240	91	108	1	0	3	1	3						
Nebr.	-	1	7	-	2	-	21	40	-	22	-	0	1	-	1						
N. Dak.	-	0	3	-	-	-	2	5	-	1	-	0	2	-	-						
S. Dak.	-	2	7	-	-	-	6	15	-	4	-	0	0	-	-						
S. ATLANTIC	37	48	84	37	24	455	1,417	2,085	455	1,147	3	8	22	3	15						
Del.	-	1	3	-	-	37	17	40	37	11	-	0	0	-	-						
D.C.	-	1	6	-	-	-	41	68	-	48	-	0	0	-	-						
Fla.	12	18	40	12	9	221	387	491	221	313	3	2	12	3	5						
Ga.	20	11	24	20	11	-	262	586	-	68	-	2	7	-	5						
Md.	5	3	11	5	4	182	137	244	182	141	-	1	5	-	2						
N.C.	N	0	0	N	N	-	272	730	-	264	-	1	11	-	2						
S.C.	-	2	8	-	-	-	145	648	-	138	-	0	3	-	1						
Va.	-	10	26	-	-	-	144	266	-	152	-	1	4	-	-						
W. Va.	-	0	6	-	-	15	15	35	15	12	-	0	3	-	-						
E.S. CENTRAL	5	7	19	5	5	69	498	868	69	447	-	2	7	-	2						
Ala.	5	4	13	5	3	-	156	491	-	169	-	0	2	-	-						
Ky.	N	0	0	N	N	69	55	107	69	86	-	0	2	-	-						
Miss.	-	0	0	-	-	-	137	299	-	89	-	0	0	-	-						
Tenn.	-	3	11	-	2	-	168	285	-	103	-	1	5	-	2						
W.S. CENTRAL	-	5	23	-	-	50	817	1,195	50	1,114	-	2	7	-	1						
Ark.	-	1	5	-	-	-	85	188	-	76	-	0	2	-	-						
La.	-	1	5	-	-	17	160	461	17	216	-	0	4	-	1						
Okla.	-	3	16	-	-	33	81	372	33	139	-	1	5	-	-						
Tex.	N	0	0	N	N	-	484	843	-	683	-	0	1	-	-						
MOUNTAIN	1	25	56	1	11	74	217	300	74	250	-	4	19	-	2						
Ariz.	-	3	12	-	1	64	72	166	64	112	-	1	9	-	-						
Colo.	-	9	26	-	9	-	57	91	-	52	-	1	4	-	1						
Idaho	-	2	12	-	-	-	1	10	-	2	-	0	1	-	-						
Mont.	1	1	7	1	-	-	2	9	-	3	-	0	0	-	-						
Nev.	-	1	5	-	1	-	50	89	-	62	-	0	3	-	1						
N. Mex.	-	1	6	-	-	-	19	46	-	16	-	0	3	-	-						
Utah	-	7	28	-	-	4	14	22	4	2	-	0	2	-	-						
Wyo.	-	0	2	-	-	6	1	6	6	1	-	0	2	-	-						
PACIFIC	26	60	101	26	47	220	790	1,052	220	616	-	2	19	-	2						
Alaska	-	2	6	-	2	-	10	23	-	1	-	0	19	-	1						
Calif.	25	42	69	25	37	220	650	797	220	546	-	1	7	-	-						
Hawaii	-	1	6	-	3	-	19	36	-	15	-	0	2	-	-						
Oreg.	1	6	21	1	5	-	30	57	-	19	-	0	4	-	1						
Wash.	-	5	26	-	-	-	71	210	-	35	-	0	4	-	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	3	14	-	1	-	6	14	-	8	-	0	1	-	-						
V.I.	-	0	0	-	-	-	0	20	-	1	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


