
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 29, 2000 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2000
Gonorrhea cummulative for 1999
Hepatitis C/NA,NB cummulative for 2000
Hepatitis C/NA,NB cummulative for 1999
Legionellosis cummulative for 2000
Legionellosis cummulative for 1999
Lyme Disease cummulative for 2000
Lyme Disease cummulative for 1999

tab delimited data:
test
UNITED STATES	10,328	28,953	81	217	24	48	35	283													
NEW ENGLAND	376	543	-	1	2	3	13	30													
Maine	6	1	-	-	2	-	-	-													
N.H.	6	2	-	-	-	1	7	-													
Vt.	1	4	-	-	-	1	-	-													
Mass.	238	218	-	1	-	1	6	30													
R.I.	-	45	-	-	-	-	-	-													
Conn.	125	273	-	-	-	-	-	-													
MID. ATLANTIC	417	3,032	-	4	-	11	7	181													
Upstate N.Y.	134	208	-	-	-	-	6	6													
N.Y. City	-	1,353	-	-	-	4	-	9													
N.J.	21	645	-	-	-	2	-	75													
Pa.	262	826	-	4	-	5	1	91													
E.N. CENTRAL	2,683	5,337	24	142	8	20	-	9													
Ohio	207	1,325	-	-	7	5	-	4													
Ind.	168	506	-	-	-	1	-	-													
Ill.	700	1,576	1	-	-	3	-	-													
Mich.	1,239	1,418	23	47	1	7	-	-													
Wis.	369	512	-	95	-	4	U	5													
W.N. CENTRAL	508	1,459	6	15	1	-	-	3													
Minn.	89	247	-	-	-	-	-	-													
Iowa	13	25	-	-	-	-	-	-													
Mo.	309	843	6	15	1	-	-	1													
N. Dak.	-	6	-	-	-	-	-	1													
S. Dak.	8	20	-	-	-	-	-	-													
Nebr.	1	146	-	-	-	-	-	-													
Kans.	88	172	-	-	-	-	-	1													
S. ATLANTIC	3,346	8,957	3	18	7	4	11	45													
Del.	115	128	-	-	-	1	-	2													
Md.	146	1,512	-	15	5	-	9	35													
D.C.	159	236	-	-	-	-	-	1													
Va.	572	1,061	-	-	-	1	-	-													
W. Va.	-	65	-	1	N	N	-	-													
N.C.	1,308	1,619	3	1	1	2	2	7													
S.C.	110	1,371	-	1	1	-	-	-													
Ga.	209	1,233	-	-	-	-	-	-													
Fla.	727	1,732	-	-	-	-	-	-													
E.S. CENTRAL	638	2,325	24	10	-	3	-	8													
Ky.	242	298	1	-	-	2	-	-													
Tenn.	-	878	2	6	-	1	-	2													
Ala.	376	843	3	1	-	-	-	3													
Miss.	20	306	18	3	-	-	-	3													
W.S. CENTRAL	945	4,102	-	1	-	-	-	-													
Ark.	137	144	-	-	-	-	-	-													
La.	-	1,206	-	1	-	-	-	-													
Okla.	181	415	-	-	-	-	-	-													
Tex.	627	2,337	-	-	-	-	-	-													
MOUNTAIN	519	776	11	15	2	4	-	-													
Mont.	-	1	-	-	-	-	-	-													
Idaho	4	8	-	3	1	-	-	-													
Wyo.	4	2	9	6	-	-	-	-													
Colo.	227	94	-	1	-	1	-	-													
N. Mex.	1	104	1	5	-	1	-	-													
Ariz.	191	452	1	-	-	-	-	-													
Utah	42	13	-	-	1	2	-	-													
Nev.	50	102	-	-	-	-	-	-													
PACIFIC	896	2,422	13	11	4	3	4	7													
Wash.	198	185	1	1	-	-	-	-													
Oreg.	17	70	4	-	N	N	1	-													
Calif.	661	2,098	8	10	4	3	3	7													
Alaska	20	26	-	-	-	-	-	-													
Hawaii	-	43	-	-	-	-	N	N													
Guam	-	8	-	-	-	-	-	-													
P.R.	28	18	-	-	-	-	N	N													
V.I.	-	U	-	U	-	U	-	U													
Amer. Samoa	-	U	-	U	-	U	-	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


