
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 12, 2001 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2001
H. influenzae, Invasive cummulative for 2000
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2000
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2001
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2001
Measles (Rubeola), Total cummulative for 2001
Measles (Rubeola), Total cummulative for 2000

tab delimited data:
test
UNITED STATES	542	504	3,204	4,685	2,153	2,363	-	22	1	21	43	28									
NEW ENGLAND	17	42	147	120	35	38	-	3	-	1	4	-									
Maine	1	1	3	6	3	3	-	-	-	-	-	-									
N.H.	-	6	5	11	7	8	-	-	-	-	-	-									
Vt.	-	3	2	3	2	3	-	1	-	-	1	-									
Mass.	16	24	45	48	3	1	-	2	-	1	3	-									
R.I.	-	1	7	6	8	7	-	-	-	-	-	-									
Conn.	-	7	85	46	12	16	-	-	-	-	-	-									
MID. ATLANTIC	61	79	273	425	291	432	-	2	-	5	7	10									
Upstate N.Y.	25	29	88	87	52	41	-	1	-	4	5	-									
N.Y. City	21	26	121	181	168	205	-	-	-	-	-	10									
N.J.	14	19	46	67	44	80	-	-	-	1	1	-									
Pa.	1	5	18	90	27	106	-	1	-	-	1	-									
E.N. CENTRAL	64	81	372	625	268	253	-	-	1	10	10	3									
Ohio	28	26	96	121	48	37	-	-	1	3	3	2									
Ind.	19	8	36	18	11	20	-	-	-	4	4	-									
Ill.	10	29	95	258	24	38	-	-	-	3	3	-									
Mich.	3	6	132	189	185	148	-	-	-	-	-	1									
Wis.	4	12	13	39	-	10	-	-	-	-	-	-									
W.N. CENTRAL	23	17	157	316	74	94	-	4	-	-	4	-									
Minn.	11	7	12	44	10	7	-	2	-	-	2	-									
Iowa	1	-	17	35	9	14	-	-	-	-	-	-									
Mo.	8	7	42	171	37	50	-	2	-	-	2	-									
N. Dak.	-	1	-	-	-	2	-	-	-	-	-	-									
S. Dak.	-	-	1	-	1	-	-	-	-	-	-	-									
Nebr.	2	2	20	16	8	16	-	-	-	-	-	-									
Kans.	1	-	65	50	9	5	-	-	-	-	-	-									
S. ATLANTIC	179	118	676	446	457	376	-	3	-	1	4	-									
Del.	-	-	-	6	-	5	-	-	-	-	-	-									
Md.	44	29	104	52	55	49	-	2	-	1	3	-									
D.C.	-	-	18	-	3	-	-	-	-	-	-	-									
Va.	10	24	48	54	45	54	-	-	-	-	-	-									
W. Va.	4	2	2	35	11	2	-	-	-	-	-	-									
N.C.	22	10	46	82	84	109	-	-	-	-	-	-									
S.C.	4	3	23	14	6	3	-	-	-	-	-	-									
Ga.	45	35	246	57	114	54	-	1	-	-	1	-									
Fla.	50	15	189	146	139	100	-	-	-	-	-	-									
E.S. CENTRAL	38	23	115	200	131	159	-	-	-	-	-	-									
Ky.	1	9	13	20	15	31	-	-	-	-	-	-									
Tenn.	16	11	53	73	47	67	-	-	-	-	-	-									
Ala.	20	3	45	25	35	18	-	-	-	-	-	-									
Miss.	1	-	4	82	34	43	-	-	-	-	-	-									
W.S. CENTRAL	20	30	399	905	253	349	-	1	-	-	1	-									
Ark.	-	-	23	75	40	38	-	-	-	-	-	-									
La.	2	10	32	35	16	60	-	-	-	-	-	-									
Okla.	18	19	66	120	34	36	-	-	-	-	-	-									
Tex.	-	1	278	675	163	215	-	1	-	-	1	-									
MOUNTAIN	88	55	306	320	224	175	-	-	-	1	1	9									
Mont.	-	-	4	1	1	3	-	-	-	-	-	-									
Idaho	1	2	27	13	6	4	-	-	-	1	1	-									
Wyo.	4	-	15	3	16	-	U	-	U	-	-	-									
Colo.	20	11	29	67	47	32	-	-	-	-	-	2									
N. Mex.	12	13	10	35	59	54	-	-	-	-	-	-									
Ariz.	41	23	160	157	69	60	-	-	-	-	-	-									
Utah	3	4	27	19	10	5	-	-	-	-	-	3									
Nev.	7	2	34	25	16	17	-	-	-	-	-	4									
PACIFIC	52	59	759	1,328	420	487	-	9	-	3	12	6									
Wash.	1	3	27	112	38	24	-	-	-	-	-	3									
Oreg.	5	16	25	95	13	38	-	1	-	-	1	-									
Calif.	24	24	695	1,105	358	417	-	7	-	1	8	3									
Alaska	2	1	11	6	3	2	-	-	-	-	-	-									
Hawaii	20	15	1	10	8	6	-	1	-	2	3	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	2	41	138	28	91	-	-	-	-	-	-									
V.I.	-	-	-	-	-	-	U	-	U	-	-	-									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


