
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 30, 2002 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	1	3	2,727	70,054	85,694	392	422	3	7												
NEW ENGLAND	-	-	298	1,544	1,550	32	13	-	1												
Maine	-	-	39	16	42	1	1	-	-												
N.H.	-	-	14	32	32	4	-	-	-												
Vt.	-	-	24	25	23	3	-	-	-												
Mass.	-	-	138	931	685	16	12	-	1												
R.I.	-	-	18	231	180	-	-	-	-												
Conn.	-	-	65	309	588	8	-	-	-												
MID. ATLANTIC	-	-	461	6,123	9,030	49	64	1	-												
Upstate N.Y.	-	-	94	776	1,793	17	12	1	-												
N.Y. City	-	-	249	2,969	3,120	20	18	-	-												
N.J.	-	-	-	451	1,274	9	28	-	-												
Pa.	-	-	118	1,927	2,843	3	6	-	-												
E.N. CENTRAL	1	2	558	12,493	18,193	56	64	1	1												
Ohio	1	2	216	2,049	5,089	34	24	-	1												
Ind.	-	-	-	1,873	1,721	13	6	-	-												
Ill.	-	-	91	4,240	5,558	-	24	-	-												
Mich.	-	-	178	3,513	4,337	5	3	1	-												
Wis.	-	-	73	818	1,488	4	7	-	-												
W.N. CENTRAL	-	-	311	3,337	4,021	12	10	-	-												
Minn.	-	-	116	657	673	9	4	-	-												
Iowa	-	-	60	134	239	1	-	-	-												
Mo.	-	-	86	1,680	1,948	2	6	-	-												
N. Dak.	-	-	3	10	8	-	-	-	-												
S. Dak.	-	-	16	71	51	-	-	-	-												
Nebr.	-	-	-	118	357	-	-	-	-												
Kans.	-	-	30	667	745	-	-	-	-												
S. ATLANTIC	-	-	507	19,708	22,390	111	138	-	1												
Del.	-	-	11	389	410	-	-	-	-												
Md.	-	-	25	1,909	2,114	26	33	-	-												
D.C.	-	-	11	681	802	-	-	-	-												
Va.	-	-	16	2,556	2,386	7	9	-	-												
W. Va.	-	-	8	226	124	1	4	-	1												
N.C.	-	-	-	3,633	4,415	11	18	-	-												
S.C.	-	-	3	1,665	3,459	3	2	-	-												
Ga.	-	-	175	3,919	4,290	37	37	-	-												
Fla.	-	-	258	4,730	4,390	26	35	-	-												
E.S. CENTRAL	-	1	76	7,117	8,116	18	22	1	-												
Ky.	-	1	-	759	851	2	1	-	-												
Tenn.	-	-	32	2,214	2,521	10	10	-	-												
Ala.	-	-	44	2,725	2,764	5	10	1	-												
Miss.	-	-	-	1,419	1,980	1	1	-	-												
W.S. CENTRAL	-	-	14	11,293	13,095	19	10	-	1												
Ark.	-	-	14	873	1,307	1	-	-	-												
La.	-	-	-	2,857	3,014	-	2	-	-												
Okla.	-	-	-	936	1,195	18	7	-	-												
Tex.	-	-	-	6,627	7,579	-	1	-	1												
MOUNTAIN	-	-	284	2,346	2,557	54	66	-	2												
Mont.	-	-	15	32	20	-	-	-	-												
Idaho	-	-	8	26	24	1	1	-	-												
Wyo.	-	-	2	16	16	1	-	-	-												
Colo.	-	-	101	766	839	13	11	-	-												
N. Mex.	-	-	32	267	259	13	10	-	-												
Ariz.	-	-	46	694	911	18	36	-	1												
Utah	-	-	47	108	26	6	1	-	-												
Nev.	-	-	33	437	462	2	7	-	1												
PACIFIC	-	-	218	6,093	6,742	41	35	-	1												
Wash.	-	-	59	767	769	-	1	-	-												
Oreg.	-	-	110	239	317	25	4	-	-												
Calif.	-	-	-	4,814	5,410	6	16	-	1												
Alaska	-	-	20	152	79	1	1	-	-												
Hawaii	-	-	29	121	167	9	13	-	-												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	-	-	-	-	286	-	-	-	-												
V.I.	-	-	-	-	6	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	3	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


