
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 27, 2004 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	5,172	9,678	2,186	6,439	1,249	1,843	704	1,183	103	106											
NEW ENGLAND	236	255	50	74	52	147	3	28	3	1											
Maine	7	14	-	3	2	8	-	-	-	-											
N.H.	17	18	3	-	7	9	-	-	N	N											
Vt.	10	4	-	1	1	6	1	4	1	1											
Mass.	143	160	34	48	40	74	N	N	N	N											
R.I.	13	15	1	2	2	1	2	-	2	-											
Conn.	46	44	12	20	-	49	-	24	U	U											
MID. ATLANTIC	626	694	235	376	180	283	40	37	25	22											
Upstate N.Y.	147	104	106	48	67	90	18	19	18	15											
N.Y. City	181	220	63	99	23	40	U	U	U	U											
N.J.	107	131	38	96	28	69	N	N	N	N											
Pa.	191	239	28	133	62	84	22	18	7	7											
E.N. CENTRAL	742	798	196	334	206	404	164	127	39	57											
Ohio	204	224	44	64	75	92	129	84	28	33											
Ind.	75	52	40	24	16	27	35	43	8	5											
Ill.	188	293	62	161	17	110	-	-	-	-											
Mich.	145	114	28	54	90	111	N	N	N	N											
Wis.	130	115	22	31	8	64	N	N	3	19											
W.N. CENTRAL	315	319	69	164	100	106	66	75	8	14											
Minn.	68	84	11	21	48	42	-	-	7	11											
Iowa	68	74	11	7	N	N	N	N	N	N											
Mo.	93	81	24	60	18	24	3	3	1	1											
N. Dak.	8	5	1	3	3	5	-	3	-	2											
S. Dak.	13	17	1	8	7	12	1	-	-	-											
Nebr.	26	21	3	48	7	11	-	-	N	N											
Kans.	39	37	18	17	17	12	62	69	N	N											
S. ATLANTIC	1,286	5,431	705	3,658	327	431	356	844	3	3											
Del.	7	15	2	79	1	3	2	-	N	N											
Md.	92	132	25	139	63	73	-	1	-	-											
D.C.	8	5	11	12	2	3	-	-	3	-											
Va.	136	95	22	54	13	22	N	N	N	N											
W. Va.	26	8	-	-	8	5	27	15	-	3											
N.C.	162	245	111	161	33	28	N	N	U	U											
S.C.	73	82	79	48	18	6	21	51	N	N											
Ga.	241	180	130	316	128	60	134	166	N	N											
Fla.	541	4,669	325	2,849	61	231	172	611	N	N											
E.S. CENTRAL	295	337	134	197	59	42	44	27	2	-											
Ky.	49	62	21	34	23	7	10	2	N	N											
Tenn.	83	120	49	58	36	35	34	25	N	N											
Ala.	113	102	48	71	-	-	-	-	N	N											
Miss.	50	53	16	34	-	-	-	-	-	-											
W.S. CENTRAL	296	478	285	821	38	136	21	35	21	7											
Ark.	46	59	12	11	3	2	3	7	4	2											
La.	25	73	24	87	-	1	18	28	2	3											
Okla.	48	40	85	154	18	23	N	N	9	2											
Tex.	177	306	164	569	17	110	N	N	6	-											
MOUNTAIN	506	374	235	225	153	151	10	9	2	2											
Mont.	20	25	3	1	-	-	-	-	-	-											
Idaho	38	30	1	3	3	8	N	N	N	N											
Wyo.	9	4	1	1	4	-	4	-	-	-											
Colo.	113	106	38	34	46	44	-	-	-	-											
N. Mex.	30	31	31	39	21	42	5	9	-	-											
Ariz.	230	120	141	130	69	54	-	-	N	N											
Utah	45	33	10	7	10	3	-	-	2	2											
Nev.	21	25	10	10	-	-	1	-	-	-											
PACIFIC	870	992	277	590	134	143	-	1	-	-											
Wash.	58	71	13	36	10	-	-	-	N	N											
Oreg.	56	67	15	16	N	N	N	N	N	N											
Calif.	669	802	235	526	98	120	N	N	N	N											
Alaska	26	22	2	3	1	-	-	-	N	N											
Hawaii	61	30	12	9	25	23	-	1	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	24	99	1	2	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


