
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending March 11, 2006 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A current week
Hepatitis (Viral Acute), Type A previous 52 weeks median 
Hepatitis (Viral Acute), Type A previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A cummulative for 2006
Hepatitis (Viral Acute), Type A cummulative for 2005
Hepatitis (Viral Acute), Type B current week
Hepatitis (Viral Acute), Type B previous 52 weeks median 
Hepatitis (Viral Acute), Type B previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B cummulative for 2006
Hepatitis (Viral Acute), Type B cummulative for 2005
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2006
Legionellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	43	78	187	649	790	100	96	234	795	1,022	15	39	111	200	220						
NEW ENGLAND	3	7	23	47	89	-	5	12	37	54	-	2	11	8	9						
Conn.	2	1	3	7	13	-	0	5	-	15	-	0	8	4	2						
Maine	-	0	2	2	-	-	0	2	1	2	-	0	1	1	-						
Mass.	-	5	14	24	68	-	4	10	31	34	-	1	5	2	6						
N.H.	1	1	12	8	7	-	0	3	4	2	-	0	1	-	1						
R.I.	-	0	4	1	1	-	0	2	1	-	-	0	7	-	-						
Vt.	-	0	2	5	-	-	0	1	-	1	-	0	3	1	-						
MID. ATLANTIC	2	11	23	43	151	1	10	24	60	127	5	11	53	64	64						
N.J.	-	3	10	6	27	-	2	6	16	30	-	1	12	5	9						
N.Y. (Upstate)	2	1	20	10	21	1	1	13	6	16	2	3	28	21	15						
N.Y. City	-	5	12	15	74	-	2	7	10	29	-	2	20	9	3						
Pa.	-	1	6	12	29	-	4	9	28	52	3	5	17	29	37						
E.N. CENTRAL	8	6	18	48	82	3	10	25	51	110	4	6	24	28	55						
Ill.	-	1	9	2	33	-	2	7	-	30	-	0	2	-	9						
Ind.	1	1	10	3	5	-	0	11	1	5	-	0	5	1	4						
Mich.	3	2	11	26	19	1	3	7	29	38	-	2	6	9	13						
Ohio	4	1	4	16	16	2	2	8	19	32	4	3	19	18	24						
Wis.	-	1	5	1	9	-	0	6	2	5	-	0	2	-	5						
W.N. CENTRAL	1	2	31	25	23	-	4	13	16	49	-	1	12	5	9						
Iowa	-	0	2	-	4	-	0	2	1	2	-	0	1	-	-						
Kans.	-	0	5	17	4	-	0	3	3	6	-	0	1	-	1						
Minn.	1	0	31	1	-	-	0	6	1	-	-	0	10	-	1						
Mo.	-	0	4	4	13	-	3	7	11	33	-	0	3	4	6						
Nebr.	-	0	3	1	2	-	0	2	-	7	-	0	1	1	-						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	1						
S. Dak.	-	0	1	2	-	-	0	1	-	1	-	0	6	-	-						
S. ATLANTIC	8	13	33	113	112	38	23	53	197	303	3	9	19	54	48						
Del.	-	0	1	2	2	-	0	4	4	9	-	0	4	1	-						
D.C.	-	0	2	1	-	-	0	4	1	-	-	0	2	-	1						
Fla.	8	5	18	47	39	13	9	21	83	101	2	2	6	22	15						
Ga.	-	1	6	8	21	1	2	7	12	58	-	1	3	3	4						
Md.	-	2	6	17	10	1	2	8	36	40	-	2	9	15	15						
N.C.	-	0	20	31	22	23	0	19	42	34	-	0	3	7	6						
S.C.	-	1	3	5	4	-	3	9	11	22	1	0	2	1	-						
Va.	-	1	11	2	14	-	2	14	4	36	-	1	8	4	4						
W. Va.	-	0	2	-	-	-	0	11	4	3	-	0	3	1	3						
E.S. CENTRAL	1	3	16	19	34	-	7	20	37	75	1	1	6	5	3						
Ala.	1	0	6	1	4	-	1	7	11	18	-	0	2	1	3						
Ky.	-	0	3	9	3	-	1	5	11	22	-	0	4	-	-						
Miss.	-	0	2	-	6	-	1	4	4	10	-	0	1	-	-						
Tenn.	-	2	13	9	21	-	2	12	11	25	1	1	4	4	-						
W.S. CENTRAL	-	7	25	27	58	30	12	69	137	84	-	0	5	2	2						
Ark.	-	0	3	-	2	-	1	3	2	13	-	0	1	-	1						
La.	-	1	5	1	16	-	1	5	5	16	-	0	2	2	-						
Okla.	-	0	2	4	1	-	0	5	-	6	-	0	3	-	-						
Tex.	-	6	22	22	39	30	9	67	130	49	-	0	5	-	1						
MOUNTAIN	2	6	21	61	73	27	11	58	193	96	-	2	6	6	14						
Ariz.	2	3	20	38	43	27	5	55	175	59	-	0	3	-	3						
Colo.	-	1	5	12	7	-	1	6	7	10	-	0	3	1	3						
Idaho	-	0	3	1	5	-	0	2	2	3	-	0	2	-	-						
Mont.	-	0	1	1	6	-	0	7	-	-	-	0	1	-	-						
Nev.	-	0	2	3	2	-	1	4	6	9	-	0	2	3	3						
N. Mex.	-	0	3	3	4	-	0	3	1	6	-	0	1	-	1						
Utah	-	0	3	3	5	-	0	5	2	9	-	0	2	2	2						
Wyo.	-	0	0	-	1	-	0	1	-	-	-	0	1	-	2						
PACIFIC	18	15	148	266	168	1	10	54	67	124	2	1	10	28	16						
Alaska	-	0	2	-	1	-	0	2	-	-	-	0	1	-	-						
Calif.	18	13	147	249	141	1	6	39	51	87	2	1	10	28	16						
Hawaii	-	0	2	5	4	-	0	1	-	1	-	0	1	-	-						
Oreg.	-	1	5	6	10	-	2	6	10	27	N	0	0	N	N						
Wash.	-	1	11	6	12	-	1	11	6	9	-	0	0	-	-						
Amer. Samoa	U	0	1	U	-	U	0	0	U	-	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	1	6	3	9	-	1	6	2	2	-	0	0	-	-						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

