
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending May 11, 2002 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	107	51	3	7	2	-	8,596	9,924													
NEW ENGLAND	-	-	-	-	-	-	515	723													
Maine	-	-	-	-	-	-	53	83													
N.H.	-	-	-	-	-	-	30	46													
Vt.	-	-	-	-	-	-	21	29													
Mass.	-	-	-	-	-	-	274	406													
R.I.	-	-	-	-	-	-	25	32													
Conn.	-	-	-	-	-	-	112	127													
MID. ATLANTIC	8	1	-	3	-	-	1,058	1,547													
Upstate N.Y.	2	-	-	1	-	-	342	278													
N.Y. City	-	-	-	2	-	-	411	347													
N.J.	-	-	-	-	-	-	82	553													
Pa.	6	1	-	-	-	-	223	369													
E.N. CENTRAL	3	3	-	1	-	-	1,434	1,343													
Ohio	3	-	-	-	-	-	421	419													
Ind.	-	-	-	-	-	-	116	113													
Ill.	-	3	-	1	-	-	433	354													
Mich.	-	-	-	-	-	-	295	227													
Wis.	-	-	-	-	-	-	169	230													
W.N. CENTRAL	13	12	-	1	-	-	700	534													
Minn.	-	-	-	-	-	-	156	169													
Iowa	-	1	-	1	-	-	112	81													
Mo.	13	11	-	-	-	-	269	132													
N. Dak.	-	-	-	-	-	-	9	1													
S. Dak.	-	-	-	-	-	-	26	29													
Nebr.	-	-	-	-	-	-	45	43													
Kans.	-	-	-	-	-	-	83	79													
S. ATLANTIC	72	22	1	1	-	-	2,222	2,075													
Del.	-	-	-	-	-	-	14	23													
Md.	11	3	1	-	-	-	198	208													
D.C.	-	-	-	-	-	-	26	24													
Va.	1	-	-	-	-	-	224	340													
W. Va.	-	-	-	-	-	-	25	22													
N.C.	39	11	-	-	-	-	274	346													
S.C.	11	4	-	-	-	-	118	236													
Ga.	9	1	-	-	-	-	542	330													
Fla.	1	3	-	1	-	-	801	546													
E.S. CENTRAL	10	7	-	-	1	-	482	489													
Ky.	-	-	-	-	-	-	87	87													
Tenn.	8	5	-	-	1	-	149	127													
Ala.	2	1	-	-	-	-	160	163													
Miss.	-	1	-	-	-	-	86	112													
W.S. CENTRAL	-	3	1	-	-	-	186	1,260													
Ark.	-	1	-	-	-	-	49	100													
La.	-	1	-	-	-	-	49	438													
Okla.	-	1	-	-	-	-	86	54													
Tex.	-	-	1	-	-	-	2	668													
MOUNTAIN	1	3	-	-	-	-	627	588													
Mont.	-	-	-	-	-	-	31	25													
Idaho	-	1	-	-	-	-	43	27													
Wyo.	-	1	-	-	-	-	17	24													
Colo.	-	-	-	-	-	-	174	178													
N. Mex.	-	-	-	-	-	-	85	71													
Ariz.	-	-	-	-	-	-	166	164													
Utah	-	1	-	-	-	-	50	62													
Nev.	1	-	-	-	-	-	61	37													
PACIFIC	-	-	1	1	1	-	1,372	1,365													
Wash.	-	-	-	-	-	-	102	128													
Oreg.	-	-	-	-	-	-	119	84													
Calif.	-	-	1	-	-	-	1,065	1,024													
Alaska	-	-	-	-	-	-	21	15													
Hawaii	-	-	-	1	1	-	65	114													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	52	262													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	14	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


