
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending May 5, 2012 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	6	10	93	61	42	6	26	137	89	95	3	2	11	10	14						
NEW ENGLAND	-	0	1	3	1	3	4	28	33	33	-	0	1	-	-						
Conn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	1	-	-	1	0	3	9	1	-	0	0	-	-						
Mass.	-	0	0	-	-	-	1	18	-	11	-	0	0	-	-						
N.H.	-	0	1	-	-	-	0	5	7	1	-	0	1	-	-						
R.I.	-	0	1	3	1	2	0	15	16	20	-	0	1	-	-						
Vt.	-	0	0	-	-	-	0	1	1	-	-	0	0	-	-						
MID. ATLANTIC	2	1	5	6	3	3	7	52	43	6	1	0	2	2	1						
N.J.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N.Y. (Upstate)	2	0	4	5	1	3	4	52	37	3	1	0	2	2	1						
N.Y. City	-	0	2	1	2	-	1	5	6	3	-	0	0	-	-						
Pa.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
E.N. CENTRAL	-	0	5	-	5	-	7	62	3	32	-	1	6	2	8						
Ill.	-	0	4	-	3	-	0	2	3	-	-	0	0	-	2						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	4	-	3						
Mich.	-	0	2	-	-	-	0	0	-	-	-	0	2	2	1						
Ohio	-	0	1	-	1	-	0	1	-	-	-	0	1	-	-						
Wis.	-	0	1	-	1	-	7	61	-	32	-	0	4	-	2						
W.N. CENTRAL	4	2	17	13	6	-	3	41	-	12	-	0	6	-	1						
