
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 8, 2003 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2003
AIDS § cummulative for 2002
Chlamydia† cummulative for 2003
Chlamydia† cummulative for 2002
Coccidioidomycosis cummulative for 2003
Coccidioidomycosis cummulative for 2002
Cryptosporidiosis cummulative for 2003
Cryptosporidiosis cummulative for 2002
Encephalitis/Meningitis West Nile cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2002

tab delimited data:
test
UNITED STATES	-	3,372	66,602	84,106	408	201	117	239	-	-											
NEW ENGLAND	-	111	2,359	2,969	-	-	9	7	-	-											
Maine	-	1	138	154	N	N	1	-	-	-											
N.H.	-	2	182	185	-	-	-	2	-	-											
Vt.	-	3	127	81	-	-	1	-	-	-											
Mass.	-	76	771	1,140	-	-	5	2	-	-											
R.I.	-	5	269	313	-	-	1	3	-	-											
Conn.	-	24	872	1,096	-	-	1	-	-	-											
MID. ATLANTIC	-	835	4,788	8,891	-	-	28	20	-	-											
Upstate N.Y.	-	46	1,203	866	-	-	4	1	-	-											
N.Y. City	-	587	419	3,402	-	-	22	13	-	-											
N.J.	-	145	1,187	1,450	-	-	1	1	-	-											
Pa.	-	57	1,979	3,173	N	N	1	5	-	-											
E.N. CENTRAL	-	370	14,020	15,845	1	2	16	74	-	-											
Ohio	-	103	5,495	4,406	-	-	7	14	-	-											
Ind.	-	52	1,571	1,757	N	N	1	7	-	-											
Ill.	-	176	2,502	4,566	-	-	2	17	-	-											
Mich.	-	31	3,171	3,183	1	2	5	10	-	-											
Wis.	-	8	1,281	1,933	-	-	1	26	-	-											
W.N. CENTRAL	-	48	2,817	4,750	-	-	14	13	-	-											
Minn.	-	9	161	1,265	-	-	6	5	-	-											
Iowa	-	15	174	327	N	N	3	1	-	-											
Mo.	-	22	1,282	1,636	-	-	2	3	-	-											
N. Dak.	-	-	19	112	N	N	-	-	-	-											
S. Dak.	-	-	220	241	-	-	3	-	-	-											
Nebr.	-	-	114	346	-	-	-	2	-	-											
Kans.	-	2	847	823	N	N	-	2	-	-											
S. ATLANTIC	-	1,093	13,696	15,071	-	-	24	54	-	-											
Del.	-	21	333	279	N	N	1	-	-	-											
Md.	-	140	1,829	1,570	-	-	5	-	-	-											
D.C.	-	19	394	397	-	-	-	1	-	-											
Va.	-	107	1,426	1,574	-	-	-	-	-	-											
W. Va.	-	6	272	274	N	N	-	-	-	-											
N.C.	-	45	2,120	2,447	-	-	3	7	-	-											
S.C.	-	102	796	1,617	-	-	1	-	-	-											
Ga.	-	375	2,741	2,512	-	-	11	38	-	-											
Fla.	-	278	3,785	4,401	N	N	3	8	-	-											
E.S. CENTRAL	-	136	5,577	5,848	-	-	7	8	-	-											
Ky.	-	16	857	987	-	-	-	1	-	-											
Tenn.	-	66	1,617	1,978	-	-	3	1	-	-											
Ala.	-	20	1,736	1,854	-	-	4	5	-	-											
Miss.	-	34	1,367	1,029	N	N	-	1	-	-											
W.S. CENTRAL	-	379	10,673	12,086	-	-	2	7	-	-											
Ark.	-	15	657	834	-	-	1	2	-	-											
La.	-	65	1,718	2,044	N	N	-	1	-	-											
Okla.	-	7	825	991	N	N	1	1	-	-											
Tex.	-	292	7,473	8,217	-	-	-	3	-	-											
MOUNTAIN	-	106	3,500	5,232	349	120	8	6	-	-											
Mont.	-	3	238	289	-	-	-	-	-	-											
Idaho	-	1	174	153	-	-	5	2	-	-											
Wyo.	-	1	140	79	-	-	-	-	-	-											
Colo.	-	20	736	1,550	N	N	2	1	-	-											
N. Mex.	-	6	43	840	-	1	-	-	-	-											
Ariz.	-	39	1,663	1,603	347	113	1	-	-	-											
Utah	-	7	186	51	1	2	-	2	-	-											
Nev.	-	29	320	667	1	4	-	1	-	-											
PACIFIC	-	294	9,172	13,414	58	79	9	50	-	-											
Wash.	-	1	1,654	1,454	N	N	-	U	-	-											
Oreg.	-	75	495	624	-	-	2	6	-	-											
Calif.	-	215	6,168	10,533	58	79	7	34	-	-											
Alaska	-	-	367	335	-	-	-	-	-	-											
Hawaii	-	3	488	468	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	68	103	194	N	N	-	-	-	-											
V.I.	-	33	-	26	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


