
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending September 1, 2007 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
Giardiasis current week
Giardiasis previous 52 weeks median 
Giardiasis previous 52 weeks maximum 
Giardiasis cummulative for 2007
Giardiasis cummulative for 2006
Gonorrhea current week
Gonorrhea previous 52 weeks median 
Gonorrhea previous 52 weeks maximum 
Gonorrhea cummulative for 2007
Gonorrhea cummulative for 2006
Haemophilus influenzae, invasive, All ages, all serotypes† current week
Haemophilus influenzae, invasive, All ages, all serotypes† previous 52 weeks median 
Haemophilus influenzae, invasive, All ages, all serotypes† previous 52 weeks maximum 
Haemophilus influenzae, invasive, All ages, all serotypes† cummulative for 2007
Haemophilus influenzae, invasive, All ages, all serotypes† cummulative for 2006

tab delimited data:
test
UNITED STATES	270	299	1,514	9,744	11,179	3,625	6,702	8,941	219,571	235,791	12	45	184	1,522	1,568						
NEW ENGLAND	7	24	67	767	887	132	113	259	3,716	3,673	-	3	19	119	123						
Conn.	-	5	25	199	183	63	45	204	1,404	1,443	-	0	6	31	37						
Maine	3	4	12	112	103	3	2	8	91	86	-	0	2	8	15						
Mass.	1	9	24	322	414	50	51	96	1,792	1,636	-	2	6	58	52						
N.H.	-	0	3	13	20	2	3	8	106	136	-	0	2	13	8						
R.I.	1	0	14	32	67	13	9	18	284	323	-	0	10	7	4						
Vt.	2	3	12	89	100	1	1	5	39	49	-	0	1	2	7						
MID. ATLANTIC	33	56	127	1,736	2,226	288	717	1,537	24,502	21,961	2	10	27	324	326						
N.J.	-	6	15	142	336	-	114	159	3,708	3,530	-	1	5	46	57						
N.Y. (Upstate)	32	24	108	675	747	181	112	1,035	4,195	4,069	2	3	15	93	101						
N.Y. City	1	16	32	514	635	107	192	376	6,643	6,795	-	2	6	63	60						
Pa.	-	14	34	405	508	-	246	613	9,956	7,567	-	3	10	122	108						
E.N. CENTRAL	42	44	99	1,327	1,785	524	1,242	2,618	44,049	46,372	5	6	15	194	263						
Ill.	-	10	21	286	465	141	357	508	11,544	13,503	-	1	6	46	81						
Ind.	N	0	0	N	N	146	161	306	5,820	5,965	1	1	10	43	51						
Mich.	5	13	38	374	446	128	302	880	9,809	8,875	-	0	5	20	22						
Ohio	37	15	32	497	504	45	307	1,568	12,483	13,399	4	2	5	76	58						
Wis.	-	7	20	170	370	64	131	181	4,393	4,630	-	0	4	9	51						
