
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending May 4, 2002 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 2002
Legionellosis cummulative for 2001
Listeriosis cummulative for 2002
Listeriosis cummulative for 2001
Lyme Disease cummulative for 2002
Lyme Disease cummulative for 2001
Malaria cummulative for 2002
Malaria cummulative for 2001
Measles Total cummulative for 2002
Measles Total cummulative for 2001

tab delimited data:
test
UNITED STATES	201	275	115	162	1,398	1,556	317	396	8	63											
NEW ENGLAND	7	8	13	14	58	275	20	30	-	5											
Maine	1	-	2	-	-	-	1	2	-	-											
N.H.	1	2	2	-	17	2	4	2	-	-											
Vt.	-	3	-	-	1	1	1	-	-	1											
Mass.	3	2	6	8	33	103	8	13	-	3											
R.I.	-	-	1	-	7	-	1	1	-	-											
Conn.	2	1	2	6	-	169	5	12	-	1											
MID. ATLANTIC	43	64	17	31	1,124	962	73	104	4	8											
Upstate N.Y.	15	14	9	9	787	232	13	15	-	4											
N.Y. City	10	5	4	7	48	25	48	53	4	1											
N.J.	1	9	-	11	54	208	6	24	-	1											
Pa.	17	36	4	4	235	497	6	12	-	2											
E.N. CENTRAL	59	73	18	22	12	70	39	56	-	6											
Ohio	31	32	9	3	10	5	9	7	-	2											
Ind.	3	3	1	2	2	1	1	8	-	4											
Ill.	-	10	-	7	-	7	7	19	-	-											
Mich.	19	15	6	8	-	-	18	15	-	-											
Wis.	6	13	2	2	U	57	4	7	-	-											
W.N. CENTRAL	14	17	4	2	18	27	24	9	-	4											
Minn.	1	1	-	-	12	16	9	1	-	2											
Iowa	2	4	1	-	3	3	2	1	-	-											
Mo.	6	8	1	1	3	6	5	4	-	2											
N. Dak.	-	-	1	-	-	-	1	-	-	-											
S. Dak.	1	-	-	-	-	-	-	-	-	-											
Nebr.	4	3	-	-	-	-	3	1	-	-											
Kans.	-	1	1	1	-	2	4	2	-	-											
S. ATLANTIC	41	35	15	23	140	150	93	91	1	4											
Del.	3	-	-	-	16	16	1	1	-	-											
Md.	4	7	3	2	73	97	24	32	-	3											
D.C.	-	1	-	-	6	7	2	4	-	-											
Va.	2	6	1	4	6	22	7	15	-	-											
W. Va.	N	N	-	2	-	1	1	-	-	-											
N.C.	3	4	2	-	18	4	7	1	-	-											
S.C.	4	1	2	2	1	1	2	3	-	-											
Ga.	5	3	3	6	-	-	33	20	-	1											
Fla.	20	13	4	7	20	2	16	15	1	-											
E.S. CENTRAL	5	26	8	7	6	3	5	10	-	-											
Ky.	3	6	2	1	2	2	1	2	-	-											
Tenn.	-	9	3	3	1	1	1	4	-	-											
Ala.	2	7	3	3	3	-	2	3	-	-											
Miss.	-	4	-	-	-	-	1	1	-	-											
W.S. CENTRAL	2	6	3	15	2	38	2	4	-	1											
Ark.	-	-	-	1	-	-	-	1	-	-											
La.	-	3	-	-	1	2	2	1	-	-											
Okla.	2	1	3	-	-	-	-	1	-	-											
Tex.	-	2	-	14	1	36	-	1	-	1											
MOUNTAIN	16	16	11	12	8	2	13	19	-	1											
Mont.	1	-	-	-	-	-	-	2	-	-											
Idaho	-	-	-	-	1	1	-	2	-	1											
Wyo.	3	1	-	1	-	-	-	-	-	-											
Colo.	4	6	2	1	2	-	6	9	-	-											
N. Mex.	1	1	-	3	1	-	-	1	-	-											
Ariz.	3	5	7	2	1	-	2	1	-	-											
Utah	4	1	2	1	2	-	2	2	-	-											
Nev.	-	2	-	4	1	1	3	2	-	-											
PACIFIC	14	30	26	36	30	29	48	73	3	34											
Wash.	1	6	3	2	-	1	4	2	-	15											
Oreg.	N	N	2	4	1	3	2	6	-	3											
Calif.	13	20	21	30	29	25	39	59	3	12											
Alaska	-	1	-	-	-	-	1	1	-	-											
Hawaii	-	3	-	-	N	N	2	5	-	4											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	2	-	-	N	N	-	3	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


