
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending February 24, 2007 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	62	84	213	593	908	27	23	74	192	185											
NEW ENGLAND	1	2	15	11	36	-	1	4	6	8											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	2	2	3	-	0	2	-	-											
Mass.	-	1	5	-	27	-	0	4	-	7											
N.H.	1	0	9	3	5	-	0	4	2	1											
R.I.	-	0	4	-	-	-	0	3	3	-											
Vt.	-	0	2	6	1	-	0	1	1	-											
MID. ATLANTIC	10	14	40	93	174	3	3	16	23	26											
N.J.	-	2	8	6	41	-	1	4	-	9											
N.Y. (Upstate)	4	5	24	34	29	3	2	13	23	15											
N.Y. City	1	3	8	13	37	-	0	2	-	2											
Pa.	5	6	13	40	67	N	0	0	N	N											
E.N. CENTRAL	14	14	45	105	205	5	6	14	36	55											
Ill.	-	4	12	15	78	-	1	6	4	12											
Ind.	-	2	9	12	23	-	0	10	4	6											
Mich.	3	3	11	18	43	1	1	5	14	17											
Ohio	11	4	19	60	45	4	1	7	13	12											
Wis.	-	1	4	-	16	-	0	2	1	8											
W.N. CENTRAL	7	5	57	41	36	1	2	10	11	7											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	1	1	3	10	18	-	0	3	2	4											
Minn.	-	0	52	-	-	-	1	7	-	-											
Mo.	5	2	5	26	10	-	0	2	6	2											
Nebr.	-	0	2	1	7	1	0	2	2	1											
N. Dak.	1	0	2	2	1	-	0	1	1	-											
S. Dak.	-	0	2	2	-	-	0	0	-	-											
S. ATLANTIC	17	21	45	158	212	8	1	9	43	13											
Del.	-	0	2	-	1	-	0	0	-	-											
D.C.	-	0	2	1	4	-	0	1	-	-											
Fla.	7	5	16	37	54	2	0	2	8	-											
Ga.	5	5	12	51	55	1	0	3	12	-											
Md.	4	4	12	29	39	5	1	5	18	9											
N.C.	-	0	26	14	21	-	0	0	-	-											
S.C.	-	1	6	8	17	-	0	2	4	-											
Va.	1	2	9	15	15	-	0	1	1	-											
W. Va.	-	0	6	3	6	-	0	2	-	4											
E.S. CENTRAL	1	4	11	30	40	1	0	6	13	5											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	0	5	8	8	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	1	-	5											
Tenn.	1	3	9	22	32	1	0	6	13	-											
W.S. CENTRAL	2	6	36	35	63	3	4	36	24	29											
Ark.	-	0	5	4	1	-	0	2	3	6											
La.	-	0	2	2	1	-	0	1	2	-											
Okla.	2	2	6	18	27	3	1	12	11	12											
Tex.	-	4	32	11	34	-	2	21	8	11											
MOUNTAIN	10	11	42	105	123	5	4	12	31	42											
Ariz.	2	5	34	45	69	3	2	9	20	25											
Colo.	4	3	7	28	25	2	1	4	9	11											
Idaho	1	0	1	3	2	-	0	1	-	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	3	3	-	-	0	0	-	-											
N. Mex.	2	1	5	8	11	-	0	2	2	5											
Utah	1	1	5	17	15	-	0	0	-	-											
Wyo.	-	0	1	1	1	-	0	0	-	-											
PACIFIC	-	2	9	15	19	1	0	2	5	-											
Alaska	-	0	2	5	N	1	0	2	5	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	10	19	-	0	1	-	-											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


