
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 16, 2005 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	19,905	478,273	488,068	2,307	2,903	1,083	1,368													
NEW ENGLAND	778	722	16,836	16,337	-	-	62	80													
Maine	11	14	1,136	1,046	N	N	9	13													
N.H.	20	26	959	896	-	-	8	16													
Vt.	4	13	517	612	-	-	14	9													
Mass.	368	231	7,594	7,185	-	-	21	31													
R.I.	68	70	1,747	1,790	-	-	2	2													
Conn.	307	368	4,883	4,808	N	N	8	9													
MID. ATLANTIC	4,352	4,402	59,747	60,284	-	-	146	217													
Upstate N.Y.	800	604	11,753	11,715	N	N	42	45													
N.Y. City	2,327	2,317	19,399	18,733	-	-	31	65													
N.J.	574	785	8,955	9,581	N	N	8	18													
Pa.	651	696	19,640	20,255	N	N	65	89													
E.N. CENTRAL	1,938	1,679	74,672	85,496	5	5	233	364													
Ohio	312	226	19,662	21,362	N	N	79	75													
Ind.	236	209	10,666	9,610	N	N	16	39													
Ill.	983	833	21,585	24,667	-	-	18	59													
Mich.	322	322	12,778	19,903	5	5	32	66													
Wis.	85	89	9,981	9,954	N	N	88	125													
W.N. CENTRAL	463	390	28,289	29,692	3	5	171	177													
Minn.	123	92	4,424	6,264	3	N	44	61													
Iowa	50	26	3,345	3,534	N	N	39	32													
Mo.	198	168	12,103	10,852	-	3	62	27													
N. Dak.	5	13	582	1,014	N	N	-	8													
S. Dak.	10	6	1,408	1,294	-	-	12	23													
Nebr.	18	21	3,009	2,815	-	2	1	14													
Kans.	59	64	3,418	3,919	N	N	13	12													
S. ATLANTIC	6,473	6,022	90,687	91,830	-	-	225	231													
Del.	100	80	1,729	1,514	N	N	-	-													
Md.	812	686	9,692	10,009	-	-	14	10													
D.C.	467	355	1,970	1,910	-	-	2	7													
Va.	307	329	10,550	11,732	-	-	14	24													
W. Va.	36	30	1,350	1,493	N	N	4	3													
N.C.	531	333	17,485	15,198	N	N	26	40													
S.C.	386	374	10,433	9,891	-	-	8	11													
Ga.	1,103	883	14,518	17,335	-	-	51	69													
Fla.	2,731	2,952	22,960	22,748	N	N	106	67													
E.S. CENTRAL	1,093	946	34,504	31,355	-	3	30	55													
Ky.	135	106	5,071	2,993	N	N	10	19													
Tenn.	434	386	11,798	12,032	N	N	7	14													
Ala.	295	228	6,429	7,289	-	-	12	12													
Miss.	229	226	11,206	9,041	-	3	1	10													
W.S. CENTRAL	2,206	2,506	59,169	62,561	-	2	29	52													
Ark.	72	125	4,665	4,373	-	1	2	11													
La.	436	558	10,448	13,607	-	1	3	-													
Okla.	167	85	5,763	6,118	N	N	16	13													
Tex.	1,531	1,738	38,293	38,463	N	N	8	28													
MOUNTAIN	789	702	28,434	27,936	1,558	1,772	65	62													
Mont.	4	4	1,097	1,343	N	N	12	12													
Idaho	9	11	1,341	1,530	N	N	4	6													
Wyo.	2	6	568	578	2	-	2	2													
Colo.	163	134	7,440	7,131	N	N	22	25													
N. Mex.	72	104	2,338	4,602	3	14	2	4													
Ariz.	329	267	10,043	8,237	1,520	1,716	8	10													
Utah	33	31	2,285	1,838	2	8	7	2													
Nev.	177	145	3,322	2,677	31	34	8	1													
PACIFIC	2,313	2,536	85,935	82,577	741	1,116	122	130													
Wash.	229	212	10,327	9,298	N	N	9	-													
Oreg.	136	131	4,610	4,369	-	-	22	18													
Calif.	1,874	2,134	66,531	63,852	741	1,116	91	110													
Alaska	14	14	2,041	2,037	-	-	-	-													
Hawaii	60	45	2,426	3,021	-	-	-	2													
Guam	1	1	-	683	-	-	-	-													
P.R.	537	206	2,090	2,070	N	N	N	N													
V.I.	10	6	32	210	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


