
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending June 6, 2009 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	54	99	241	2,671	2,942	14	34	121	821	936											
NEW ENGLAND	1	5	29	152	216	-	1	12	22	45											
Conn.	-	0	21	43	54	-	0	11	-	-											
Maine	1	0	3	10	14	-	0	1	-	1											
Mass.	-	2	10	60	115	-	1	3	15	35											
N.H.	-	1	4	25	15	-	0	1	5	7											
R.I.	-	0	8	4	9	-	0	2	-	2											
Vt.	-	0	3	10	9	-	0	1	2	-											
MID. ATLANTIC	19	18	38	507	627	3	4	33	119	115											
N.J.	-	1	6	3	112	-	1	4	14	33											
N.Y. (Upstate)	12	6	25	190	197	3	2	17	64	49											
N.Y. City	-	3	12	102	122	-	0	31	41	33											
Pa.	7	6	18	212	196	N	0	2	N	N											
E.N. CENTRAL	7	17	43	545	591	3	5	18	121	173											
Ill.	-	5	12	144	168	-	1	5	14	52											
Ind.	-	3	23	91	77	-	0	13	13	19											
Mich.	-	3	10	87	109	3	1	5	39	46											
Ohio	7	4	13	150	161	-	1	6	41	32											
Wis.	-	1	10	73	76	-	0	3	14	24											
W.N. CENTRAL	-	6	37	218	222	-	2	11	66	42											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	5	32	25	N	0	1	N	N											
Minn.	-	0	34	84	101	-	0	7	28	9											
Mo.	-	2	8	58	56	-	1	4	28	20											
Nebr.	-	1	3	27	21	-	0	1	3	4											
N. Dak.	-	0	2	2	7	-	0	3	3	4											
S. Dak.	-	0	3	15	12	-	0	2	4	5											
S. ATLANTIC	21	22	46	601	568	4	7	16	172	183											
Del.	-	0	1	8	6	-	0	0	-	-											
D.C.	-	0	2	-	6	N	0	0	N	N											
Fla.	12	6	12	148	129	2	1	6	39	33											
Ga.	-	5	13	139	120	-	2	6	47	52											
Md.	1	3	10	86	104	2	1	3	36	36											
N.C.	3	2	12	62	73	N	0	0	N	N											
S.C.	-	1	5	37	36	-	1	6	27	29											
Va.	5	3	9	97	73	-	0	4	15	28											
W. Va.	-	1	4	24	21	-	0	2	8	5											
E.S. CENTRAL	1	4	10	109	100	-	1	6	33	58											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	5	20	20	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	-	15											
Tenn.	1	3	8	89	80	-	1	6	33	43											
W.S. CENTRAL	4	10	79	242	236	3	6	46	148	134											
Ark.	-	0	2	9	6	-	0	4	16	8											
La.	-	0	2	6	11	-	0	3	12	6											
Okla.	1	2	20	83	59	-	1	7	28	42											
Tex.	3	6	59	144	160	3	4	34	92	78											
MOUNTAIN	1	9	22	232	322	1	4	16	125	159											
Ariz.	1	3	8	71	107	1	2	10	74	69											
Colo.	-	3	8	90	82	-	1	4	24	38											
Idaho	-	0	2	3	10	-	0	2	4	2											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	4	6	-	0	1	-	2											
N. Mex.	-	2	7	42	81	-	0	4	12	24											
Utah	-	1	6	21	31	-	0	4	11	23											
Wyo.	-	0	1	1	5	-	0	1	-	1											
PACIFIC	-	3	9	65	60	-	1	3	15	27											
Alaska	-	0	4	8	13	-	0	3	10	16											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	3	8	57	47	-	0	2	5	11											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	8	-	19	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


