
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending July 7, 2012 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	17	11	95	275	297	17	26	169	246	1,273	1	2	9	50	74						
NEW ENGLAND	-	0	2	10	3	-	5	36	80	239	-	0	1	-	1						
Conn.	-	0	0	-	-	-	0	13	-	83	-	0	0	-	-						
Maine	-	0	1	2	1	-	1	3	25	8	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	18	-	113	-	0	0	-	-						
N.H.	-	0	0	-	1	-	0	5	14	10	-	0	0	-	1						
R.I.	-	0	1	8	1	-	0	15	34	24	-	0	1	-	-						
Vt.	-	0	0	-	-	-	0	2	7	1	-	0	0	-	-						
MID. ATLANTIC	3	1	7	18	49	17	9	44	127	110	-	0	4	5	11						
N.J.	-	0	5	-	35	-	0	8	-	46	-	0	2	-	4						
N.Y. (Upstate)	3	0	4	11	13	17	6	41	114	50	-	0	2	5	3						
N.Y. City	-	0	2	7	1	-	0	4	13	13	-	0	0	-	-						
Pa.	-	0	1	-	-	-	0	2	-	1	-	0	2	-	4						
E.N. CENTRAL	-	0	5	15	24	-	1	55	5	412	1	1	5	28	33						
Ill.	-	0	4	12	15	-	0	2	5	3	-	0	0	-	-						
Ind.	-	0	0	-	-	-	0	0	-	-	1	0	4	26	12						
Mich.	-	0	2	-	1	-	0	0	-	-	-	0	2	2	1						
Ohio	-	0	1	3	3	-	0	1	-	3	-	0	0	-	1						
Wis.	-	0	1	-	5	-	1	54	-	406	-	0	4	-	19						
W.N. CENTRAL	-	2	18	59	87	-	1	66	4	480	-	0	3	5	19						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	4	-	6	-	0	1	-	2	-	0	0	-	1						
Minn.	-	0	1	-	3	-	0	65	-	463	-	0	2	-	7						
Mo.	-	1	17	59	77	-	0	2	4	13	-	0	2	5	11						
Nebr.	-	0	1	-	-	-	0	0	-	1	-	0	1	-	-						
N. Dak.	N	0	0	N	N	N	0	3	N	N	N	0	0	N	N						
S. Dak.	-	0	0	-	1	-	0	1	-	1	-	0	0	-	-						
S. ATLANTIC	9	4	35	91	93	-	1	6	15	23	-	0	2	5	3						
Del.	-	0	2	7	12	-	0	1	1	1	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	2	0	2	11	10	-	0	2	2	4	-	0	0	-	-						
Ga.	-	0	2	7	13	-	0	1	2	8	-	0	1	1	2						
Md.	2	0	4	11	13	-	0	2	-	2	-	0	1	1	-						
N.C.	-	0	18	12	14	-	0	6	3	6	-	0	1	-	-						
S.C.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
Va.	5	1	13	43	31	-	0	3	7	2	-	0	2	3	1						
W. Va.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	5	1	7	36	35	-	0	2	10	7	-	0	3	6	2						
Ala.	1	0	2	5	-	-	0	1	4	3	N	0	1	N	N						
Ky.	-	0	2	3	9	-	0	0	-	-	-	0	0	-	-						
Miss.	-	0	1	-	2	-	0	1	-	-	-	0	1	1	-						
Tenn.	4	0	5	28	24	-	0	1	6	4	-	0	3	2	2						
W.S. CENTRAL	-	1	52	46	6	-	0	11	5	-	-	0	1	-	-						
Ark.	-	1	13	28	3	-	0	3	2	-	-	0	0	-	-						
La.	-	0	1	1	-	-	0	1	-	-	-	0	1	-	-						
Okla.	-	0	51	15	2	-	0	7	2	-	-	0	0	-	-						
Tex.	-	0	1	2	1	-	0	2	1	-	-	0	0	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	1	-	0	1	1	3						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	3						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Wyo.	-	0	0	-	-	-	0	0	-	1	-	0	0	-	-						
PACIFIC	-	0	1	-	-	-	0	2	-	1	-	0	0	-	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	2	-	1	-	0	0	-	-						
Wash.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


