
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending January 5, 2002 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2002
Syphilis (Primary and Secondary) cummulative for 2001
Syphilis (Congenital) cummulative for 2002
Syphilis (Congenital) cummulative for 2001
Tuberculosis cummulative for 2002
Tuberculosis cummulative for 2001
Typhoid Fever cummulative for 2002
Typhoid Fever cummulative for 2001

tab delimited data:
test
UNITED STATES	-	62	-	7	-	62	-	2													
NEW ENGLAND	-	1	-	-	-	-	-	-													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	-	-	-	-	-	-	-													
Vt.	-	-	-	-	-	-	-	-													
Mass.	-	-	-	-	-	-	-	-													
R.I.	-	-	-	-	-	-	-	-													
Conn.	-	1	-	-	-	-	-	-													
MID. ATLANTIC	-	6	-	-	-	-	-	-													
Upstate N.Y.	-	-	-	-	-	-	-	-													
N.Y. City	-	3	-	-	-	-	-	-													
N.J.	-	2	-	-	-	-	-	-													
Pa.	-	1	-	-	-	-	-	-													
E.N. CENTRAL	-	6	-	-	-	1	-	-													
Ohio	-	-	-	-	-	1	-	-													
Ind.	-	2	-	-	-	-	-	-													
Ill.	-	4	-	-	-	-	-	-													
Mich.	-	-	-	-	-	-	-	-													
Wis.	-	-	-	-	-	-	-	-													
W.N. CENTRAL	-	1	-	-	-	-	-	1													
Minn.	-	1	-	-	-	-	-	-													
Iowa	-	-	-	-	-	-	-	-													
Mo.	-	-	-	-	-	-	-	1													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	-	-	-	-	-	-	-	-													
Kans.	-	-	-	-	-	-	-	-													
S. ATLANTIC	-	24	-	5	-	3	-	-													
Del.	-	-	-	-	-	-	-	-													
Md.	-	2	-	-	-	-	-	-													
D.C.	-	-	-	-	-	2	-	-													
Va.	-	1	-	-	-	-	-	-													
W. Va.	-	-	-	-	-	-	-	-													
N.C.	-	8	-	-	-	-	-	-													
S.C.	-	1	-	1	-	-	-	-													
Ga.	-	5	-	2	-	1	-	-													
Fla.	-	7	-	2	-	-	-	-													
E.S. CENTRAL	-	11	-	-	-	-	-	-													
Ky.	-	-	-	-	-	-	-	-													
Tenn.	-	4	-	-	-	-	-	-													
Ala.	-	3	-	-	-	-	-	-													
Miss.	-	4	-	-	-	-	-	-													
W.S. CENTRAL	-	6	-	1	-	30	-	-													
Ark.	-	1	-	1	-	3	-	-													
La.	-	1	-	-	-	-	-	-													
Okla.	-	-	-	-	-	-	-	-													
Tex.	-	4	-	-	-	27	-	-													
MOUNTAIN	-	-	-	-	-	2	-	-													
Mont.	-	-	-	-	-	-	-	-													
Idaho	-	-	-	-	-	-	-	-													
Wyo.	-	-	-	-	-	-	-	-													
Colo.	-	-	-	-	-	-	-	-													
N. Mex.	-	-	-	-	-	2	-	-													
Ariz.	-	-	-	-	-	-	-	-													
Utah	-	-	-	-	-	-	-	-													
Nev.	-	-	-	-	-	-	-	-													
PACIFIC	-	7	-	1	-	26	-	1													
Wash.	-	2	-	-	-	5	-	-													
Oreg.	-	-	-	-	-	-	-	-													
Calif.	-	5	-	1	-	16	-	1													
Alaska	-	-	-	-	-	1	-	-													
Hawaii	-	-	-	-	-	4	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	20	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


